year,species_code,species_name,surv,type,hls,nss
1980,10110,arrowtooth flounder,AI,female,136,5122
1980,10112,Kamchatka flounder,AI,female,2,14
1980,21720,Pacific cod,AI,female,65,2687
1980,21740,walleye pollock,AI,female,143,14411
1980,21921,Atka mackerel,AI,female,14,1472
1980,30050,REBS rockfish complex,AI,female,26,895
1980,30060,Pacific ocean perch,AI,female,85,7047
1980,30420,northern rockfish,AI,female,14,883
1982,10110,arrowtooth flounder,EBS_SHELF,female,50,1754
1982,10115,Greenland turbot,EBS_SHELF,female,41,845
1982,10130,flathead sole,EBS_SHELF,female,118,5584
1982,10210,yellowfin sole,EBS_SHELF,female,246,23178
1982,10285,Alaska plaice,EBS_SHELF,female,152,6822
1982,21720,Pacific cod,EBS_SHELF,female,323,5673
1982,21740,walleye pollock,EBS_SHELF,female,287,17952
1983,10110,arrowtooth flounder,AI,female,167,3597
1983,10110,arrowtooth flounder,EBS_SHELF,female,84,3784
1983,10112,Kamchatka flounder,AI,female,1,24
1983,10112,Kamchatka flounder,EBS_SHELF,female,14,375
1983,10115,Greenland turbot,EBS_SHELF,female,47,455
1983,10130,flathead sole,EBS_SHELF,female,171,7546
1983,10210,yellowfin sole,EBS_SHELF,female,258,21829
1983,10285,Alaska plaice,EBS_SHELF,female,118,5927
1983,21720,Pacific cod,AI,female,183,5270
1983,21720,Pacific cod,EBS_SHELF,female,273,5340
1983,21740,walleye pollock,AI,female,174,15872
1983,21740,walleye pollock,EBS_SHELF,female,325,34527
1983,21921,Atka mackerel,AI,female,60,3928
1983,30050,REBS rockfish complex,AI,female,89,1809
1983,30060,Pacific ocean perch,AI,female,146,10963
1983,30420,northern rockfish,AI,female,71,3770
1984,10110,arrowtooth flounder,EBS_SHELF,female,90,3967
1984,10110,arrowtooth flounder,GOA,female,512,28584
1984,10112,Kamchatka flounder,EBS_SHELF,female,27,399
1984,10115,Greenland turbot,EBS_SHELF,female,27,279
1984,10130,flathead sole,EBS_SHELF,female,153,6849
1984,10130,flathead sole,GOA,female,255,13959
1984,10180,Dover sole,GOA,female,213,3857
1984,10200,rex sole,GOA,female,228,6781
1984,10210,yellowfin sole,EBS_SHELF,female,270,22738
1984,10285,Alaska plaice,EBS_SHELF,female,151,7120
1984,20510,sablefish,GOA,female,291,7834
1984,21720,Pacific cod,EBS_SHELF,female,259,5946
1984,21720,Pacific cod,GOA,female,355,8460
1984,21740,walleye pollock,EBS_SHELF,female,300,23036
1984,21740,walleye pollock,GOA,female,234,13482
1984,30050,REBS rockfish complex,GOA,female,89,2074
1984,30060,Pacific ocean perch,GOA,female,149,6613
1984,30150,Dusky rockfish,GOA,female,36,919
1984,30420,northern rockfish,GOA,female,51,2510
1985,10110,arrowtooth flounder,EBS_SHELF,female,102,3445
1985,10115,Greenland turbot,EBS_SHELF,female,31,100
1985,10130,flathead sole,EBS_SHELF,female,189,6956
1985,10210,yellowfin sole,EBS_SHELF,female,262,22948
1985,10285,Alaska plaice,EBS_SHELF,female,169,5801
1985,21720,Pacific cod,EBS_SHELF,female,329,7368
1985,21740,walleye pollock,EBS_SHELF,female,340,48982
1986,10110,arrowtooth flounder,AI,female,155,5571
1986,10110,arrowtooth flounder,EBS_SHELF,female,126,3600
1986,10115,Greenland turbot,EBS_SHELF,female,26,60
1986,10130,flathead sole,EBS_SHELF,female,256,6844
1986,10210,yellowfin sole,EBS_SHELF,female,248,19395
1986,10285,Alaska plaice,EBS_SHELF,female,230,5866
1986,21720,Pacific cod,AI,female,201,7153
1986,21720,Pacific cod,EBS_SHELF,female,324,7165
1986,21740,walleye pollock,AI,female,181,14499
1986,21740,walleye pollock,EBS_SHELF,female,323,35186
1986,21921,Atka mackerel,AI,female,31,2422
1986,30050,REBS rockfish complex,AI,female,61,2115
1986,30060,Pacific ocean perch,AI,female,112,6571
1986,30420,northern rockfish,AI,female,41,3105
1987,10110,arrowtooth flounder,EBS_SHELF,female,142,5282
1987,10110,arrowtooth flounder,GOA,female,484,48096
1987,10112,Kamchatka flounder,EBS_SHELF,female,1,2
