year,species_code,species_name,surv,type,hls,nss
1980,10110,arrowtooth flounder,AI,female,1,465
1980,21720,Pacific cod,AI,female,5,306
1980,21740,walleye pollock,AI,female,9,2890
1980,21921,Atka mackerel,AI,female,6,499
1980,30060,Pacific ocean perch,AI,female,12,435
1980,30420,northern rockfish,AI,female,4,262
1982,10110,arrowtooth flounder,EBS_SHELF,female,9,132
1982,10115,Greenland turbot,EBS_SHELF,female,11,151
1982,10130,flathead sole,EBS_SHELF,female,14,207
1982,10210,yellowfin sole,EBS_SHELF,female,33,419
1982,10285,Alaska plaice,EBS_SHELF,female,29,198
1982,21740,walleye pollock,EBS_SHELF,female,79,804
1983,10110,arrowtooth flounder,AI,female,1,133
1983,10210,yellowfin sole,EBS_SHELF,female,36,409
1983,21740,walleye pollock,AI,female,48,3501
1983,21740,walleye pollock,EBS_SHELF,female,85,990
1983,21921,Atka mackerel,AI,female,19,287
1983,30060,Pacific ocean perch,AI,female,42,1210
1983,30420,northern rockfish,AI,female,11,301
1984,10110,arrowtooth flounder,GOA,female,1,717
1984,10130,flathead sole,GOA,female,1,369
1984,10180,Dover sole,GOA,female,13,209
1984,10200,rex sole,GOA,female,5,155
1984,10210,yellowfin sole,EBS_SHELF,female,49,467
1984,20510,sablefish,GOA,female,23,352
1984,21720,Pacific cod,EBS_SHELF,female,18,129
1984,21740,walleye pollock,EBS_SHELF,female,110,943
1984,21740,walleye pollock,GOA,female,71,1394
1984,30050,REBS rockfish complex,GOA,female,16,174
1984,30060,Pacific ocean perch,GOA,female,34,674
1984,30150,Dusky rockfish,GOA,female,4,86
1984,30420,northern rockfish,GOA,female,6,181
1985,10130,flathead sole,EBS_SHELF,female,23,268
1985,10210,yellowfin sole,EBS_SHELF,female,35,464
1985,21740,walleye pollock,EBS_SHELF,female,76,1002
1986,10210,yellowfin sole,EBS_SHELF,female,32,418
1986,21740,walleye pollock,AI,female,63,1170
1986,21740,walleye pollock,EBS_SHELF,female,44,702
1986,21921,Atka mackerel,AI,female,23,355
1986,30050,REBS rockfish complex,AI,female,13,203
1986,30060,Pacific ocean perch,AI,female,53,931
1986,30420,northern rockfish,AI,female,18,286
1987,10110,arrowtooth flounder,GOA,female,50,819
1987,10130,flathead sole,GOA,female,25,477
1987,10180,Dover sole,GOA,female,16,212
1987,10200,rex sole,GOA,female,5,102
1987,10210,yellowfin sole,EBS_SHELF,female,16,442
1987,20510,sablefish,GOA,female,4,50
1987,21720,Pacific cod,GOA,female,3,69
1987,21740,walleye pollock,EBS_SHELF,female,35,849
1987,21740,walleye pollock,GOA,female,39,675
1987,30050,REBS rockfish complex,GOA,female,13,162
1987,30060,Pacific ocean perch,GOA,female,41,869
1987,30150,Dusky rockfish,GOA,female,12,233
1987,30420,northern rockfish,GOA,female,17,262
1988,10210,yellowfin sole,EBS_SHELF,female,17,369
1988,10285,Alaska plaice,EBS_SHELF,female,12,182
1988,21720,Pacific cod,EBS_SHELF,female,27,323
1988,21740,walleye pollock,EBS_SHELF,female,26,587
1989,10210,yellowfin sole,EBS_SHELF,female,23,422
1989,21720,Pacific cod,EBS_SHELF,female,40,367
1989,21740,walleye pollock,EBS_SHELF,female,36,608
1990,10110,arrowtooth flounder,GOA,female,14,216
1990,10130,flathead sole,GOA,female,18,138
1990,10180,Dover sole,GOA,female,18,123
1990,10200,rex sole,GOA,female,26,156
1990,10210,yellowfin sole,EBS_SHELF,female,27,435
1990,21720,Pacific cod,EBS_SHELF,female,69,393
1990,21720,Pacific cod,GOA,female,28,273
1990,21740,walleye pollock,EBS_SHELF,female,45,623
1990,21740,walleye pollock,GOA,female,35,560
1990,30050,REBS rockfish complex,GOA,female,22,114
1990,30060,Pacific ocean perch,GOA,female,52,890
1990,30150,Dusky rockfish,GOA,female,9,77
1990,30420,northern rockfish,GOA,female,13,237
1991,10210,yellowfin sole,EBS_SHELF,female,24,445
1991,21720,Pacific cod,AI,female,31,447
1991,21720,Pacific cod,EBS_SHELF,female,41,351
1991,21740,walleye pollock,AI,female,20,357
1991,21740,walleye pollock,EBS_SHELF,female,40,494
1991,21921,Atka mackerel,AI,female,11,223
