species_code,species_name,surv,type,avg_nss,avg_hls
10110,arrowtooth flounder,AI,female,285.14285714285717,72.57142857142857
21720,Pacific cod,AI,female,394,83.6923076923077
21740,walleye pollock,AI,female,848.3333333333334,68.26666666666667
21921,Atka mackerel,AI,female,321.8,55.2
30060,Pacific ocean perch,AI,female,548.4,90.86666666666666
30420,northern rockfish,AI,female,294.73333333333335,54.4
10110,arrowtooth flounder,EBS_SHELF,female,325.85714285714283,79.42857142857143
10115,Greenland turbot,EBS_SHELF,female,146.52631578947367,42.94736842105263
10130,flathead sole,EBS_SHELF,female,305.2142857142857,70.42857142857143
10210,yellowfin sole,EBS_SHELF,female,424.8205128205128,41.87179487179487
10285,Alaska plaice,EBS_SHELF,female,245.875,33.458333333333336
21740,walleye pollock,EBS_SHELF,female,735.7948717948718,132.12820512820514
10110,arrowtooth flounder,GOA,female,559.8125,123.0625
10130,flathead sole,GOA,female,293.05882352941177,67.17647058823529
10180,Dover sole,GOA,female,207.3125,62.0625
10200,rex sole,GOA,female,245,70.0625
20510,sablefish,GOA,female,273.5,53.5
21720,Pacific cod,EBS_SHELF,female,534.5151515151515,100.78787878787878
21740,walleye pollock,GOA,female,710,117.76470588235294
30050,REBS rockfish complex,GOA,female,275.73333333333335,60.46666666666667
30060,Pacific ocean perch,GOA,female,547.0666666666667,78.2
30150,Dusky rockfish,GOA,female,228.25,41
30420,northern rockfish,GOA,female,236.625,41.8125
30050,REBS rockfish complex,AI,female,226.46153846153845,59.69230769230769
21720,Pacific cod,GOA,female,323.8,74.6
10261,northern rock sole,EBS_SHELF,female,255.28,33.48
10261,northern rock sole,GOA,female,260.1818181818182,52.81818181818182
10262,southern rock sole,GOA,female,305.8333333333333,62.166666666666664
10110,arrowtooth flounder,EBS_SLOPE,female,391.25,62.75
10112,Kamchatka flounder,EBS_SLOPE,female,365.3333333333333,85.33333333333333
10115,Greenland turbot,EBS_SLOPE,female,239.16666666666666,74.83333333333333
30060,Pacific ocean perch,EBS_SLOPE,female,206.83333333333334,33.666666666666664
10112,Kamchatka flounder,AI,female,257.3333333333333,102
10112,Kamchatka flounder,EBS_SHELF,female,258.75,74.5
10110,arrowtooth flounder,AI,male,238.57142857142858,55.714285714285715
21720,Pacific cod,AI,male,393.53846153846155,84.6923076923077
21740,walleye pollock,AI,male,697.6,64.73333333333333
21921,Atka mackerel,AI,male,287.53333333333336,55.2
30060,Pacific ocean perch,AI,male,545.2666666666667,92.13333333333334
30420,northern rockfish,AI,male,239.4,48.06666666666667
10110,arrowtooth flounder,EBS_SHELF,male,140.85714285714286,50.142857142857146
10115,Greenland turbot,EBS_SHELF,male,134.3684210526316,39.05263157894737
10130,flathead sole,EBS_SHELF,male,247.39285714285714,63.857142857142854
10210,yellowfin sole,EBS_SHELF,male,321.3076923076923,36.94871794871795
10285,Alaska plaice,EBS_SHELF,male,160.95833333333334,25.458333333333332
21740,walleye pollock,EBS_SHELF,male,681.6923076923077,131.07692307692307
10110,arrowtooth flounder,GOA,male,358.5,91.875
10130,flathead sole,GOA,male,244.11764705882354,63.411764705882355
10180,Dover sole,GOA,male,186.6875,53.9375
10200,rex sole,GOA,male,194.3125,59.125
20510,sablefish,GOA,male,270,54.75
21720,Pacific cod,EBS_SHELF,male,515.4242424242424,97.63636363636364
21740,walleye pollock,GOA,male,603.9411764705883,114.17647058823529
30050,REBS rockfish complex,GOA,male,282.93333333333334,61.06666666666667
30060,Pacific ocean perch,GOA,male,549.5333333333333,80.8
30150,Dusky rockfish,GOA,male,199.4375,40.5625
30420,northern rockfish,GOA,male,207.8125,39.875
30050,REBS rockfish complex,AI,male,229.15384615384616,62.46153846153846
21720,Pacific cod,GOA,male,294.93333333333334,72.6
10261,northern rock sole,EBS_SHELF,male,194.12,30.44
10261,northern rock sole,GOA,male,188.8181818181818,44.63636363636363
10262,southern rock sole,GOA,male,184.16666666666666,46.416666666666664
10110,arrowtooth flounder,EBS_SLOPE,male,148,46.75
10112,Kamchatka flounder,EBS_SLOPE,male,295.6666666666667,69.66666666666667
10115,Greenland turbot,EBS_SLOPE,male,253.83333333333334,67.66666666666667
30060,Pacific ocean perch,EBS_SLOPE,male,192,32.5
10112,Kamchatka flounder,AI,male,249.66666666666666,97
10112,Kamchatka flounder,EBS_SHELF,male,217.75,64.5
10110,arrowtooth flounder,AI,total,523.7142857142857,128.28571428571428
21720,Pacific cod,AI,total,787.5384615384615,168.3846153846154
21740,walleye pollock,AI,total,1549.3333333333333,133.6
21921,Atka mackerel,AI,total,609.4,110.46666666666667
30060,Pacific ocean perch,AI,total,1103.3333333333333,186.66666666666666
30420,northern rockfish,AI,total,536.1333333333333,103.2
10110,arrowtooth flounder,EBS_SHELF,total,467.2142857142857,129.92857142857142
10115,Greenland turbot,EBS_SHELF,total,293.4736842105263,88.15789473684211
10130,flathead sole,EBS_SHELF,total,557.7142857142857,137.60714285714286
10210,yellowfin sole,EBS_SHELF,total,746.9487179487179,79
10285,Alaska plaice,EBS_SHELF,total,407.0416666666667,59.041666666666664
21740,walleye pollock,EBS_SHELF,total,1534.2051282051282,310.46153846153845
10110,arrowtooth flounder,GOA,total,919.75,215.8125
10130,flathead sole,GOA,total,542,132.7058823529412
10180,Dover sole,GOA,total,394.3125,116.0625
10200,rex sole,GOA,total,440.5,129.75
20510,sablefish,GOA,total,543.5,108.25
21720,Pacific cod,EBS_SHELF,total,1062.3939393939395,202.54545454545453
21740,walleye pollock,GOA,total,1327.0588235294117,236
30050,REBS rockfish complex,GOA,total,561.4,123
30060,Pacific ocean perch,GOA,total,1102.8,160.26666666666668
30150,Dusky rockfish,GOA,total,427.6875,81.5625
30420,northern rockfish,GOA,total,444.6875,81.875
30050,REBS rockfish complex,AI,total,456.46153846153845,122.76923076923077
21720,Pacific cod,GOA,total,618.8666666666667,147.26666666666668
10261,northern rock sole,EBS_SHELF,total,456,65.72
10261,northern rock sole,GOA,total,449,97.45454545454545
10262,southern rock sole,GOA,total,490.0833333333333,108.66666666666667
10110,arrowtooth flounder,EBS_SLOPE,total,539.25,109.5
10112,Kamchatka flounder,EBS_SLOPE,total,661,155
10115,Greenland turbot,EBS_SLOPE,total,493,142.5
30060,Pacific ocean perch,EBS_SLOPE,total,404,68.16666666666667
10112,Kamchatka flounder,AI,total,509,200.33333333333334
10112,Kamchatka flounder,EBS_SHELF,total,477,139.25
