year,survey,species_code,catchjoin,hauljoin,stratum,numcpue
2008,EBS_SLOPE,10112,-109941,-4529,41,50.14203734919908
2008,EBS_SLOPE,10112,-112978,-4605,31,217.44470960887205
2008,EBS_SLOPE,10112,-107375,-4475,11,110.81758733622712
2008,EBS_SLOPE,21740,NA,-4624,35,0
2008,EBS_SLOPE,10110,-109721,-4524,12,1199.8854966411777
2008,EBS_SLOPE,30060,-111989,-4580,61,91.02498433289348
2008,EBS_SLOPE,10115,NA,-4609,45,0
2008,EBS_SLOPE,10115,-113144,-4610,42,95.22596979794096
2008,EBS_SLOPE,10115,NA,-4496,11,0
2008,EBS_SLOPE,10115,NA,-4503,11,0
2008,EBS_SLOPE,21720,NA,-4553,62,0
2008,EBS_SLOPE,21720,NA,-4543,52,0
2008,EBS_SLOPE,21720,NA,-4665,12,0
2008,EBS_SLOPE,10261,NA,-4507,12,0
2010,EBS_SLOPE,10130,-198227,-7279,12,3061.2157434652227
2010,EBS_SLOPE,21740,NA,-7302,11,0
2010,EBS_SLOPE,10112,-181684,-6519,42,98.0803709791952
2010,EBS_SLOPE,10112,-197295,-7258,12,1402.2256827148892
2010,EBS_SLOPE,10115,-196142,-7232,22,468.44151431263873
2010,EBS_SLOPE,10110,-180413,-6489,63,560.361393873751
2010,EBS_SLOPE,10110,-197761,-7269,12,105.84140850359512
2010,EBS_SLOPE,30060,-199010,-7295,12,53.157443150373744
2010,EBS_SLOPE,30060,NA,-7261,11,0
2010,EBS_SLOPE,21720,NA,-6478,62,0
2010,EBS_SLOPE,10261,NA,-7222,31,0
2012,EBS_SLOPE,10112,-230992,-8740,21,787.9353441268219
2012,EBS_SLOPE,10112,-244386,-9331,12,428.84621448617287
2012,EBS_SLOPE,21720,NA,-8799,52,0
2012,EBS_SLOPE,21720,NA,-8811,45,0
2012,EBS_SLOPE,21720,-245198,-9350,11,206.59086847702244
2012,EBS_SLOPE,10115,-233030,-8794,61,893.6697988955302
2012,EBS_SLOPE,10115,-242454,-9284,12,51.0503898488546
2012,EBS_SLOPE,10115,-230727,-8733,12,218.74759225740468
2012,EBS_SLOPE,10110,-234109,-8823,31,1854.7253700307729
2012,EBS_SLOPE,21740,NA,-8796,52,0
2012,EBS_SLOPE,21740,NA,-9294,33,0
2012,EBS_SLOPE,10130,-234107,-8823,31,2978.0097490634944
2012,EBS_SLOPE,30060,NA,-8773,62,0
2012,EBS_SLOPE,30060,NA,-8800,53,0
2012,EBS_SLOPE,30060,NA,-9314,22,0
2012,EBS_SLOPE,10261,NA,-8746,44,0
2016,EBS_SLOPE,30060,NA,-15822,63,0
2016,EBS_SLOPE,30060,NA,-15824,62,0
2016,EBS_SLOPE,30060,-431584,-15559,31,118391.68349245972
2016,EBS_SLOPE,10115,-447433,-15872,45,49.62679902729489
2016,EBS_SLOPE,10115,-460496,-16314,13,49.207210332530025
2016,EBS_SLOPE,10112,-459130,-16304,23,684.2554530883015
2016,EBS_SLOPE,10112,-459074,-16303,21,569.3394652919017
2016,EBS_SLOPE,10130,-445914,-15835,61,1253.057460202895
2016,EBS_SLOPE,10130,NA,-15885,15,0
2016,EBS_SLOPE,21740,-446270,-15844,64,16.210737249902568
2016,EBS_SLOPE,21740,-445306,-15820,51,113.31202085303782
2016,EBS_SLOPE,21740,-447083,-15863,45,18.475999085955372
2016,EBS_SLOPE,21740,NA,-15549,44,0
2002,EBS_SLOPE,10112,1133328,1130047,62,140.32295834024657
2002,EBS_SLOPE,10112,1135052,1129982,13,346.680774262974
2002,EBS_SLOPE,10115,1131970,1129906,45,106.80905595534185
2002,EBS_SLOPE,10110,NA,1130000,43,0
2002,EBS_SLOPE,10110,NA,1129983,13,0
2002,EBS_SLOPE,10130,NA,1130019,64,0
2002,EBS_SLOPE,21720,1135942,1130044,21,136.3085751342953
2002,EBS_SLOPE,21740,NA,1130015,63,0
2004,EBS_SLOPE,10110,1226259,1225545,11,18904.026722074643
2004,EBS_SLOPE,10110,NA,1225501,44,0
2004,EBS_SLOPE,10110,NA,1225548,42,0
2004,EBS_SLOPE,10110,1229624,1225539,11,2987.486329002777
2004,EBS_SLOPE,10130,1230393,1225489,12,1301.7648077569354
2004,EBS_SLOPE,10130,1233626,1225576,61,2003.4738634012288
2004,EBS_SLOPE,10130,NA,1225605,13,0
2004,EBS_SLOPE,10130,1233620,1225534,11,891.3122017075165
2004,EBS_SLOPE,21740,1231566,1225420,11,46.79018292364668
2004,EBS_SLOPE,21740,NA,1225516,63,0
2004,EBS_SLOPE,21740,1230815,1225452,41,108.3600598906051
2004,EBS_SLOPE,10115,1233776,1225406,11,861.0975795777177
2004,EBS_SLOPE,10115,1228941,1225590,34,23.701869916363684
2004,EBS_SLOPE,30060,1231219,1225633,41,5264.7049080252
2004,EBS_SLOPE,10112,1234433,1225483,12,375.07585909250145
2004,EBS_SLOPE,10112,1225890,1225631,31,321.67811636056655
2004,EBS_SLOPE,10261,NA,1225469,11,0
2004,EBS_SLOPE,10261,NA,1225628,32,0
2004,EBS_SLOPE,10261,NA,1225482,21,0
2008,EBS_SLOPE,21740,NA,-4616,44,0
2008,EBS_SLOPE,10110,-113622,-4623,33,25.87361885975686
2008,EBS_SLOPE,10130,NA,-4556,64,0
2008,EBS_SLOPE,10115,-112342,-4589,41,35.12331832186124
2008,EBS_SLOPE,10115,-112682,-4597,23,45.61153621569659
2008,EBS_SLOPE,10115,-107729,-4482,12,156.70763526611307
2008,EBS_SLOPE,10261,NA,-4624,35,0
2008,EBS_SLOPE,10261,NA,-4645,15,0
2010,EBS_SLOPE,10130,NA,-6472,64,0
2010,EBS_SLOPE,10112,-179591,-6467,62,673.66435515584806
2010,EBS_SLOPE,10112,-195941,-7228,24,122.68637422062868
2010,EBS_SLOPE,10112,-197375,-7260,12,2493.3911947136653
2010,EBS_SLOPE,10115,-196579,-7243,25,213.0102847755798
2010,EBS_SLOPE,10115,-198818,-7291,13,120.88331858556846
2010,EBS_SLOPE,10110,-180334,-6487,62,2342.1534930291655
2010,EBS_SLOPE,30060,-199079,-7296,12,107.79423750870271
2010,EBS_SLOPE,30060,-198231,-7279,12,211.9303207014385
2010,EBS_SLOPE,30060,-199507,-7306,11,330.9600190368203
2010,EBS_SLOPE,30060,-199798,-7315,11,616.136654180804
2010,EBS_SLOPE,21720,NA,-6524,43,0
2010,EBS_SLOPE,21720,NA,-7329,12,0
2010,EBS_SLOPE,10261,NA,-6493,63,0
2010,EBS_SLOPE,10261,NA,-6507,54,0
2010,EBS_SLOPE,10261,NA,-7285,14,0
2012,EBS_SLOPE,10112,NA,-8781,65,0
2012,EBS_SLOPE,10112,-232276,-8775,61,910.7033809283479
2012,EBS_SLOPE,10112,-231471,-8753,52,773.1159942778078
2012,EBS_SLOPE,21720,-232178,-8772,61,26.67744435418576
2012,EBS_SLOPE,21720,-242785,-9291,22,28.140281667898133
2012,EBS_SLOPE,21720,-242841,-9292,21,1032.287573083975
2012,EBS_SLOPE,21720,NA,-9352,13,0
2012,EBS_SLOPE,21720,NA,-9324,13,0
2012,EBS_SLOPE,10115,-231372,-8751,54,148.61755946188555
2012,EBS_SLOPE,10115,NA,-9302,41,0
2012,EBS_SLOPE,10110,NA,-9367,15,0
2012,EBS_SLOPE,10130,NA,-8814,43,0
2012,EBS_SLOPE,30060,NA,-9331,12,0
2012,EBS_SLOPE,10261,NA,-9309,32,0
2016,EBS_SLOPE,10110,-445269,-15819,52,237.01681160244695
2016,EBS_SLOPE,10110,-446850,-15857,51,575.9380961987756
2016,EBS_SLOPE,10110,NA,-15870,43,0
2016,EBS_SLOPE,10110,-458574,-16277,21,1254.8259210673225
2016,EBS_SLOPE,21720,-445892,-15835,61,250.611492040579
2016,EBS_SLOPE,21720,-461287,-16271,11,49.16672843236926
2016,EBS_SLOPE,21720,-460183,-16307,11,337.4560906353066
2016,EBS_SLOPE,30060,NA,-15816,43,0
2016,EBS_SLOPE,30060,NA,-16296,23,0
2016,EBS_SLOPE,21740,-446858,-15858,51,14807.353105403477
2016,EBS_SLOPE,21740,-459299,-16279,22,1133.6665338387377
2016,EBS_SLOPE,10261,NA,-15846,61,0
2016,EBS_SLOPE,10261,NA,-16253,12,0
2016,EBS_SLOPE,10261,NA,-16272,11,0
2002,EBS_SLOPE,10112,1130200,1129944,11,151.07714225499254
2002,EBS_SLOPE,10110,NA,1129964,25,0
2002,EBS_SLOPE,10110,NA,1129966,24,0
2002,EBS_SLOPE,10110,1130424,1129938,11,1154.157598835132
2002,EBS_SLOPE,10130,1131001,1129925,11,10366.483462631655
2002,EBS_SLOPE,21740,1135569,1129957,11,1034.839191902945
2002,EBS_SLOPE,30060,1135235,1129980,12,25.11958176901138
2002,EBS_SLOPE,30060,NA,1129905,45,0
2002,EBS_SLOPE,30060,NA,1129959,43,0
2002,EBS_SLOPE,30060,NA,1129918,22,0
2002,EBS_SLOPE,10261,NA,1129945,12,0
2002,EBS_SLOPE,10261,NA,1129903,42,0
2004,EBS_SLOPE,10130,1232763,1225518,62,351.0790634439364
2004,EBS_SLOPE,10130,NA,1225613,15,0
2004,EBS_SLOPE,21740,1232779,1225618,21,123.81999544342416
2004,EBS_SLOPE,21740,NA,1225399,15,0
2004,EBS_SLOPE,10115,NA,1225609,11,0
2004,EBS_SLOPE,10115,1228242,1225549,24,73.62920098769155
2004,EBS_SLOPE,30060,NA,1225463,12,0
2004,EBS_SLOPE,10112,1228196,1225556,62,53.840380500737076
2004,EBS_SLOPE,10112,1233362,1225479,32,403.9519254687437
2008,EBS_SLOPE,21740,NA,-4591,43,0
2008,EBS_SLOPE,21740,NA,-4660,12,0
2008,EBS_SLOPE,21740,-107053,-4468,11,3986.05734085844
2008,EBS_SLOPE,10110,-114300,-4643,12,1138.3561291858575
2008,EBS_SLOPE,30060,-108475,-4498,11,219.85057196324803
2008,EBS_SLOPE,21720,NA,-4610,42,0
2008,EBS_SLOPE,21720,NA,-4599,33,0
2008,EBS_SLOPE,21720,NA,-4519,22,0
2008,EBS_SLOPE,21720,-109384,-4517,21,145.52376184745327
2008,EBS_SLOPE,10261,NA,-4540,55,0
2008,EBS_SLOPE,10261,NA,-4515,22,0
2008,EBS_SLOPE,10261,NA,-4501,14,0
2008,EBS_SLOPE,10261,NA,-4474,11,0
2010,EBS_SLOPE,10130,NA,-6507,54,0
2010,EBS_SLOPE,10130,-182014,-6528,41,128.2874492745011
2010,EBS_SLOPE,10130,NA,-7245,22,0
2010,EBS_SLOPE,21740,-182479,-6543,31,722.5917282233839
2010,EBS_SLOPE,21740,-199710,-7313,11,198.952044972115
2010,EBS_SLOPE,10112,-180995,-6501,62,1006.1268092046517
2010,EBS_SLOPE,10110,NA,-6461,45,0
2010,EBS_SLOPE,30060,-181805,-6523,42,475.1202054119692
2010,EBS_SLOPE,30060,-195868,-7226,31,867.5971226001494
2010,EBS_SLOPE,30060,-200010,-7320,12,54.92553223801936
2010,EBS_SLOPE,21720,NA,-6544,33,0
2010,EBS_SLOPE,21720,NA,-7295,12,0
2010,EBS_SLOPE,21720,NA,-7302,11,0
2010,EBS_SLOPE,10261,NA,-6473,63,0
2010,EBS_SLOPE,10261,NA,-6503,63,0
2010,EBS_SLOPE,10261,NA,-7218,31,0
2012,EBS_SLOPE,10112,-244556,-9335,12,781.2434578489735
2012,EBS_SLOPE,10115,-232037,-8768,63,323.5026276500931
2012,EBS_SLOPE,10130,NA,-8804,55,0
2012,EBS_SLOPE,10130,-245732,-9363,12,481.96693017646277
2012,EBS_SLOPE,10261,NA,-9307,34,0
2016,EBS_SLOPE,10110,NA,-15876,45,0
2016,EBS_SLOPE,21720,-431591,-15559,31,378.6203900127863
2016,EBS_SLOPE,21720,NA,-15885,15,0
2016,EBS_SLOPE,30060,NA,-15876,45,0
2016,EBS_SLOPE,30060,NA,-15863,45,0
2016,EBS_SLOPE,10115,-446109,-15840,64,40.65068411849317
2016,EBS_SLOPE,10115,NA,-15847,61,0
2016,EBS_SLOPE,21740,NA,-15829,63,0
2016,EBS_SLOPE,10261,NA,-15544,35,0
2016,EBS_SLOPE,10261,NA,-15882,31,0
2016,EBS_SLOPE,10261,NA,-15895,21,0
2002,EBS_SLOPE,10112,1136218,1129965,21,646.7635949707662
2002,EBS_SLOPE,10110,1132189,1129904,41,131.61282728095952
2002,EBS_SLOPE,10110,1131132,1129922,11,601.4537997559815
2002,EBS_SLOPE,10130,NA,1130022,62,0
2002,EBS_SLOPE,10130,1133558,1130011,62,746.5711851892222
2002,EBS_SLOPE,21740,1135754,1130035,11,380.1717037896732
2002,EBS_SLOPE,10261,NA,1130024,63,0
2004,EBS_SLOPE,21740,1230506,1225535,11,6929.775478921733
2004,EBS_SLOPE,21740,NA,1225461,12,0
2004,EBS_SLOPE,10115,1232542,1225607,12,501.48439380566475
2004,EBS_SLOPE,10115,NA,1225620,21,0
2004,EBS_SLOPE,30060,1229396,1225602,12,94.05389622144821
2004,EBS_SLOPE,30060,NA,1225431,61,0
2004,EBS_SLOPE,30060,1227183,1225625,31,49223.08339204574
2004,EBS_SLOPE,10112,1227633,1225634,42,454.2377084979472
2008,EBS_SLOPE,10112,-108639,-4502,13,518.4589832120677
2008,EBS_SLOPE,21740,NA,-4651,12,0
2008,EBS_SLOPE,10110,-113832,-4630,31,704.1239129332675
2008,EBS_SLOPE,10110,-115033,-4661,12,5610.752839242219
2008,EBS_SLOPE,30060,NA,-4558,62,0
2008,EBS_SLOPE,10115,-112130,-4583,52,223.6827062601162
2008,EBS_SLOPE,21720,NA,-4494,12,0
2010,EBS_SLOPE,21740,NA,-6508,54,0
2010,EBS_SLOPE,21740,-196848,-7249,21,498.0647417755676
2010,EBS_SLOPE,10112,-197762,-7269,12,476.286338266178
2010,EBS_SLOPE,10115,-182102,-6530,41,48.34354820421001
2010,EBS_SLOPE,10115,-195577,-7220,34,71.32677962276645
2010,EBS_SLOPE,10110,NA,-6471,65,0
2010,EBS_SLOPE,30060,NA,-7277,13,0
2010,EBS_SLOPE,30060,-197633,-7266,11,127.07983625508939
2010,EBS_SLOPE,21720,NA,-7317,12,0
2010,EBS_SLOPE,21720,NA,-7326,12,0
2012,EBS_SLOPE,10112,-232508,-8782,63,51.99932192884205
2012,EBS_SLOPE,10112,NA,-8803,55,0
2012,EBS_SLOPE,10112,NA,-9339,11,0
2012,EBS_SLOPE,10115,-231592,-8757,62,3294.171128895975
2012,EBS_SLOPE,10115,NA,-9293,34,0
2012,EBS_SLOPE,10115,-246067,-9371,13,147.70892381001383
2012,EBS_SLOPE,10115,NA,-9334,11,0
2012,EBS_SLOPE,21740,-243126,-9300,41,577.8022252319298
2012,EBS_SLOPE,10261,NA,-8803,55,0
2012,EBS_SLOPE,10261,NA,-8749,42,0
