species_code,stratum,hauljoin,vessel,cruise,sex,length,frequency,year
10112,25,1129964,57,200202,2,620,1,2002
10112,25,1129964,57,200202,2,670,1,2002
10115,25,1129964,57,200202,1,630,1,2002
10115,25,1129964,57,200202,1,640,1,2002
10115,25,1129964,57,200202,1,700,1,2002
10115,25,1129964,57,200202,2,830,1,2002
10115,25,1129964,57,200202,2,840,1,2002
10115,25,1129964,57,200202,2,860,1,2002
10115,25,1129964,57,200202,1,660,1,2002
10130,21,1129965,57,200202,2,370,1,2002
10130,21,1129965,57,200202,2,380,1,2002
10130,21,1129965,57,200202,2,390,1,2002
10112,21,1129965,57,200202,1,430,1,2002
10110,21,1129965,57,200202,2,340,1,2002
10110,21,1129965,57,200202,1,370,1,2002
10110,21,1129965,57,200202,2,380,1,2002
10110,21,1129965,57,200202,1,420,1,2002
10110,21,1129965,57,200202,1,440,1,2002
10110,21,1129965,57,200202,2,440,2,2002
10110,21,1129965,57,200202,2,450,4,2002
10110,21,1129965,57,200202,2,470,2,2002
10110,21,1129965,57,200202,2,490,1,2002
10110,21,1129965,57,200202,1,500,1,2002
10110,21,1129965,57,200202,2,500,3,2002
10110,21,1129965,57,200202,2,510,2,2002
10110,21,1129965,57,200202,2,530,2,2002
10110,21,1129965,57,200202,2,540,1,2002
10110,21,1129965,57,200202,2,560,1,2002
10110,21,1129965,57,200202,2,720,1,2002
10112,21,1129965,57,200202,1,380,1,2002
10112,21,1129965,57,200202,1,390,2,2002
10112,21,1129965,57,200202,1,400,4,2002
10112,21,1129965,57,200202,1,410,3,2002
10112,21,1129965,57,200202,2,420,1,2002
10112,21,1129965,57,200202,1,420,2,2002
10112,21,1129965,57,200202,1,440,1,2002
10112,21,1129965,57,200202,2,440,1,2002
10112,21,1129965,57,200202,2,460,1,2002
10112,21,1129965,57,200202,2,470,2,2002
10112,21,1129965,57,200202,1,480,1,2002
10115,21,1129965,57,200202,1,680,1,2002
10130,21,1129965,57,200202,3,130,2,2002
10130,21,1129965,57,200202,3,140,1,2002
10130,21,1129965,57,200202,2,150,1,2002
10130,21,1129965,57,200202,2,240,1,2002
10130,21,1129965,57,200202,1,180,1,2002
10130,21,1129965,57,200202,1,210,2,2002
10130,21,1129965,57,200202,2,230,1,2002
10130,21,1129965,57,200202,1,250,1,2002
10130,21,1129965,57,200202,1,270,1,2002
10130,21,1129965,57,200202,1,290,2,2002
10130,21,1129965,57,200202,1,300,1,2002
21720,21,1129965,57,200202,1,490,1,2002
21720,21,1129965,57,200202,1,470,2,2002
21720,21,1129965,57,200202,1,480,1,2002
21720,21,1129965,57,200202,1,510,1,2002
21720,21,1129965,57,200202,1,520,1,2002
21720,21,1129965,57,200202,1,560,1,2002
21720,21,1129965,57,200202,2,560,1,2002
21720,21,1129965,57,200202,1,600,1,2002
21740,21,1129965,57,200202,2,590,1,2002
21740,21,1129965,57,200202,2,600,1,2002
21740,21,1129965,57,200202,2,680,1,2002
30060,21,1129965,57,200202,1,320,1,2002
30060,21,1129965,57,200202,1,330,2,2002
30060,21,1129965,57,200202,2,340,1,2002
30060,21,1129965,57,200202,1,350,1,2002
30060,21,1129965,57,200202,2,350,4,2002
30060,21,1129965,57,200202,1,360,7,2002
30060,21,1129965,57,200202,2,360,9,2002
30060,21,1129965,57,200202,2,370,4,2002
30060,21,1129965,57,200202,1,370,7,2002
30060,21,1129965,57,200202,2,380,5,2002
30060,21,1129965,57,200202,1,380,8,2002
30060,21,1129965,57,200202,1,390,11,2002
30060,21,1129965,57,200202,2,400,4,2002
30060,21,1129965,57,200202,1,400,6,2002
30060,21,1129965,57,200202,1,410,4,2002
30060,21,1129965,57,200202,2,410,20,2002
30060,21,1129965,57,200202,1,420,2,2002
30060,21,1129965,57,200202,2,420,7,2002
30060,21,1129965,57,200202,1,430,1,2002
30060,21,1129965,57,200202,2,430,15,2002
30060,21,1129965,57,200202,2,450,2,2002
30060,21,1129965,57,200202,2,460,2,2002
10130,21,1129965,57,200202,2,350,2,2002
10130,21,1129965,57,200202,1,310,2,2002
10130,21,1129965,57,200202,2,320,2,2002
10130,21,1129965,57,200202,2,340,2,2002
10130,21,1129965,57,200202,2,360,4,2002
21720,21,1129965,57,200202,2,570,1,2002
30060,21,1129965,57,200202,1,340,3,2002
30060,21,1129965,57,200202,2,390,2,2002
30060,21,1129965,57,200202,2,440,5,2002
10110,21,1129965,57,200202,2,460,4,2002
10112,21,1129965,57,200202,1,290,1,2002
10112,21,1129965,57,200202,1,450,1,2002
10130,21,1129965,57,200202,1,200,1,2002
10130,21,1129965,57,200202,2,330,2,2002
10115,24,1129966,57,200202,2,650,1,2002
10115,24,1129966,57,200202,1,670,1,2002
10115,24,1129966,57,200202,2,810,1,2002
10115,24,1129966,57,200202,2,820,1,2002
10115,24,1129966,57,200202,2,890,1,2002
10112,23,1129967,57,200202,1,560,1,2002
10112,23,1129967,57,200202,2,560,1,2002
10112,23,1129967,57,200202,1,600,1,2002
10112,23,1129967,57,200202,2,680,1,2002
10112,23,1129967,57,200202,2,710,1,2002
10115,23,1129967,57,200202,1,660,1,2002
10115,23,1129967,57,200202,1,690,4,2002
10115,23,1129967,57,200202,2,880,1,2002
10115,23,1129967,57,200202,1,700,4,2002
10115,23,1129967,57,200202,1,750,1,2002
10115,23,1129967,57,200202,2,800,1,2002
10115,23,1129967,57,200202,1,680,3,2002
10112,22,1129968,57,200202,1,450,1,2002
10110,22,1129968,57,200202,2,680,3,2002
10110,22,1129968,57,200202,2,710,2,2002
10112,22,1129968,57,200202,1,430,1,2002
10112,22,1129968,57,200202,2,450,1,2002
10112,22,1129968,57,200202,1,480,1,2002
10112,22,1129968,57,200202,1,500,1,2002
10112,22,1129968,57,200202,2,500,2,2002
10112,22,1129968,57,200202,1,510,1,2002
10112,22,1129968,57,200202,2,510,1,2002
10112,22,1129968,57,200202,1,540,1,2002
10112,22,1129968,57,200202,1,550,1,2002
10112,22,1129968,57,200202,2,550,1,2002
10112,22,1129968,57,200202,1,560,1,2002
10112,22,1129968,57,200202,2,560,1,2002
10112,22,1129968,57,200202,1,570,1,2002
10112,22,1129968,57,200202,2,570,2,2002
10112,22,1129968,57,200202,1,580,1,2002
10112,22,1129968,57,200202,2,590,2,2002
10112,22,1129968,57,200202,2,600,1,2002
10112,22,1129968,57,200202,2,610,3,2002
10112,22,1129968,57,200202,2,620,3,2002
10112,22,1129968,57,200202,2,630,1,2002
10112,22,1129968,57,200202,2,640,6,2002
10112,22,1129968,57,200202,1,650,2,2002
10112,22,1129968,57,200202,2,650,4,2002
10112,22,1129968,57,200202,2,660,5,2002
10112,22,1129968,57,200202,2,680,6,2002
10112,22,1129968,57,200202,2,690,1,2002
10112,22,1129968,57,200202,2,700,2,2002
10112,22,1129968,57,200202,2,710,2,2002
10112,22,1129968,57,200202,2,720,3,2002
10112,22,1129968,57,200202,2,730,2,2002
10112,22,1129968,57,200202,2,740,1,2002
10115,22,1129968,57,200202,1,630,1,2002
10115,22,1129968,57,200202,1,670,4,2002
10115,22,1129968,57,200202,1,730,1,2002
10115,22,1129968,57,200202,1,680,1,2002
10115,22,1129968,57,200202,1,700,1,2002
10115,22,1129968,57,200202,1,720,1,2002
10130,22,1129968,57,200202,1,400,1,2002
10130,22,1129968,57,200202,2,440,2,2002
10130,22,1129968,57,200202,2,450,3,2002
10130,22,1129968,57,200202,2,470,1,2002
10130,22,1129968,57,200202,2,480,4,2002
10130,22,1129968,57,200202,2,500,1,2002
10110,22,1129968,57,200202,1,410,1,2002
10110,22,1129968,57,200202,1,450,1,2002
10110,22,1129968,57,200202,2,450,1,2002
10110,22,1129968,57,200202,2,470,1,2002
10110,22,1129968,57,200202,1,470,2,2002
10110,22,1129968,57,200202,1,480,1,2002
10110,22,1129968,57,200202,2,480,2,2002
10110,22,1129968,57,200202,2,500,3,2002
10110,22,1129968,57,200202,2,510,9,2002
10110,22,1129968,57,200202,2,520,4,2002
10110,22,1129968,57,200202,1,530,1,2002
10110,22,1129968,57,200202,2,540,1,2002
10110,22,1129968,57,200202,2,550,1,2002
10110,22,1129968,57,200202,2,570,1,2002
10110,22,1129968,57,200202,2,580,1,2002
10110,22,1129968,57,200202,2,600,1,2002
10110,22,1129968,57,200202,2,610,2,2002
10110,22,1129968,57,200202,2,620,1,2002
10110,22,1129968,57,200202,2,630,1,2002
10110,22,1129968,57,200202,2,650,1,2002
10110,22,1129968,57,200202,2,660,3,2002
10110,22,1129968,57,200202,2,670,1,2002
10110,22,1129968,57,200202,2,490,4,2002
10110,22,1129968,57,200202,2,590,1,2002
10110,22,1129968,57,200202,2,730,1,2002
10112,22,1129968,57,200202,1,520,1,2002
10112,22,1129968,57,200202,2,580,2,2002
10112,22,1129968,57,200202,2,670,2,2002
10115,22,1129968,57,200202,1,650,2,2002
10130,22,1129968,57,200202,2,460,4,2002
10110,21,1129956,57,200202,1,440,1,2002
10110,21,1129956,57,200202,1,470,1,2002
10110,21,1129956,57,200202,2,500,2,2002
10110,21,1129956,57,200202,1,510,1,2002
10110,21,1129956,57,200202,2,520,1,2002
10110,21,1129956,57,200202,1,520,2,2002
10110,21,1129956,57,200202,2,550,1,2002
10110,21,1129956,57,200202,1,590,1,2002
10110,21,1129956,57,200202,2,610,1,2002
10110,21,1129956,57,200202,2,630,2,2002
10110,21,1129956,57,200202,2,660,2,2002
10110,21,1129956,57,200202,2,680,1,2002
10110,21,1129956,57,200202,2,690,2,2002
10110,21,1129956,57,200202,2,730,1,2002
10110,21,1129956,57,200202,2,740,1,2002
21720,21,1129956,57,200202,1,740,1,2002
21720,21,1129956,57,200202,1,750,1,2002
21720,21,1129956,57,200202,1,770,1,2002
21720,21,1129956,57,200202,1,820,2,2002
21740,21,1129956,57,200202,2,580,1,2002
21740,21,1129956,57,200202,2,610,2,2002
30060,21,1129956,57,200202,1,350,1,2002
30060,21,1129956,57,200202,2,360,1,2002
30060,21,1129956,57,200202,1,370,1,2002
30060,21,1129956,57,200202,1,380,2,2002
30060,21,1129956,57,200202,2,380,3,2002
30060,21,1129956,57,200202,2,390,1,2002
30060,21,1129956,57,200202,1,390,2,2002
30060,21,1129956,57,200202,1,400,1,2002
30060,21,1129956,57,200202,2,400,1,2002
30060,21,1129956,57,200202,2,410,1,2002
30060,21,1129956,57,200202,1,410,5,2002
30060,21,1129956,57,200202,1,430,1,2002
30060,21,1129956,57,200202,2,460,1,2002
30060,21,1129956,57,200202,2,490,1,2002
10112,21,1129956,57,200202,2,390,1,2002
10110,21,1129956,57,200202,2,750,1,2002
10112,21,1129956,57,200202,2,360,1,2002
10112,21,1129956,57,200202,2,380,1,2002
10112,21,1129956,57,200202,2,400,2,2002
10112,21,1129956,57,200202,2,430,3,2002
10112,21,1129956,57,200202,2,450,3,2002
10112,21,1129956,57,200202,2,460,2,2002
10112,21,1129956,57,200202,2,470,5,2002
10112,21,1129956,57,200202,2,480,1,2002
10112,21,1129956,57,200202,2,490,4,2002
10112,21,1129956,57,200202,2,500,4,2002
10112,21,1129956,57,200202,2,510,6,2002
10112,21,1129956,57,200202,2,520,1,2002
10112,21,1129956,57,200202,2,530,1,2002
10112,21,1129956,57,200202,2,550,5,2002
10112,21,1129956,57,200202,2,560,3,2002
10112,21,1129956,57,200202,2,570,4,2002
10112,21,1129956,57,200202,1,580,1,2002
10112,21,1129956,57,200202,2,580,1,2002
10112,21,1129956,57,200202,2,590,2,2002
10112,21,1129956,57,200202,2,600,2,2002
10115,21,1129956,57,200202,1,650,2,2002
10115,21,1129956,57,200202,1,690,3,2002
10115,21,1129956,57,200202,1,700,1,2002
10115,21,1129956,57,200202,1,710,1,2002
10115,21,1129956,57,200202,1,720,1,2002
10115,21,1129956,57,200202,1,730,2,2002
10110,21,1129956,57,200202,2,510,2,2002
10110,21,1129956,57,200202,2,710,1,2002
10112,21,1129956,57,200202,2,440,6,2002
10112,21,1129956,57,200202,2,540,9,2002
10115,21,1129956,57,200202,1,670,1,2002
30060,21,1129956,57,200202,1,360,2,2002
30060,21,1129956,57,200202,1,420,2,2002
10112,24,1129969,57,200202,1,530,1,2002
10112,24,1129969,57,200202,2,540,1,2002
10112,24,1129969,57,200202,1,600,1,2002
10112,24,1129969,57,200202,2,630,1,2002
10112,24,1129969,57,200202,2,690,1,2002
10112,24,1129969,57,200202,2,730,1,2002
10115,24,1129969,57,200202,1,720,1,2002
10115,24,1129969,57,200202,2,820,1,2002
10115,24,1129969,57,200202,2,870,1,2002
10115,21,1129970,57,200202,1,650,1,2002
10112,21,1129970,57,200202,1,490,1,2002
10112,21,1129970,57,200202,1,510,2,2002
10112,21,1129970,57,200202,1,520,1,2002
10112,21,1129970,57,200202,1,530,1,2002
10115,21,1129970,57,200202,1,660,1,2002
10115,21,1129970,57,200202,1,670,2,2002
10115,21,1129970,57,200202,1,730,1,2002
10130,21,1129970,57,200202,1,400,1,2002
21720,21,1129970,57,200202,2,460,1,2002
21720,21,1129970,57,200202,2,500,1,2002
21720,21,1129970,57,200202,1,660,1,2002
21720,21,1129970,57,200202,1,710,1,2002
21720,21,1129970,57,200202,2,740,1,2002
21720,21,1129970,57,200202,1,750,1,2002
21720,21,1129970,57,200202,1,760,1,2002
21720,21,1129970,57,200202,2,760,1,2002
30060,21,1129970,57,200202,1,330,1,2002
30060,21,1129970,57,200202,1,340,1,2002
30060,21,1129970,57,200202,2,350,2,2002
30060,21,1129970,57,200202,1,350,3,2002
30060,21,1129970,57,200202,1,360,2,2002
30060,21,1129970,57,200202,2,370,2,2002
30060,21,1129970,57,200202,1,370,4,2002
30060,21,1129970,57,200202,2,380,2,2002
30060,21,1129970,57,200202,1,380,6,2002
30060,21,1129970,57,200202,2,390,2,2002
30060,21,1129970,57,200202,1,390,6,2002
30060,21,1129970,57,200202,1,400,3,2002
10110,21,1129970,57,200202,1,390,2,2002
10110,21,1129970,57,200202,2,410,1,2002
10110,21,1129970,57,200202,1,460,4,2002
10110,21,1129970,57,200202,2,540,3,2002
10110,21,1129970,57,200202,2,690,1,2002
10112,21,1129970,57,200202,1,340,1,2002
10110,21,1129970,57,200202,2,650,1,2002
10110,21,1129970,57,200202,2,680,1,2002
10110,21,1129970,57,200202,2,770,1,2002
10112,21,1129970,57,200202,2,370,1,2002
10112,21,1129970,57,200202,1,390,1,2002
10112,21,1129970,57,200202,1,400,2,2002
10112,21,1129970,57,200202,2,410,1,2002
10112,21,1129970,57,200202,1,410,5,2002
10112,21,1129970,57,200202,2,420,3,2002
10112,21,1129970,57,200202,1,430,1,2002
10112,21,1129970,57,200202,2,430,3,2002
10112,21,1129970,57,200202,1,440,1,2002
10112,21,1129970,57,200202,2,440,2,2002
10112,21,1129970,57,200202,2,450,2,2002
10112,21,1129970,57,200202,1,460,1,2002
10112,21,1129970,57,200202,2,470,1,2002
10112,21,1129970,57,200202,1,480,1,2002
30060,21,1129970,57,200202,2,400,4,2002
30060,21,1129970,57,200202,1,420,2,2002
30060,21,1129970,57,200202,2,420,2,2002
30060,21,1129970,57,200202,2,430,2,2002
30060,21,1129970,57,200202,2,440,4,2002
30060,21,1129970,57,200202,2,450,1,2002
30060,21,1129970,57,200202,2,460,1,2002
30060,21,1129970,57,200202,2,470,1,2002
10110,21,1129970,57,200202,2,340,1,2002
10110,21,1129970,57,200202,2,370,1,2002
10110,21,1129970,57,200202,2,380,2,2002
10110,21,1129970,57,200202,1,400,1,2002
10110,21,1129970,57,200202,2,400,1,2002
10110,21,1129970,57,200202,1,410,4,2002
10110,21,1129970,57,200202,2,420,2,2002
10110,21,1129970,57,200202,1,430,3,2002
10110,21,1129970,57,200202,2,430,3,2002
10112,21,1129970,57,200202,1,450,1,2002
10115,21,1129970,57,200202,1,630,1,2002
21720,21,1129970,57,200202,2,680,1,2002
30060,21,1129970,57,200202,2,360,2,2002
30060,21,1129970,57,200202,2,410,8,2002
10110,21,1129970,57,200202,1,440,3,2002
10110,21,1129970,57,200202,2,440,4,2002
10110,21,1129970,57,200202,1,450,4,2002
10110,21,1129970,57,200202,2,450,6,2002
10110,21,1129970,57,200202,2,460,9,2002
10110,21,1129970,57,200202,1,470,1,2002
10110,21,1129970,57,200202,2,470,7,2002
10110,21,1129970,57,200202,2,480,9,2002
10110,21,1129970,57,200202,2,490,22,2002
10110,21,1129970,57,200202,2,500,7,2002
10110,21,1129970,57,200202,2,510,7,2002
10110,21,1129970,57,200202,2,520,4,2002
10110,21,1129970,57,200202,2,530,6,2002
10110,21,1129970,57,200202,2,550,2,2002
10110,21,1129970,57,200202,2,570,4,2002
10110,21,1129970,57,200202,2,590,2,2002
10110,21,1129970,57,200202,2,620,1,2002
10110,21,1129970,57,200202,2,630,1,2002
10110,21,1129970,57,200202,2,640,1,2002
10110,12,1129972,57,200202,1,420,1,2002
10110,12,1129972,57,200202,2,430,1,2002
10110,12,1129972,57,200202,1,440,2,2002
10110,12,1129972,57,200202,1,450,1,2002
10110,12,1129972,57,200202,2,450,1,2002
10110,12,1129972,57,200202,1,470,4,2002
10110,12,1129972,57,200202,2,480,2,2002
10110,12,1129972,57,200202,1,500,4,2002
10110,12,1129972,57,200202,2,510,2,2002
10110,12,1129972,57,200202,2,520,3,2002
10110,12,1129972,57,200202,2,540,2,2002
10110,12,1129972,57,200202,2,550,1,2002
10115,12,1129972,57,200202,2,840,1,2002
10110,12,1129972,57,200202,2,620,3,2002
10115,12,1129972,57,200202,1,730,1,2002
10112,12,1129972,57,200202,2,660,1,2002
10112,12,1129972,57,200202,2,590,2,2002
10112,12,1129972,57,200202,2,600,2,2002
10112,12,1129972,57,200202,2,620,2,2002
10112,12,1129972,57,200202,2,720,1,2002
10115,12,1129972,57,200202,1,640,1,2002
10115,12,1129972,57,200202,1,660,1,2002
10115,12,1129972,57,200202,1,670,1,2002
10115,12,1129972,57,200202,1,690,1,2002
10115,12,1129972,57,200202,2,690,1,2002
10115,12,1129972,57,200202,2,830,1,2002
10110,12,1129972,57,200202,2,640,4,2002
10110,12,1129972,57,200202,2,560,1,2002
10110,12,1129972,57,200202,2,580,1,2002
10110,12,1129972,57,200202,2,590,1,2002
10110,12,1129972,57,200202,2,690,1,2002
10110,12,1129972,57,200202,2,700,1,2002
10110,12,1129972,57,200202,2,720,1,2002
10110,12,1129972,57,200202,2,730,1,2002
10110,12,1129972,57,200202,2,740,1,2002
10110,12,1129972,57,200202,2,790,1,2002
10112,12,1129972,57,200202,2,400,1,2002
10112,12,1129972,57,200202,1,410,1,2002
10112,12,1129972,57,200202,2,410,1,2002
10112,12,1129972,57,200202,2,420,2,2002
10112,12,1129972,57,200202,1,420,4,2002
10112,12,1129972,57,200202,1,430,3,2002
10112,12,1129972,57,200202,1,440,2,2002
10112,12,1129972,57,200202,2,440,2,2002
10112,12,1129972,57,200202,1,450,2,2002
10112,12,1129972,57,200202,2,460,1,2002
10112,12,1129972,57,200202,2,470,3,2002
10112,12,1129972,57,200202,2,480,1,2002
10112,12,1129972,57,200202,1,490,1,2002
10112,12,1129972,57,200202,2,490,1,2002
10112,12,1129972,57,200202,1,500,2,2002
10112,12,1129972,57,200202,1,520,2,2002
10112,12,1129972,57,200202,2,530,1,2002
10112,12,1129972,57,200202,1,550,1,2002
10112,12,1129972,57,200202,2,550,1,2002
10112,12,1129972,57,200202,2,560,2,2002
10110,12,1129972,57,200202,2,460,1,2002
10110,12,1129972,57,200202,2,570,4,2002
10112,12,1129972,57,200202,1,360,1,2002
10112,12,1129972,57,200202,2,450,1,2002
10112,12,1129972,57,200202,1,540,3,2002
10115,12,1129972,57,200202,1,630,1,2002
10115,25,1129971,57,200202,2,810,1,2002
10115,25,1129971,57,200202,2,820,1,2002
21740,25,1129971,57,200202,2,610,1,2002
10112,14,1129973,57,200202,2,650,1,2002
10115,14,1129973,57,200202,1,650,1,2002
10115,14,1129973,57,200202,1,680,1,2002
10112,21,1130044,57,200202,2,390,4,2002
10112,21,1130044,57,200202,2,400,1,2002
10112,21,1130044,57,200202,1,400,2,2002
10112,21,1130044,57,200202,2,410,3,2002
10112,21,1130044,57,200202,1,410,6,2002
10112,21,1130044,57,200202,2,420,3,2002
10112,21,1130044,57,200202,1,420,4,2002
10112,21,1130044,57,200202,2,430,3,2002
10112,21,1130044,57,200202,2,440,2,2002
10112,21,1130044,57,200202,1,440,3,2002
10112,21,1130044,57,200202,2,450,2,2002
10112,21,1130044,57,200202,1,450,3,2002
10112,21,1130044,57,200202,1,460,1,2002
10112,21,1130044,57,200202,2,460,3,2002
10112,21,1130044,57,200202,1,470,1,2002
10112,21,1130044,57,200202,2,470,2,2002
10112,21,1130044,57,200202,1,550,1,2002
10112,21,1130044,57,200202,2,620,1,2002
10130,21,1130044,57,200202,2,320,1,2002
10130,21,1130044,57,200202,1,340,1,2002
10130,21,1130044,57,200202,2,340,3,2002
10130,21,1130044,57,200202,2,350,1,2002
10130,21,1130044,57,200202,2,360,4,2002
10130,21,1130044,57,200202,2,380,6,2002
10130,21,1130044,57,200202,1,390,1,2002
10130,21,1130044,57,200202,2,390,7,2002
10130,21,1130044,57,200202,2,400,8,2002
10130,21,1130044,57,200202,1,410,2,2002
10130,21,1130044,57,200202,2,410,11,2002
10130,21,1130044,57,200202,2,420,5,2002
10130,21,1130044,57,200202,2,430,5,2002
10130,21,1130044,57,200202,1,440,1,2002
10261,21,1130044,57,200202,2,410,1,2002
10261,21,1130044,57,200202,2,450,1,2002
21720,21,1130044,57,200202,1,420,1,2002
21720,21,1130044,57,200202,2,490,1,2002
21720,21,1130044,57,200202,1,700,1,2002
21720,21,1130044,57,200202,1,740,1,2002
21740,21,1130044,57,200202,1,380,1,2002
21740,21,1130044,57,200202,2,490,1,2002
21740,21,1130044,57,200202,1,530,1,2002
21740,21,1130044,57,200202,1,550,1,2002
21740,21,1130044,57,200202,2,580,2,2002
21740,21,1130044,57,200202,2,610,1,2002
21740,21,1130044,57,200202,2,630,1,2002
21740,21,1130044,57,200202,2,640,1,2002
30060,21,1130044,57,200202,1,250,1,2002
30060,21,1130044,57,200202,1,320,1,2002
