survey,year,species_code,subarea,length,males,females,unsexed,total
BS,2017,10110,999999,70,0,64121,0,64121
BS,2017,10110,999999,80,162787,533891,0,696677
BS,2017,10110,999999,90,197642,84065,116501,398208
BS,2017,10110,999999,100,407858,228741,328594,965193
BS,2017,10110,999999,110,979730,788857,444422,2213008
BS,2017,10110,999999,120,870694,1806799,101563,2779057
BS,2017,10110,999999,130,768094,1069222,80735,1918051
BS,2017,10110,999999,140,753106,958282,79241,1790629
BS,2017,10110,999999,150,1754885,1652059,58251,3465194
BS,2017,10110,999999,160,3233377,6619872,79241,9932490
BS,2017,10110,999999,170,6526908,8667742,0,15194650
BS,2017,10110,999999,180,6170831,11345418,37342,17553591
BS,2017,10110,999999,190,5334433,10197036,0,15531469
BS,2017,10110,999999,200,4631720,7643052,0,12274772
BS,2017,10110,999999,210,4493496,6610512,0,11104008
BS,2017,10110,999999,220,4202812,7186155,0,11388966
BS,2017,10110,999999,230,4245996,6133983,0,10379979
BS,2017,10110,999999,240,3217400,6305710,0,9523109
BS,2017,10110,999999,250,5133939,7928594,0,13062533
BS,2017,10110,999999,260,4447159,7642196,0,12089354
BS,2017,10110,999999,270,6496682,7981496,0,14478178
BS,2017,10110,999999,280,6308912,11509910,0,17818822
BS,2017,10110,999999,290,6408111,12552241,0,18960352
BS,2017,10110,999999,300,8389610,14487052,0,22876661
BS,2017,10110,999999,310,8858279,13511908,0,22370187
BS,2017,10110,999999,320,10526266,16878717,0,27404983
BS,2017,10110,999999,330,8209737,17950746,0,26160483
BS,2017,10110,999999,340,9540380,17808799,0,27349179
BS,2017,10110,999999,350,11087225,18863029,0,29950254
BS,2017,10110,999999,360,11931547,17737657,0,29669204
BS,2017,10110,999999,370,12388865,21433724,0,33822589
BS,2017,10110,999999,380,13238090,21362745,0,34600835
BS,2017,10110,999999,390,9391220,23520564,0,32911785
BS,2017,10110,999999,400,7050263,17920996,0,24971258
BS,2017,10110,999999,410,6089007,18194797,0,24283804
BS,2017,10110,999999,420,6005266,15287145,0,21292411
BS,2017,10110,999999,430,4409848,10801658,0,15211506
BS,2017,10110,999999,440,3903971,11629148,0,15533118
BS,2017,10110,999999,450,3351712,8870625,0,12222338
BS,2017,10110,999999,460,1847529,6050720,0,7898249
BS,2017,10110,999999,470,1410589,6988195,0,8398784
BS,2017,10110,999999,480,1960541,6461710,0,8422250
BS,2017,10110,999999,490,535407,6340120,0,6875527
BS,2017,10110,999999,500,334477,6484683,0,6819160
BS,2017,10110,999999,510,175982,8034328,0,8210310
BS,2017,10110,999999,520,98373,7674777,0,7773150
BS,2017,10110,999999,530,110165,8188503,0,8298667
BS,2017,10110,999999,540,61208,8073714,0,8134922
BS,2017,10110,999999,550,103838,8917197,0,9021034
BS,2017,10110,999999,560,0,9884785,0,9884785
BS,2017,10110,999999,570,0,6853564,0,6853564
BS,2017,10110,999999,580,29728,7345920,0,7375648
BS,2017,10110,999999,590,101381,7282382,0,7383763
BS,2017,10110,999999,600,0,5025168,0,5025168
BS,2017,10110,999999,610,0,3593448,0,3593448
BS,2017,10110,999999,620,0,3869025,0,3869025
BS,2017,10110,999999,630,0,4491708,0,4491708
BS,2017,10110,999999,640,61132,2311547,0,2372679
BS,2017,10110,999999,650,29054,1515579,0,1544633
BS,2017,10110,999999,660,0,1908352,0,1908352
BS,2017,10110,999999,670,0,831196,0,831196
BS,2017,10110,999999,680,0,926600,0,926600
BS,2017,10110,999999,690,0,439639,0,439639
BS,2017,10110,999999,700,0,146246,0,146246
BS,2017,10110,999999,710,0,371230,0,371230
BS,2017,10110,999999,720,0,314795,0,314795
BS,2017,10110,999999,730,0,89543,0,89543
BS,2017,10110,999999,740,0,80735,0,80735
BS,2017,10110,999999,760,0,99335,0,99335
BS,2017,10110,999999,770,0,65507,0,65507
BS,2017,10110,999999,780,0,31049,0,31049
BS,2017,10110,999999,790,0,46569,0,46569
BS,2017,10110,999999,800,0,31049,0,31049
BS,2017,10110,999999,810,0,253355,0,253355
BS,2017,10110,999999,820,0,28522,0,28522
