species_code,stratum,hauljoin,vessel,cruise,sex,length,age,year
30060,11,-4466,94,200801,1,380,13,2008
30060,11,-4466,94,200801,1,350,9,2008
30060,11,-4466,94,200801,1,370,10,2008
30060,11,-4466,94,200801,1,430,15,2008
30060,11,-4466,94,200801,1,340,13,2008
30060,11,-4466,94,200801,1,330,10,2008
30060,11,-4466,94,200801,1,300,7,2008
30060,11,-4466,94,200801,2,360,7,2008
30060,11,-4466,94,200801,2,370,10,2008
30060,11,-4466,94,200801,2,380,11,2008
30060,11,-4466,94,200801,2,400,12,2008
30060,11,-4466,94,200801,2,350,9,2008
30060,11,-4466,94,200801,2,340,9,2008
10115,11,-4468,94,200801,1,710,16,2008
30060,11,-4468,94,200801,2,410,13,2008
30060,11,-4468,94,200801,2,330,12,2008
30060,11,-4468,94,200801,2,420,15,2008
30060,11,-4468,94,200801,2,430,13,2008
30060,11,-4468,94,200801,1,360,15,2008
30060,11,-4468,94,200801,1,400,12,2008
30060,11,-4468,94,200801,1,410,13,2008
10115,11,-4469,94,200801,2,710,18,2008
10115,11,-4469,94,200801,1,650,11,2008
10115,12,-4470,94,200801,1,710,20,2008
10115,12,-4470,94,200801,1,680,22,2008
10115,12,-4470,94,200801,1,720,32,2008
10115,12,-4470,94,200801,1,690,32,2008
10115,12,-4470,94,200801,1,680,28,2008
10115,12,-4470,94,200801,1,670,NA,2008
10115,12,-4470,94,200801,2,880,35,2008
10115,12,-4470,94,200801,2,860,30,2008
10115,12,-4470,94,200801,2,850,32,2008
10115,12,-4470,94,200801,2,830,29,2008
10115,12,-4470,94,200801,2,920,25,2008
10115,12,-4470,94,200801,2,850,29,2008
10115,12,-4470,94,200801,2,880,NA,2008
10115,12,-4470,94,200801,2,840,24,2008
10115,12,-4470,94,200801,2,830,33,2008
10115,12,-4470,94,200801,2,870,29,2008
10115,12,-4470,94,200801,2,840,28,2008
10115,12,-4470,94,200801,2,870,25,2008
10115,12,-4471,94,200801,2,810,30,2008
10115,12,-4471,94,200801,1,670,28,2008
10115,12,-4471,94,200801,1,650,15,2008
30060,12,-4471,94,200801,2,410,20,2008
30060,12,-4471,94,200801,1,360,13,2008
10115,12,-4472,94,200801,1,690,19,2008
10115,12,-4472,94,200801,2,720,NA,2008
30060,12,-4473,94,200801,2,460,56,2008
30060,12,-4473,94,200801,2,360,21,2008
30060,12,-4473,94,200801,2,420,34,2008
30060,12,-4473,94,200801,2,390,18,2008
30060,12,-4473,94,200801,2,400,16,2008
30060,12,-4473,94,200801,2,370,14,2008
30060,12,-4473,94,200801,2,380,9,2008
30060,12,-4473,94,200801,2,390,20,2008
30060,12,-4473,94,200801,2,350,11,2008
30060,12,-4473,94,200801,2,430,27,2008
30060,12,-4473,94,200801,1,380,15,2008
30060,12,-4473,94,200801,1,340,13,2008
30060,12,-4473,94,200801,1,360,13,2008
30060,12,-4473,94,200801,1,400,14,2008
30060,12,-4473,94,200801,1,370,19,2008
30060,12,-4473,94,200801,1,410,19,2008
30060,12,-4473,94,200801,1,350,14,2008
30060,12,-4473,94,200801,1,390,24,2008
30060,12,-4473,94,200801,1,390,22,2008
10115,12,-4473,94,200801,1,720,17,2008
30060,11,-4474,94,200801,2,290,7,2008
30060,11,-4475,94,200801,1,310,7,2008
30060,11,-4475,94,200801,1,420,24,2008
30060,11,-4475,94,200801,2,270,5,2008
30060,11,-4477,94,200801,1,440,63,2008
30060,11,-4477,94,200801,1,420,14,2008
30060,11,-4477,94,200801,1,430,24,2008
30060,11,-4477,94,200801,2,450,24,2008
30060,11,-4477,94,200801,2,440,20,2008
30060,11,-4477,94,200801,2,480,27,2008
30060,11,-4477,94,200801,2,440,28,2008
30060,11,-4477,94,200801,2,460,20,2008
30060,11,-4477,94,200801,2,480,24,2008
10115,12,-4478,94,200801,2,740,18,2008
10115,12,-4478,94,200801,1,750,25,2008
10115,12,-4478,94,200801,1,700,24,2008
10115,12,-4478,94,200801,1,740,18,2008
10115,12,-4478,94,200801,1,660,14,2008
10115,12,-4478,94,200801,1,620,13,2008
10115,12,-4478,94,200801,1,630,34,2008
10115,12,-4479,94,200801,2,920,25,2008
10115,12,-4479,94,200801,2,890,25,2008
10115,11,-4480,94,200801,1,730,25,2008
10115,12,-4482,94,200801,2,890,29,2008
10115,12,-4482,94,200801,1,620,21,2008
10115,12,-4482,94,200801,1,630,NA,2008
10115,12,-4482,94,200801,1,540,11,2008
10115,13,-4483,94,200801,2,860,25,2008
10115,13,-4483,94,200801,2,900,35,2008
10115,13,-4483,94,200801,2,790,16,2008
10115,13,-4483,94,200801,1,640,13,2008
10115,13,-4483,94,200801,1,660,29,2008
10115,14,-4484,94,200801,1,640,14,2008
10115,14,-4484,94,200801,2,910,21,2008
10115,14,-4484,94,200801,2,840,20,2008
10115,14,-4484,94,200801,2,820,21,2008
10115,15,-4485,94,200801,2,680,NA,2008
10115,13,-4487,94,200801,2,890,19,2008
10115,13,-4487,94,200801,2,900,15,2008
10115,13,-4487,94,200801,2,870,26,2008
10115,13,-4487,94,200801,2,720,NA,2008
10115,13,-4487,94,200801,1,800,27,2008
10115,13,-4487,94,200801,1,710,15,2008
10115,13,-4487,94,200801,1,700,27,2008
10115,13,-4488,94,200801,1,700,18,2008
10115,13,-4488,94,200801,1,660,25,2008
10115,13,-4488,94,200801,1,680,20,2008
10115,13,-4488,94,200801,1,720,22,2008
10115,13,-4488,94,200801,1,640,15,2008
10115,13,-4488,94,200801,1,740,20,2008
10115,13,-4488,94,200801,2,820,23,2008
10115,13,-4488,94,200801,2,880,22,2008
10115,13,-4488,94,200801,2,930,27,2008
10115,12,-4493,94,200801,1,780,37,2008
10115,12,-4493,94,200801,1,670,NA,2008
10115,12,-4493,94,200801,2,800,18,2008
10115,12,-4493,94,200801,2,910,35,2008
10115,12,-4493,94,200801,2,950,19,2008
10115,12,-4493,94,200801,2,940,25,2008
10115,12,-4493,94,200801,2,960,34,2008
10115,12,-4494,94,200801,1,620,9,2008
10115,12,-4494,94,200801,1,690,25,2008
30060,12,-4494,94,200801,1,380,13,2008
30060,12,-4494,94,200801,1,360,13,2008
30060,12,-4494,94,200801,2,380,11,2008
30060,12,-4494,94,200801,2,370,12,2008
10115,11,-4495,94,200801,1,730,21,2008
30060,11,-4495,94,200801,2,420,24,2008
30060,11,-4495,94,200801,2,390,18,2008
30060,11,-4495,94,200801,2,410,19,2008
30060,11,-4495,94,200801,2,440,14,2008
30060,11,-4495,94,200801,2,430,22,2008
30060,11,-4495,94,200801,1,390,14,2008
30060,11,-4495,94,200801,1,400,24,2008
30060,11,-4495,94,200801,1,420,72,2008
30060,11,-4495,94,200801,1,350,8,2008
30060,11,-4495,94,200801,1,370,19,2008
30060,11,-4496,94,200801,1,440,23,2008
30060,11,-4496,94,200801,2,460,23,2008
30060,11,-4496,94,200801,2,400,14,2008
30060,11,-4498,94,200801,1,440,20,2008
30060,11,-4498,94,200801,1,430,32,2008
30060,11,-4498,94,200801,1,410,16,2008
30060,11,-4498,94,200801,1,450,48,2008
30060,11,-4498,94,200801,1,340,9,2008
30060,11,-4498,94,200801,2,450,26,2008
30060,11,-4498,94,200801,2,470,31,2008
10115,12,-4499,94,200801,1,540,9,2008
10115,12,-4500,94,200801,1,730,28,2008
10115,12,-4500,94,200801,2,790,29,2008
10115,13,-4502,94,200801,1,750,26,2008
10115,13,-4502,94,200801,1,650,11,2008
10115,13,-4502,94,200801,2,870,32,2008
10115,13,-4502,94,200801,2,830,28,2008
10115,13,-4505,94,200801,2,940,35,2008
10115,13,-4505,94,200801,1,740,20,2008
10115,13,-4505,94,200801,2,780,NA,2008
10115,13,-4505,94,200801,2,900,20,2008
10115,13,-4505,94,200801,2,960,31,2008
30060,11,-4503,94,200801,1,450,27,2008
30060,11,-4503,94,200801,2,480,25,2008
30060,11,-4503,94,200801,2,450,25,2008
30060,11,-4503,94,200801,2,330,8,2008
30060,11,-4503,94,200801,2,360,9,2008
30060,11,-4504,94,200801,1,450,27,2008
30060,11,-4504,94,200801,1,330,6,2008
10115,15,-4506,94,200801,2,920,27,2008
10115,15,-4506,94,200801,2,970,35,2008
10115,25,-4508,94,200801,2,910,22,2008
10115,25,-4508,94,200801,2,890,30,2008
30060,21,-4509,94,200801,2,440,36,2008
30060,21,-4509,94,200801,2,330,12,2008
30060,21,-4509,94,200801,2,410,22,2008
30060,21,-4509,94,200801,2,390,51,2008
30060,21,-4509,94,200801,2,400,22,2008
30060,21,-4509,94,200801,2,420,30,2008
30060,21,-4509,94,200801,2,370,15,2008
30060,21,-4509,94,200801,2,430,47,2008
30060,21,-4509,94,200801,2,380,22,2008
30060,21,-4509,94,200801,2,350,9,2008
30060,21,-4509,94,200801,2,460,52,2008
30060,21,-4509,94,200801,2,450,55,2008
30060,21,-4509,94,200801,1,390,22,2008
30060,21,-4509,94,200801,2,340,9,2008
30060,21,-4509,94,200801,2,360,14,2008
30060,21,-4509,94,200801,1,380,17,2008
30060,21,-4509,94,200801,1,370,19,2008
30060,21,-4509,94,200801,1,350,13,2008
30060,21,-4509,94,200801,1,400,19,2008
30060,21,-4509,94,200801,1,280,6,2008
30060,21,-4509,94,200801,1,360,12,2008
30060,21,-4509,94,200801,1,340,8,2008
30060,21,-4509,94,200801,1,410,55,2008
30060,21,-4509,94,200801,1,420,67,2008
30060,21,-4509,94,200801,1,230,8,2008
30060,21,-4509,94,200801,1,330,14,2008
30060,21,-4509,94,200801,1,180,4,2008
30060,21,-4509,94,200801,1,300,6,2008
30060,21,-4509,94,200801,1,310,5,2008
10115,21,-4510,94,200801,1,730,28,2008
10115,21,-4510,94,200801,1,690,24,2008
10115,21,-4510,94,200801,1,580,11,2008
10115,21,-4510,94,200801,1,700,12,2008
10115,21,-4510,94,200801,1,640,NA,2008
10115,21,-4510,94,200801,1,660,21,2008
10115,21,-4510,94,200801,1,630,20,2008
10115,21,-4510,94,200801,1,800,22,2008
10115,21,-4510,94,200801,1,670,24,2008
10115,24,-4511,94,200801,2,890,29,2008
10115,25,-4514,94,200801,2,840,23,2008
10115,25,-4514,94,200801,2,900,28,2008
10115,23,-4512,94,200801,1,640,9,2008
30060,21,-4513,94,200801,2,420,15,2008
30060,21,-4513,94,200801,2,460,24,2008
30060,21,-4513,94,200801,2,490,29,2008
30060,21,-4513,94,200801,2,470,25,2008
30060,21,-4513,94,200801,2,480,43,2008
30060,21,-4513,94,200801,2,450,17,2008
30060,21,-4513,94,200801,2,430,18,2008
30060,21,-4513,94,200801,1,410,16,2008
30060,21,-4513,94,200801,1,300,7,2008
