survey,stratum,area
EBS_SHELF,1,77871.19482419
EBS_SHELF,2,41027.07031248
EBS_SHELF,3,103300.22729512
EBS_SHELF,4,107822.24743647
EBS_SHELF,5,38792.43627929
EBS_SHELF,6,94562.32836934
EBS_SHELF,8,17954
EBS_SHELF,9,11567.95970497
EBS_SHELF,10,77871.19482419
EBS_SHELF,20,41027.07031248
EBS_SHELF,31,94526.05700702
EBS_SHELF,32,8774.1702881
EBS_SHELF,41,62703.46301286
EBS_SHELF,42,24011.08752429
EBS_SHELF,43,21107.69689932
EBS_SHELF,50,38792.43627929
EBS_SHELF,61,88133.71459981
EBS_SHELF,62,6428.61376953
EBS_SHELF,82,17954
EBS_SHELF,90,11567.95970497
EBS_SHELF,100,118898.26513667
EBS_SHELF,200,229076.47473159
EBS_SHELF,300,144922.7243536
EBS_SHELF,999,492897.46422186
