year,species_code,age,males,females,unsexed
1980,21720,1,77229,0,0
1980,21720,2,11668445.392857142,11099747.455555556,0
1980,21720,3,6449048.5261904765,5651549.148412698,0
1980,21720,4,2623918.223809524,2330447.9456349206,0
1980,21720,5,1303570.857142857,1657546.4503968253,0
1980,21720,6,320213,569130,0
1980,21740,2,0,5899340,0
1980,21740,3,119760997.62000303,130500555.12554917,0
1980,21740,4,36451733.47022478,21412101.693163022,0
1980,21740,5,12246939.960037375,14078456.415703626,0
1980,21740,6,11102677.608616287,14927932.576919645,0
1980,21740,7,12106096.599368276,17245866.25099008,0
1980,21740,8,7094777.991198558,18194341.653123956,0
1980,21740,9,3790136.160131286,11421925.956909899,0
1980,21740,10,3478758.1746919802,4028616.856611376,0
1980,21740,11,3761564.145350328,4287068.489980117,0
1980,21740,12,1487075.8627740822,4362058.636434452,0
1980,21740,13,417940.0538020086,1383913.27958346,0
1980,21740,14,391209.32941176475,740315.3342619656,0
1980,21740,15,180342.0243902439,0,0
1980,21740,17,0,135677.73076923078,0
1980,21921,2,149155,85569,0
1980,21921,3,16553395.613675214,8135526.44846086,0
1980,21921,4,27565406.3164779,12064948.666482545,0
1980,21921,5,21246698.552290853,50305362.05585945,0
1980,21921,6,1252089.5175560326,11525635.994650932,0
1980,21921,7,0,2895506.5039155823,0
1980,21921,8,0,1074549.1681306306,0
1980,21921,9,0,363364.1625,0
1980,30060,2,0,0,0
1980,30060,3,11980.625,38884.5,0
1980,30060,4,866277.0666666667,855404.2333333333,0
1980,30060,5,1304466.2596880132,269425.3333333333,0
1980,30060,6,1336114.6483148078,1213250.2687552213,0
1980,30060,7,1318355.2959183415,1260876.0541771094,0
1980,30060,8,3518869.0377903935,3472850.5168366404,0
1980,30060,9,3297030.8936161664,2496580.944209998,0
1980,30060,10,3753564.736542764,3684136.1989732236,0
1980,30060,11,1989112.5445478589,1663859.3248164877,0
1980,30060,12,2054743.1251303586,1736291.7826086956,0
1980,30060,13,3874881.408001037,1954234.0763692828,0
1980,30060,14,1166443.40542522,1607441.8729236093,0
1980,30060,15,1809849.0426687554,1892746.1397515528,0
1980,30060,16,559814.8047107931,701226.6981225297,0
1980,30060,17,138478.70967741936,1160989.2100840337,0
1980,30060,18,743745.3831679074,930024.751984127,0
1980,30060,19,811190.967253177,804939.1607142857,0
1980,30060,20,2320270.938747187,1709418.576155462,0
1980,30060,21,1333895.5573860041,1286687.781512605,0
1980,30060,22,280135.56451612903,1770061.2924253033,0
1980,30060,23,130933.75,498088.125,0
1980,30060,24,526323.75,378191.35714285716,0
1980,30060,25,130933.75,431936.626984127,0
1980,30060,26,237682.7741935484,436182.35294117645,0
1980,30060,27,330204.7956989247,742420.408496732,0
1980,30060,28,0,382680.95454545453,0
1980,30060,29,661183.2998102466,1312461.8350840337,0
1980,30060,30,99204.06451612903,306238.05555555556,0
1980,30060,31,99204.06451612903,1405943.4642857143,0
1980,30060,32,394527.0833333333,1440742.169642857,0
