year,species_code,length,males,females,unsexed
1980,REBS,50,0,0,0
1983,REBS,50,0,0,0
1986,REBS,50,0,0,0
1991,REBS,50,0,0,0
1994,REBS,50,0,0,0
1997,REBS,50,0,0,0
2000,REBS,50,0,0,0
2002,REBS,50,0,0,0
2004,REBS,50,0,0,3391
1980,REBS,100,0,0,0
1983,REBS,100,0,0,0
1986,REBS,100,0,0,0
1991,REBS,100,0,0,0
1994,REBS,100,0,0,0
1997,REBS,100,0,0,0
2000,REBS,100,0,0,0
2002,REBS,100,0,0,0
2004,REBS,100,0,0,2009
1980,REBS,110,0,0,0
1983,REBS,110,0,0,0
1986,REBS,110,0,0,0
1991,REBS,110,1653,0,0
1994,REBS,110,0,0,0
1997,REBS,110,0,0,0
2000,REBS,110,0,0,0
2002,REBS,110,4306,0,0
2004,REBS,110,0,0,0
1980,REBS,120,0,0,0
1983,REBS,120,0,0,0
1986,REBS,120,0,0,0
1991,REBS,120,0,0,0
1994,REBS,120,0,0,0
1997,REBS,120,0,0,0
2000,REBS,120,0,0,0
2002,REBS,120,14986,0,0
2004,REBS,120,0,0,0
1980,REBS,130,0,0,0
1983,REBS,130,0,0,0
1986,REBS,130,3906,0,0
1991,REBS,130,3307,0,0
1994,REBS,130,0,0,0
1997,REBS,130,0,0,0
2000,REBS,130,0,0,0
2002,REBS,130,0,6111,0
2004,REBS,130,0,0,0
1980,REBS,140,0,0,0
1983,REBS,140,0,0,0
1986,REBS,140,0,0,0
1991,REBS,140,1653,0,0
1994,REBS,140,0,0,0
1997,REBS,140,0,0,0
2000,REBS,140,0,0,0
2002,REBS,140,17045,1987,0
2004,REBS,140,0,2973,0
1980,REBS,150,0,0,0
1983,REBS,150,0,0,0
1986,REBS,150,0,0,0
1991,REBS,150,3869,0,0
1994,REBS,150,0,0,0
1997,REBS,150,0,0,0
2000,REBS,150,3800,0,0
2002,REBS,150,0,37091,9552
2004,REBS,150,7810,9858,0
1980,REBS,160,0,0,0
1983,REBS,160,4608,0,0
1986,REBS,160,3503,0,0
1991,REBS,160,8128,1653,0
1994,REBS,160,0,0,0
1997,REBS,160,0,0,0
2000,REBS,160,0,0,0
2002,REBS,160,7493,10124,0
2004,REBS,160,3401,43694,7810
1980,REBS,170,0,0,0
1983,REBS,170,0,955,0
1986,REBS,170,3503,4873,0
1991,REBS,170,0,0,0
1994,REBS,170,0,0,0
1997,REBS,170,0,0,0
2000,REBS,170,0,0,0
2002,REBS,170,4306,8612,0
2004,REBS,170,35215,66180,7810
1980,REBS,180,0,0,0
1983,REBS,180,13824,4608,0
1986,REBS,180,3503,0,0
1991,REBS,180,0,0,0
1994,REBS,180,0,0,0
1997,REBS,180,0,0,0
2000,REBS,180,0,0,0
2002,REBS,180,0,0,0
2004,REBS,180,71875,64032,0
1980,REBS,190,0,0,0
1983,REBS,190,8617,0,0
1986,REBS,190,3750,0,0
1991,REBS,190,3307,0,0
1994,REBS,190,8743,1803,0
1997,REBS,190,0,0,0
2000,REBS,190,3494,0,0
2002,REBS,190,17733,8524,0
2004,REBS,190,64006,25114,0
1980,REBS,200,0,0,0
1983,REBS,200,8713,0,0
1986,REBS,200,16840,16238,0
1991,REBS,200,58828,6173,0
1994,REBS,200,0,1803,0
1997,REBS,200,0,0,0
2000,REBS,200,0,0,0
2002,REBS,200,17645,12830,0
2004,REBS,200,27334,29523,0
1980,REBS,210,0,0,0
1983,REBS,210,7271,17255,0
1986,REBS,210,13485,18067,0
1991,REBS,210,2216,4960,0
1994,REBS,210,8743,0,0
1997,REBS,210,6594,0,0
2000,REBS,210,4719,0,0
2002,REBS,210,8524,0,0
2004,REBS,210,3050,3242,0
1980,REBS,220,0,0,0
1983,REBS,220,18944,2865,0
1986,REBS,220,51710,31427,0
1991,REBS,220,7724,5159,0
1994,REBS,220,3023,8031,0
1997,REBS,220,0,0,0
2000,REBS,220,6879,0,0
2002,REBS,220,0,4306,0
2004,REBS,220,0,0,0
1980,REBS,230,0,4605,0
1983,REBS,230,8508,4024,0
1986,REBS,230,48605,34414,0
1991,REBS,230,8128,40633,0
1994,REBS,230,9834,30191,0
1997,REBS,230,6594,6594,0
2000,REBS,230,0,0,0
2002,REBS,230,4306,0,0
2004,REBS,230,0,0,0
1980,REBS,240,0,0,0
1983,REBS,240,28702,29280,0
1986,REBS,240,297451,25649,0
1991,REBS,240,57737,217621,0
1994,REBS,240,4826,21810,0
1997,REBS,240,0,6594,0
2000,REBS,240,13757,0,0
2002,REBS,240,4306,4306,0
2004,REBS,240,0,2009,0
1980,REBS,250,0,0,0
1983,REBS,250,44357,23798,0
1986,REBS,250,71596,32603,0
1991,REBS,250,86563,115167,0
1994,REBS,250,61802,12005,0
1997,REBS,250,13187,13187,0
2000,REBS,250,3418,0,0
2002,REBS,250,5107,0,0
2004,REBS,250,6904,6620,0
1980,REBS,260,0,0,0
1983,REBS,260,48085,38830,0
1986,REBS,260,102449,35321,0
1991,REBS,260,6805,45207,0
1994,REBS,260,18394,20019,0
1997,REBS,260,0,11213,0
2000,REBS,260,17268,3291,0
2002,REBS,260,17852,4306,0
2004,REBS,260,24151,9862,0
1980,REBS,270,0,4605,0
1983,REBS,270,86097,54750,0
1986,REBS,270,145406,49435,0
1991,REBS,270,79879,49019,0
1994,REBS,270,46714,20475,0
1997,REBS,270,21511,46155,0
2000,REBS,270,17060,18590,0
2002,REBS,270,8524,0,0
2004,REBS,270,24064,0,0
1980,REBS,280,0,0,0
1983,REBS,280,92195,139561,0
1986,REBS,280,123499,153079,0
1991,REBS,280,77153,44093,0
1994,REBS,280,23447,102263,0
1997,REBS,280,24176,16415,0
2000,REBS,280,3800,6879,0
2002,REBS,280,3498,4306,0
2004,REBS,280,3985,6620,0
1980,REBS,290,0,0,0
1983,REBS,290,132758,106608,0
1986,REBS,290,142291,64807,0
1991,REBS,290,106282,33045,0
1994,REBS,290,34637,72593,0
1997,REBS,290,18934,15903,0
2000,REBS,290,31329,25814,0
2002,REBS,290,14386,18648,0
2004,REBS,290,28496,16451,0
1980,REBS,300,0,0,0
1983,REBS,300,178055,162037,0
1986,REBS,300,389392,214801,0
1991,REBS,300,53659,32910,0
1994,REBS,300,99244,95340,0
1997,REBS,300,13187,6594,0
2000,REBS,300,61342,19297,0
2002,REBS,300,22985,5066,0
2004,REBS,300,0,16618,0
1980,REBS,310,4605,4605,0
1983,REBS,310,238455,190281,0
1986,REBS,310,360518,375199,0
1991,REBS,310,81633,124458,0
1994,REBS,310,117450,131937,0
1997,REBS,310,29241,35846,0
2000,REBS,310,6341,14321,0
2002,REBS,310,41998,3193,0
