year,species_code,comp_type,iss,nss,hls
1991,10110,female,521.0940554428709,3809,107
1994,10110,female,1172.1750791347968,7935,240
1997,10110,female,637.4821851691491,6688,254
2000,10110,female,772.5423019296545,7957,303
2002,10110,female,1059.9925377436496,8294,289
2004,10110,female,1012.1550259939137,7319,280
2006,10110,female,619.3756020372746,6307,249
2010,10110,female,650.462965077361,6306,291
2012,10110,female,474.65319343511254,4959,313
2014,10110,female,845.6359308478701,5994,298
2016,10110,female,796.0473373195548,5348,309
2018,10110,female,1007.7396372889077,6262,313
2022,10110,female,1055.429077554517,5582,276
1991,21740,female,460.59178010535067,7343,120
1994,21740,female,319.93618262281785,8923,193
1997,21740,female,487.85024366877263,5647,205
2000,21740,female,231.9303092659741,5237,222
2002,21740,female,420.1445271995203,7476,227
2004,21740,female,201.83704793900145,4605,204
2006,21740,female,263.9588829266091,3013,191
2010,21740,female,148.28872714822973,4460,191
2012,21740,female,173.10169639802385,3720,238
2014,21740,female,44.00060499267722,5235,248
2016,21740,female,128.3003291798623,5234,244
2018,21740,female,318.5303168854638,8054,283
2022,21740,female,133.16077778505058,4251,224
1991,21720,female,216.72865201153303,3877,174
1994,21720,female,118.62794028804511,4871,261
1997,21720,female,395.89260967911747,2457,227
2000,21720,female,475.2853791449857,2930,247
2002,21720,female,512.3955438953905,2328,221
2004,21720,female,615.5524610807358,2415,212
2006,21720,female,364.69088105446355,1496,199
2010,21720,female,518.3565450181771,2001,231
2012,21720,female,413.89772855243154,1862,242
2014,21720,female,604.0055892522436,2085,232
2016,21720,female,710.4569885553664,3096,267
2018,21720,female,671.1893686292997,2995,301
2022,21720,female,478.34874652448855,1972,257
1991,21921,female,192.4608738173167,3527,54
1994,21921,female,117.79773136838608,3640,90
1997,21921,female,132.15614712469477,2956,71
2000,21921,female,120.52820256548041,3537,99
2002,21921,female,263.8936481015805,7653,191
2004,21921,female,542.6652810420493,9390,208
2006,21921,female,166.63614274657272,4673,149
2010,21921,female,117.57181650143791,6746,203
2012,21921,female,199.03211467418834,3952,156
2014,21921,female,156.11922342234158,5355,185
2016,21921,female,80.2218679973468,3132,129
2018,21921,female,102.14667148456802,3973,157
2022,21921,female,95.74143534738172,3661,153
1991,10112,female,151.77587436873551,637,44
1994,10112,female,245.9878080233797,1638,166
1997,10112,female,294.4808756722565,1238,159
2000,10112,female,257.48938684459625,1201,167
2002,10112,female,239.9237510729373,1157,152
2004,10112,female,270.6243996163818,1498,198
2006,10112,female,233.63220020970593,1263,195
2010,10112,female,236.3277471213693,1160,175
2012,10112,female,232.51135215618095,1241,218
2014,10112,female,175.12811214406506,1386,207
2016,10112,female,239.13369759719157,1462,222
2018,10112,female,226.7511625633868,1541,226
2022,10112,female,160.73146389496543,1094,183
1991,30060,female,201.3551615631038,5795,109
1994,30060,female,258.41552170452144,8380,162
1997,30060,female,387.9578041707268,7979,177
2000,30060,female,272.8863905312332,9376,226
2002,30060,female,247.79095671511755,8279,216
2004,30060,female,544.0625911041321,10143,223
2006,30060,female,464.0893266561741,8329,195
2010,30060,female,543.4871145871105,8729,216
2012,30060,female,441.4928940253807,12587,273
2014,30060,female,226.29740434419813,11885,278
2016,30060,female,796.4011910246722,14850,291
2018,30060,female,559.3397640551125,12308,271
2022,30060,female,387.49128115369933,9558,261
1991,30420,female,85.32754332719936,2408,41
1994,30420,female,46.09961818440026,3431,86
1997,30420,female,114.42443672278765,3645,97
2000,30420,female,172.1580095279871,4284,110
2002,30420,female,245.24873358410898,5640,129
2004,30420,female,342.3298853432715,7936,182
2006,30420,female,223.53833076021772,5011,135
2010,30420,female,259.3452073183895,7410,178
2012,30420,female,104.76779272209063,6660,169
2014,30420,female,224.1870461896182,9618,183
2016,30420,female,252.30779283617917,9043,219
2018,30420,female,274.3776282940205,8953,209
2022,30420,female,243.3041756497883,6575,182
1991,10110,male,392.3555526127024,2740,104
1994,10110,male,606.4981399027321,4649,217
1997,10110,male,537.5677223956579,4250,239
2000,10110,male,344.9906028660591,4629,281
2002,10110,male,599.3783905597392,4421,272
2004,10110,male,471.4695635615311,4206,254
2006,10110,male,336.7511335702839,3159,224
2010,10110,male,244.76863266561034,3787,257
2012,10110,male,192.56951342603344,3345,257
2014,10110,male,474.7736315475635,4200,245
2016,10110,male,264.49904211635254,3814,271
2018,10110,male,466.46109149007725,3935,272
2022,10110,male,531.2318231873027,3528,241
1991,21740,male,348.1025509382101,6914,122
1994,21740,male,208.1063865557198,6575,205
1997,21740,male,408.3474399655839,4019,198
2000,21740,male,196.37878121874874,4565,203
2002,21740,male,339.207578123788,5808,216
2004,21740,male,170.67550794081026,3847,195
2006,21740,male,198.27501503633934,2804,175
2010,21740,male,120.80722264165529,5181,184
2012,21740,male,109.52379187652288,4117,231
2014,21740,male,59.269923642108296,5055,233
2016,21740,male,68.98253601932794,3868,233
2018,21740,male,177.406422521149,4679,256
2022,21740,male,112.7428131081904,3332,209
1991,21720,male,235.47896455448543,4431,175
1994,21720,male,116.68321377547122,5153,259
1997,21720,male,425.37774307455453,2809,240
2000,21720,male,489.8659807732994,2994,250
2002,21720,male,537.265524116607,2486,224
2004,21720,male,604.033910827599,2563,229
2006,21720,male,361.1011433635929,1768,205
2010,21720,male,586.6531869225964,2327,241
2012,21720,male,447.7559203671094,1932,244
2014,21720,male,661.2046741500752,2456,256
2016,21720,male,796.7265607577791,3404,268
2018,21720,male,577.2875344130055,3095,296
2022,21720,male,587.8920397985218,2395,263
1991,21921,male,190.10041705409097,3261,54
1994,21921,male,110.46180451738273,3117,96
1997,21921,male,119.13426227276855,2696,67
2000,21921,male,69.95578265499952,3325,104
2002,21921,male,263.64939799308814,7874,195
2004,21921,male,472.46307078367926,8974,228
2006,21921,male,142.6752720196453,5098,166
2010,21921,male,145.59335209812375,6173,203
2012,21921,male,170.90249492899284,3584,164
2014,21921,male,151.66550186329056,4620,194
2016,21921,male,78.4480591163917,2947,127
2018,21921,male,125.71468520926437,3327,173
2022,21921,male,148.80284477953347,3468,164
1991,10112,male,152.85723623952865,591,41
1994,10112,male,157.67534816766772,2111,155
1997,10112,male,200.73684779210123,1948,141
2000,10112,male,287.86802004161456,1862,166
2002,10112,male,291.9114957843721,1481,148
2004,10112,male,258.1383628924127,2132,193
2006,10112,male,269.3463654802414,2016,175
2010,10112,male,156.1716803931537,1815,173
2012,10112,male,185.97168551284,1793,199
2014,10112,male,111.13841919637387,1800,199
2016,10112,male,252.9658752722559,2301,225
2018,10112,male,215.7593988562598,2074,205
2022,10112,male,183.9247790558801,1527,180
1991,30060,male,266.70080496134267,6632,108
1994,30060,male,308.319260553576,9271,163
1997,30060,male,409.5926346967796,10557,190
2000,30060,male,335.7655739670705,11786,230
2002,30060,male,269.40671065916496,11505,215
2004,30060,male,647.2051807726322,14426,234
2006,30060,male,577.5286131936521,10663,203
2010,30060,male,767.9330210614266,13621,229
2012,30060,male,678.3464719576393,18521,277
2014,30060,male,288.3485769657263,17514,276
2016,30060,male,873.3534090061514,21061,300
2018,30060,male,938.4083166024367,18236,275
2022,30060,male,512.9786432404484,13734,273
1991,30420,male,84.39748251322334,1831,41
1994,30420,male,51.32365251139125,2157,86
1997,30420,male,133.00968422853265,2588,102
2000,30420,male,156.4641598016448,2940,106
2002,30420,male,191.41383360835297,3715,120
2004,30420,male,214.262552578296,3999,163
2006,30420,male,196.87626144290664,3373,133
2010,30420,male,256.1394312182351,4380,163
2012,30420,male,66.11785322224199,3537,143
2014,30420,male,157.38740895842474,5120,186
2016,30420,male,202.30061298382608,6070,193
2018,30420,male,304.8335991593209,5678,193
2022,30420,male,208.92197056205316,3838,168
1991,10110,total,709.8043271419111,6551,107
1994,10110,total,1362.7662209347498,12605,255
1997,10110,total,941.528882792807,10943,277
2000,10110,total,805.283732841756,12586,320
2002,10110,total,1377.018356622554,12727,313
2004,10110,total,1322.3033670259201,11526,302
2006,10110,total,773.3614684635305,9478,268
2010,10110,total,533.8291565950246,10127,307
2012,10110,total,410.9882311912187,8309,334
2014,10110,total,1071.4714298191052,10201,315
2016,10110,total,646.0719310209467,9166,339
2018,10110,total,1191.330016898783,10225,335
2022,10110,total,1332.255055413222,9934,295
1991,21740,total,490.70054040447764,14652,122
1994,21740,total,278.59706816205477,16441,243
1997,21740,total,680.9594580866922,9740,238
2000,21740,total,261.84421509320504,9815,254
2002,21740,total,520.9184320414568,13332,263
2004,21740,total,283.1748921749821,8460,236
2006,21740,total,264.71970537791327,6586,219
2010,21740,total,148.50526043398474,9758,220
2012,21740,total,150.65801149775206,7880,272
2014,21740,total,54.492211133973406,10300,276
2016,21740,total,110.67072541162557,9112,273
2018,21740,total,332.3789266439758,12972,306
2022,21740,total,174.05621031327271,7595,245
1991,21720,total,326.4325258813883,8308,175
1994,21720,total,133.94006957611913,10024,282
1997,21720,total,530.7275258770293,5268,267
2000,21720,total,724.8690316793492,5924,278
2002,21720,total,807.8587245273889,4829,249
2004,21720,total,1020.9635537295957,4979,250
2006,21720,total,535.6027029059061,3264,225
2010,21720,total,878.0663879794043,4332,269
2012,21720,total,723.6080265489534,3795,278
2014,21720,total,1071.2509806683163,4541,267
2016,21720,total,1161.3282853534924,6500,298
2018,21720,total,1019.2410237000115,6093,323
2022,21720,total,916.5772038462591,4368,292
1991,21921,total,254.40870632202493,6788,54
1994,21921,total,146.72210430080384,6771,120
1997,21921,total,153.40313297001737,5652,86
2000,21921,total,93.26507698426822,7710,128
2002,21921,total,305.7469651886937,15544,228
2004,21921,total,657.2810129470413,18366,244
2006,21921,total,194.30085539279693,9773,185
2010,21921,total,165.4112483384429,13056,235
2012,21921,total,230.9840131997798,7540,201
2014,21921,total,189.54701260321139,9999,223
2016,21921,total,96.82202238520746,6080,160
2018,21921,total,143.3536285566725,7301,202
2022,21921,total,143.48057784668117,7154,183
1991,10112,total,272.9135396529454,1228,44
1994,10112,total,271.44353774214403,3749,186
1997,10112,total,341.1130917550227,3201,183
2000,10112,total,435.9369792261494,3063,202
