species_code,species_name,surv,type,avg_iss
10110,arrowtooth flounder,GOA,female,229.84960454212643
10130,flathead sole,GOA,female,110.54942623244752
10180,Dover sole,GOA,female,85.21224646702491
20510,sablefish,GOA,female,68.75264972438862
21720,Pacific cod,GOA,female,84.0675759302862
21740,walleye pollock,GOA,female,109.6719046349053
30050,REBS rockfish complex,GOA,female,86.2238273072282
30060,Pacific ocean perch,GOA,female,131.59787480607517
30150,Dusky rockfish,GOA,female,65.73328857348602
30420,northern rockfish,GOA,female,66.6431932532245
10110,arrowtooth flounder,GOA,male,150.5480538885771
10130,flathead sole,GOA,male,86.11667110641442
10180,Dover sole,GOA,male,71.28196523841909
20510,sablefish,GOA,male,73.27338704613253
21720,Pacific cod,GOA,male,75.19604580819546
21740,walleye pollock,GOA,male,88.15652457192465
30050,REBS rockfish complex,GOA,male,84.5215460845376
30060,Pacific ocean perch,GOA,male,132.70283664955215
30150,Dusky rockfish,GOA,male,51.170344024305244
30420,northern rockfish,GOA,male,59.97971524615615
10110,arrowtooth flounder,GOA,total,337.34689599389304
10130,flathead sole,GOA,total,180.17074867515723
10180,Dover sole,GOA,total,144.99705998876743
20510,sablefish,GOA,total,102.99854200971194
21720,Pacific cod,GOA,total,103.32451425661696
21740,walleye pollock,GOA,total,99.43376455855878
30050,REBS rockfish complex,GOA,total,152.06208756481044
30060,Pacific ocean perch,GOA,total,204.73012939260218
30150,Dusky rockfish,GOA,total,96.0822203527986
30420,northern rockfish,GOA,total,115.65869198799233
10110,arrowtooth flounder,AI,female,109.12931745521257
10112,Kamchatka flounder,AI,female,74.12208530058089
21720,Pacific cod,AI,female,86.51039656644637
21740,walleye pollock,AI,female,70.81750517362525
21921,Atka mackerel,AI,female,53.22714740513802
30050,REBS rockfish complex,AI,female,62.69087268274022
30060,Pacific ocean perch,AI,female,122.3450121536981
30420,northern rockfish,AI,female,73.94286851235786
10110,arrowtooth flounder,AI,male,55.81319457582547
10112,Kamchatka flounder,AI,male,60.39264068589535
21720,Pacific cod,AI,male,87.53747179884574
21740,walleye pollock,AI,male,56.11803278653435
21921,Atka mackerel,AI,male,45.8528294435292
30050,REBS rockfish complex,AI,male,62.10198435093382
30060,Pacific ocean perch,AI,male,125.39714535722821
30420,northern rockfish,AI,male,61.24015310922677
10110,arrowtooth flounder,AI,total,132.07504416420392
10112,Kamchatka flounder,AI,total,94.7892574298017
21720,Pacific cod,AI,total,113.15310167547398
21740,walleye pollock,AI,total,83.8340728344036
21921,Atka mackerel,AI,total,69.51380921915481
30050,REBS rockfish complex,AI,total,120.00984526577325
30060,Pacific ocean perch,AI,total,204.11850209382743
30420,northern rockfish,AI,total,118.71376456616971
10110,arrowtooth flounder,EBS_SHELF,female,247.8131720101199
10112,Kamchatka flounder,EBS_SHELF,female,113.14349300362329
10115,Greenland turbot,EBS_SHELF,female,35.135866338024414
10130,flathead sole,EBS_SHELF,female,179.6037682206241
10210,yellowfin sole,EBS_SHELF,female,177.59203327017906
10261,northern rock sole,EBS_SHELF,female,121.69813139084646
10285,Alaska plaice,EBS_SHELF,female,117.14901325397562
21720,Pacific cod,EBS_SHELF,female,265.366604625738
21740,walleye pollock,EBS_SHELF,female,269.13990148391275
10110,arrowtooth flounder,EBS_SHELF,male,86.67331005588845
10112,Kamchatka flounder,EBS_SHELF,male,87.02476895068824
10115,Greenland turbot,EBS_SHELF,male,19.168524154864624
10130,flathead sole,EBS_SHELF,male,177.3692137531433
10210,yellowfin sole,EBS_SHELF,male,138.5043787897327
10261,northern rock sole,EBS_SHELF,male,103.68981984662155
10285,Alaska plaice,EBS_SHELF,male,60.800766394877165
21720,Pacific cod,EBS_SHELF,male,271.72708063468514
21740,walleye pollock,EBS_SHELF,male,295.5293293817377
10110,arrowtooth flounder,EBS_SHELF,total,293.6973077970151
10112,Kamchatka flounder,EBS_SHELF,total,182.75544708827846
10115,Greenland turbot,EBS_SHELF,total,55.12380369308498
10130,flathead sole,EBS_SHELF,total,319.0314215959502
10210,yellowfin sole,EBS_SHELF,total,290.24974743044095
10261,northern rock sole,EBS_SHELF,total,212.57594772142664
10285,Alaska plaice,EBS_SHELF,total,151.8284790847074
21720,Pacific cod,EBS_SHELF,total,348.51224945576405
21740,walleye pollock,EBS_SHELF,total,421.6270741957321
10112,Kamchatka flounder,EBS_SLOPE,female,140.5383864221691
10115,Greenland turbot,EBS_SLOPE,female,61.679402598342044
30060,Pacific ocean perch,EBS_SLOPE,female,50.59996986934615
10112,Kamchatka flounder,EBS_SLOPE,male,113.63209293018096
10115,Greenland turbot,EBS_SLOPE,male,78.06828607343827
30060,Pacific ocean perch,EBS_SLOPE,male,52.85782745328943
10112,Kamchatka flounder,EBS_SLOPE,total,223.26565915577348
10115,Greenland turbot,EBS_SLOPE,total,113.87493667582798
30060,Pacific ocean perch,EBS_SLOPE,total,92.8870026297627
