species_code,species_name,surv,type,avg_iss
10110,arrowtooth flounder,GOA,female,3636.8082456040356
10130,flathead sole,GOA,female,1468.5391848398954
10180,Dover sole,GOA,female,601.0850931499206
20510,sablefish,GOA,female,468.16246172276635
21720,Pacific cod,GOA,female,575.726899423695
21740,walleye pollock,GOA,female,466.70019940042573
30050,REBS rockfish complex,GOA,female,341.2617270297871
30060,Pacific ocean perch,GOA,female,321.7934502612395
30150,Dusky rockfish,GOA,female,146.02188425635114
30420,northern rockfish,GOA,female,125.16371980336831
10110,arrowtooth flounder,GOA,male,1859.723479390313
10130,flathead sole,GOA,male,1139.164496851279
10180,Dover sole,GOA,male,622.7600963445973
20510,sablefish,GOA,male,619.8072753454329
21720,Pacific cod,GOA,male,555.4399351270025
21740,walleye pollock,GOA,male,365.47899406992315
30050,REBS rockfish complex,GOA,male,338.0140643526154
30060,Pacific ocean perch,GOA,male,326.17056605077363
30150,Dusky rockfish,GOA,male,117.5380356428577
30420,northern rockfish,GOA,male,144.45369309688425
10110,arrowtooth flounder,GOA,total,4581.337466917865
10130,flathead sole,GOA,total,2213.5171447244657
10180,Dover sole,GOA,total,1088.5275307498034
20510,sablefish,GOA,total,854.3196082306819
21720,Pacific cod,GOA,total,767.3908695391283
21740,walleye pollock,GOA,total,433.9433424452639
30050,REBS rockfish complex,GOA,total,519.6597444228198
30060,Pacific ocean perch,GOA,total,420.22941174281283
30150,Dusky rockfish,GOA,total,194.12800867785037
30420,northern rockfish,GOA,total,211.65742741676004
10110,arrowtooth flounder,AI,female,724.4236467324238
10112,Kamchatka flounder,AI,female,202.66846479328612
21720,Pacific cod,AI,female,442.2759411396543
21740,walleye pollock,AI,female,295.75862169693227
21921,Atka mackerel,AI,female,165.9675600497618
30050,REBS rockfish complex,AI,female,141.28772127672843
30060,Pacific ocean perch,AI,female,382.54503873852826
30420,northern rockfish,AI,female,183.20504493982446
10110,arrowtooth flounder,AI,male,378.09256635369843
10112,Kamchatka flounder,AI,male,187.68055229006
21720,Pacific cod,AI,male,455.83351211329256
21740,walleye pollock,AI,male,220.34102822778993
21921,Atka mackerel,AI,male,147.5982892472166
30050,REBS rockfish complex,AI,male,146.62811583644532
30060,Pacific ocean perch,AI,male,471.5492969184802
30420,northern rockfish,AI,male,172.83787988483311
10110,arrowtooth flounder,AI,total,793.461868681151
10112,Kamchatka flounder,AI,total,292.3274262699991
21720,Pacific cod,AI,total,699.1117736758446
21740,walleye pollock,AI,total,287.8037854761234
21921,Atka mackerel,AI,total,193.5242875366026
30050,REBS rockfish complex,AI,total,241.61283341718874
30060,Pacific ocean perch,AI,total,620.1774751762939
30420,northern rockfish,AI,total,224.19865346844486
10112,Kamchatka flounder,EBS_SLOPE,female,382.2411755406469
10115,Greenland turbot,EBS_SLOPE,female,172.29281905169097
30060,Pacific ocean perch,EBS_SLOPE,female,73.64993557404635
10112,Kamchatka flounder,EBS_SLOPE,male,403.40480193603906
10115,Greenland turbot,EBS_SLOPE,male,232.49397353058936
30060,Pacific ocean perch,EBS_SLOPE,male,81.05997376907249
10112,Kamchatka flounder,EBS_SLOPE,total,698.2776522655372
10115,Greenland turbot,EBS_SLOPE,total,335.47539666448245
30060,Pacific ocean perch,EBS_SLOPE,total,136.6319533003221
10110,arrowtooth flounder,EBS_SHELF,female,1988.6401574169467
10112,Kamchatka flounder,EBS_SHELF,female,383.16669797208283
10115,Greenland turbot,EBS_SHELF,female,77.62439586498644
10130,flathead sole,EBS_SHELF,female,1538.4999485529431
10210,yellowfin sole,EBS_SHELF,female,1653.1241887485571
10261,northern rock sole,EBS_SHELF,female,1271.5543581859683
10285,Alaska plaice,EBS_SHELF,female,1122.1323596026366
21720,Pacific cod,EBS_SHELF,female,1693.4412303694405
21740,walleye pollock,EBS_SHELF,female,2138.346108447609
10110,arrowtooth flounder,EBS_SHELF,male,999.3547119158414
10112,Kamchatka flounder,EBS_SHELF,male,354.9589291522175
10115,Greenland turbot,EBS_SHELF,male,35.095635640032285
10130,flathead sole,EBS_SHELF,male,1298.3759323330924
10210,yellowfin sole,EBS_SHELF,male,1011.9445709120828
10261,northern rock sole,EBS_SHELF,male,1153.197360374711
10285,Alaska plaice,EBS_SHELF,male,1079.2491902344664
21720,Pacific cod,EBS_SHELF,male,1631.1942982103758
21740,walleye pollock,EBS_SHELF,male,2015.0506717254427
10110,arrowtooth flounder,EBS_SHELF,total,2564.969343083222
10112,Kamchatka flounder,EBS_SHELF,total,678.5841765345946
10115,Greenland turbot,EBS_SHELF,total,114.60770190148753
10130,flathead sole,EBS_SHELF,total,2302.3542953984697
10210,yellowfin sole,EBS_SHELF,total,1166.127912423166
10261,northern rock sole,EBS_SHELF,total,1933.437548921653
10285,Alaska plaice,EBS_SHELF,total,1685.064156874747
21720,Pacific cod,EBS_SHELF,total,2655.2635533212942
21740,walleye pollock,EBS_SHELF,total,2447.74051168584
