year,species_code,length,males,females,unsexed
2017,10110,30,0,0,0
2018,10110,30,0,0,0
2019,10110,30,0,51127,0
2021,10110,30,0,0,0
2017,10110,70,0,64121,0
2018,10110,70,0,0,0
2019,10110,70,0,0,0
2021,10110,70,0,0,0
2017,10110,80,162786,533891,0
2018,10110,80,0,0,36613
2019,10110,80,0,0,0
2021,10110,80,0,60626,0
2017,10110,90,197642,84065,115975
2018,10110,90,29907,0,22404
2019,10110,90,70415,0,57667
2021,10110,90,116939,0,56160
2017,10110,100,407722,228741,327279
2018,10110,100,0,67260,0
2019,10110,100,0,0,118129
2021,10110,100,0,0,26917
2017,10110,110,979208,788248,442844
2018,10110,110,89664,100454,95872
2019,10110,110,95582,55182,0
2021,10110,110,367871,0,138323
2017,10110,120,869964,1806494,101300
2018,10110,120,349495,149453,114087
2019,10110,120,0,241533,395125
2021,10110,120,0,32794,705801
2017,10110,130,767811,1069001,80735
2018,10110,130,709624,740783,226099
2019,10110,130,428270,350507,591147
2021,10110,130,108106,138982,50317
2017,10110,140,752256,957032,79241
2018,10110,140,4053541,5371651,184794
2019,10110,140,404417,1714909,1285895
2021,10110,140,512540,644956,143657
2017,10110,150,1752747,1645911,57987
2018,10110,150,9308096,13965789,658188
2019,10110,150,1269469,1522593,830459
2021,10110,150,580104,1149886,133243
2017,10110,160,3229367,6611678,79241
2018,10110,160,16802737,25966579,631567
2019,10110,160,1518795,2954899,0
2021,10110,160,1484482,808672,426932
2017,10110,170,6521132,8658131,0
2018,10110,170,25129648,34046644,0
2019,10110,170,2147956,2341381,108580
2021,10110,170,2053448,1939847,133243
2017,10110,180,6168731,11336714,37342
2018,10110,180,21390310,33059677,0
2019,10110,180,3257808,3486735,98203
2021,10110,180,2961482,4571533,0
2017,10110,190,5333034,10193705,0
2018,10110,190,10667855,25640457,0
2019,10110,190,3050949,4635914,182190
2021,10110,190,3858340,4623629,0
2017,10110,200,4629937,7640995,0
2018,10110,200,8838644,17480114,0
2019,10110,200,4382659,4635983,281566
2021,10110,200,8179458,9107487,74669
2017,10110,210,4491032,6606412,0
2018,10110,210,4432085,12480947,59288
2019,10110,210,4339075,8107474,165627
2021,10110,210,10577800,13601679,0
2017,10110,220,4201579,7182045,0
2018,10110,220,7302108,15234478,0
2019,10110,220,5660355,9292125,364380
2021,10110,220,11046654,17914801,74669
2017,10110,230,4244691,6130918,0
2018,10110,230,9047724,12822096,49160
2019,10110,230,4366700,9262747,242255
2021,10110,230,13718795,18165407,0
2017,10110,240,3216434,6302613,0
2018,10110,240,8429106,15222812,0
2019,10110,240,7529695,8264638,114766
2021,10110,240,10096833,17604262,0
2017,10110,250,5133131,7925795,0
2018,10110,250,11594772,20195111,0
2019,10110,250,10651575,9923387,81640
2021,10110,250,8385671,15464028,0
2017,10110,260,4446895,7638545,0
2018,10110,260,11144553,14780514,0
2019,10110,260,16590034,16375770,31952
2021,10110,260,8845804,15373466,74669
2017,10110,270,6495096,7976826,0
2018,10110,270,10001813,21396232,0
2019,10110,270,24124543,22003261,63905
2021,10110,270,10975456,16321512,0
2017,10110,280,6307511,11507383,0
2018,10110,280,9166371,14176912,0
2019,10110,280,30231152,30719122,95857
2021,10110,280,12339882,16121411,0
2017,10110,290,6406283,12549315,0
2018,10110,290,6626892,12195347,0
2019,10110,290,34095683,40519003,159761
2021,10110,290,11832749,15306264,0
2017,10110,300,8387875,14482740,0
2018,10110,300,8339765,12346840,0
2019,10110,300,24210204,38425677,63905
2021,10110,300,13267490,13719734,0
2017,10110,310,8856179,13507480,0
2018,10110,310,7069482,11929902,0
2019,10110,310,14857727,36716769,63905
2021,10110,310,11600765,15651849,57408
2017,10110,320,10524140,16871960,0
2018,10110,320,8264046,13082249,0
2019,10110,320,10346532,28109539,0
2021,10110,320,12245325,14390519,0
2017,10110,330,8207729,17942130,0
2018,10110,330,13687475,12918033,0
2019,10110,330,11440414,17858784,31952
2021,10110,330,14399417,15172615,0
2017,10110,340,9535163,17796797,0
2018,10110,340,10475959,14843200,0
2019,10110,340,9576837,19370019,31952
2021,10110,340,11610647,15322985,29431
2017,10110,350,11080769,18853973,0
2018,10110,350,10549651,18992919,0
2019,10110,350,11451047,16144970,95857
2021,10110,350,12741611,18620412,79566
2017,10110,360,11923826,17718667,0
2018,10110,360,10357546,23395918,0
2019,10110,360,11567316,19483616,0
2021,10110,360,17357651,17362100,57408
2017,10110,370,12381320,21415940,0
2018,10110,370,11826649,19447712,0
2019,10110,370,8220838,17978620,0
2021,10110,370,23548773,19638811,391141
2017,10110,380,13229470,21341303,0
2018,10110,380,14222394,20723421,0
2019,10110,380,7805150,14427933,0
2021,10110,380,25103286,20563387,236176
2017,10110,390,9386583,23491284,0
2018,10110,390,12689559,21981182,0
2019,10110,390,9108481,12077127,0
2021,10110,390,24665224,21607277,518127
2017,10110,400,7046641,17897310,0
2018,10110,400,14867985,22915952,49160
2019,10110,400,9020424,13809314,0
2021,10110,400,20299971,27449676,361710
2017,10110,410,6085877,18172296,0
2018,10110,410,10951097,21595744,0
2019,10110,410,9297186,15602234,0
2021,10110,410,14333063,27486584,231086
2017,10110,420,6000608,15268418,0
2018,10110,420,9638364,20632668,0
2019,10110,420,9309479,15966545,0
2021,10110,420,11558305,26241950,488696
2017,10110,430,4408332,10788844,0
2018,10110,430,7667535,23643731,0
2019,10110,430,9014829,16401952,0
2021,10110,430,5752003,23878085,316472
2017,10110,440,3902589,11616327,0
2018,10110,440,3921964,16919568,0
2019,10110,440,8015025,13811893,0
2021,10110,440,3989984,20263525,86839
2017,10110,450,3348591,8861439,0
2018,10110,450,2487139,17203133,0
2019,10110,450,7869606,16445056,0
2021,10110,450,3012458,13810315,57408
2017,10110,460,1846022,6041806,0
2018,10110,460,3371748,13867674,0
2019,10110,460,4852545,16560302,0
2021,10110,460,3371024,10175051,132077
2017,10110,470,1409389,6981122,0
2018,10110,470,1461279,16100218,0
2019,10110,470,3336169,18301363,0
2021,10110,470,2098487,9115676,57408
2017,10110,480,1958648,6452908,0
2018,10110,480,1923728,11236643,0
2019,10110,480,2312330,15804054,0
2021,10110,480,1105724,7689053,0
2017,10110,490,534874,6329150,0
2018,10110,490,236452,9666975,0
2019,10110,490,1669241,16348091,0
2021,10110,490,1047387,8806429,0
2017,10110,500,334476,6474030,0
2018,10110,500,478593,7551466,0
2019,10110,500,848689,13126296,0
