year,species_code,ess,species_name,iss
2017,10110,ess_f,arrowtooth flounder,179.2316807292172
2017,10112,ess_f,Kamchatka flounder,111.11229711338719
2017,10115,ess_f,Greenland turbot,38.30843538354305
2017,10130,ess_f,flathead sole,159.28531931812597
2017,10210,ess_f,yellowfin sole,167.37709474163339
2017,10261,ess_f,northern rock sole,123.9532756862764
2017,10285,ess_f,Alaska plaice,126.5804837017511
2017,21720,ess_f,Pacific cod,282.2073627896176
2017,21740,ess_f,walleye pollock,345.7939475468779
2018,10110,ess_f,arrowtooth flounder,319.82831850189245
2018,10112,ess_f,Kamchatka flounder,124.14582025750833
2018,10115,ess_f,Greenland turbot,37.38074454980146
2018,10130,ess_f,flathead sole,177.04235905306328
2018,10210,ess_f,yellowfin sole,206.49410193417884
2018,10261,ess_f,northern rock sole,126.81505408139294
2018,10285,ess_f,Alaska plaice,102.09503817429373
2018,21720,ess_f,Pacific cod,265.18815453344513
2018,21740,ess_f,walleye pollock,186.14277474153113
2019,10110,ess_f,arrowtooth flounder,244.37951679925004
2019,10112,ess_f,Kamchatka flounder,104.17236163997435
2019,10115,ess_f,Greenland turbot,29.718419080728722
2019,10130,ess_f,flathead sole,170.83676058756564
2019,10210,ess_f,yellowfin sole,197.7662677266215
2019,10261,ess_f,northern rock sole,109.17276650790487
2019,10285,ess_f,Alaska plaice,122.77151788588202
2019,21720,ess_f,Pacific cod,248.7042965541512
2019,21740,ess_f,walleye pollock,322.7337323820904
2021,10130,ess_f,flathead sole,211.25063392374142
2021,10210,ess_f,yellowfin sole,138.73066867828248
2021,10261,ess_f,northern rock sole,126.85142928781163
2021,21740,ess_f,walleye pollock,221.8891512651516
2017,10110,ess_m,arrowtooth flounder,60.9762887343278
2017,10112,ess_m,Kamchatka flounder,75.86517543062838
2017,10115,ess_m,Greenland turbot,26.38183884949894
2017,10130,ess_m,flathead sole,128.46309925536409
2017,10210,ess_m,yellowfin sole,158.0451636181225
2017,10261,ess_m,northern rock sole,86.61778036552866
2017,10285,ess_m,Alaska plaice,61.36624662573579
2017,21720,ess_m,Pacific cod,322.41441821199055
2017,21740,ess_m,walleye pollock,393.45171519143213
2018,10110,ess_m,arrowtooth flounder,86.80742980010686
2018,10112,ess_m,Kamchatka flounder,99.36673056724821
2018,10115,ess_m,Greenland turbot,23.319465566938423
2018,10130,ess_m,flathead sole,210.01242103589033
2018,10210,ess_m,yellowfin sole,133.67638872172083
2018,10261,ess_m,northern rock sole,89.2952325131314
2018,10285,ess_m,Alaska plaice,56.29111750916993
2018,21720,ess_m,Pacific cod,241.77597305822414
2018,21740,ess_m,walleye pollock,219.15039341779945
2019,10110,ess_m,arrowtooth flounder,112.2362116332307
2019,10112,ess_m,Kamchatka flounder,85.84240085418811
2019,10115,ess_m,Greenland turbot,7.8042680481565085
2019,10130,ess_m,flathead sole,185.2727778386662
2019,10210,ess_m,yellowfin sole,143.5750281370873
2019,10261,ess_m,northern rock sole,93.54423770807756
2019,10285,ess_m,Alaska plaice,64.74493504972578
2019,21720,ess_m,Pacific cod,250.99085063384078
2019,21740,ess_m,walleye pollock,347.3572857424358
2021,10130,ess_m,flathead sole,185.72855688265255
2021,10210,ess_m,yellowfin sole,118.72093468200018
2021,10261,ess_m,northern rock sole,145.30202879974857
2021,21740,ess_m,walleye pollock,222.15792317528332
2017,10110,ess_t,arrowtooth flounder,205.9169494987344
2017,10112,ess_t,Kamchatka flounder,162.04210694226043
2017,10115,ess_t,Greenland turbot,63.14037674656511
2017,10130,ess_t,flathead sole,277.8288907193068
2017,10210,ess_t,yellowfin sole,297.57101799848283
2017,10261,ess_t,northern rock sole,194.6655461361978
2017,10285,ess_t,Alaska plaice,161.72449737269503
2017,21720,ess_t,Pacific cod,414.7192606061379
2017,21740,ess_t,walleye pollock,660.3210957228051
2018,10110,ess_t,arrowtooth flounder,343.48111384251104
2018,10112,ess_t,Kamchatka flounder,202.92932107390828
2018,10115,ess_t,Greenland turbot,63.73046611287329
2018,10130,ess_t,flathead sole,381.4957081397216
2018,10210,ess_t,yellowfin sole,326.3191705708004
2018,10261,ess_t,northern rock sole,197.77978802153845
2018,10285,ess_t,Alaska plaice,135.61304866952605
2018,21720,ess_t,Pacific cod,343.3219749651755
2018,21740,ess_t,walleye pollock,253.59458608872592
2019,10110,ess_t,arrowtooth flounder,331.69386004980004
2019,10112,ess_t,Kamchatka flounder,183.29491324866663
2019,10115,ess_t,Greenland turbot,38.500568219816536
2019,10130,ess_t,flathead sole,305.44572561280967
2019,10210,ess_t,yellowfin sole,305.6523943042866
2019,10261,ess_t,northern rock sole,197.74379120322416
2019,10285,ess_t,Alaska plaice,158.1478912119011
2019,21720,ess_t,Pacific cod,287.4955127959787
2019,21740,ess_t,walleye pollock,431.88112560257304
2021,10130,ess_t,flathead sole,311.3553619119626
2021,10210,ess_t,yellowfin sole,231.45640684819404
2021,10261,ess_t,northern rock sole,260.1146655247461
2021,21740,ess_t,walleye pollock,340.7114893688244
