year,species_code,ess,species_name,iss
2017,10110,ess_f,arrowtooth flounder,2140.5036181260834
2018,10110,ess_f,arrowtooth flounder,1490.622805335863
2019,10110,ess_f,arrowtooth flounder,2317.2716889575454
2021,10110,ess_f,arrowtooth flounder,2006.162517248295
2017,10112,ess_f,Kamchatka flounder,438.9071289939273
2018,10112,ess_f,Kamchatka flounder,428.46446942258683
2019,10112,ess_f,Kamchatka flounder,348.65462575670813
2021,10112,ess_f,Kamchatka flounder,316.6405677151091
2017,10115,ess_f,Greenland turbot,112.08385595545393
2018,10115,ess_f,Greenland turbot,87.82616354918794
2019,10115,ess_f,Greenland turbot,65.91647319826224
2021,10115,ess_f,Greenland turbot,44.671090757041625
2017,10130,ess_f,flathead sole,1829.3419690012474
2018,10130,ess_f,flathead sole,1515.8227904885312
2019,10130,ess_f,flathead sole,1547.2760426463644
2021,10130,ess_f,flathead sole,1261.5589920756295
2017,10210,ess_f,yellowfin sole,1023.859186702079
2018,10210,ess_f,yellowfin sole,2759.1267278756186
2019,10210,ess_f,yellowfin sole,1772.3035877540628
2021,10210,ess_f,yellowfin sole,1057.2072526624684
2017,10261,ess_f,northern rock sole,1353.931756795711
2018,10261,ess_f,northern rock sole,1056.2296282052932
2019,10261,ess_f,northern rock sole,1368.6212353883395
2021,10261,ess_f,northern rock sole,1307.4348123545294
2017,10285,ess_f,Alaska plaice,915.8505958448309
2018,10285,ess_f,Alaska plaice,1425.4596509217024
2019,10285,ess_f,Alaska plaice,1201.6652841897562
2021,10285,ess_f,Alaska plaice,945.5539074542567
2017,21720,ess_f,Pacific cod,1667.5119831864
2018,21720,ess_f,Pacific cod,1728.4895516632653
2019,21720,ess_f,Pacific cod,1017.8508049855892
2021,21720,ess_f,Pacific cod,2359.9125816425076
2017,21740,ess_f,walleye pollock,2688.2613123653205
2018,21740,ess_f,walleye pollock,950.2393968230284
2019,21740,ess_f,walleye pollock,3313.5784739098394
2021,21740,ess_f,walleye pollock,1601.3052506922472
2017,10110,ess_m,arrowtooth flounder,870.8177749220138
2018,10110,ess_m,arrowtooth flounder,866.0333377727303
2019,10110,ess_m,arrowtooth flounder,1240.4305229347196
2021,10110,ess_m,arrowtooth flounder,1020.137212033902
2017,10112,ess_m,Kamchatka flounder,395.5933632959199
2018,10112,ess_m,Kamchatka flounder,422.21020827388287
2019,10112,ess_m,Kamchatka flounder,304.3848870573795
2021,10112,ess_m,Kamchatka flounder,297.64725798168763
2017,10115,ess_m,Greenland turbot,63.86239508536386
2018,10115,ess_m,Greenland turbot,44.958657762240854
2019,10115,ess_m,Greenland turbot,21.204048629714496
2021,10115,ess_m,Greenland turbot,10.357441082809933
2017,10130,ess_m,flathead sole,1518.6514002927095
2018,10130,ess_m,flathead sole,1229.092307956029
2019,10130,ess_m,flathead sole,1116.856479825663
2021,10130,ess_m,flathead sole,1328.9035412579683
2017,10210,ess_m,yellowfin sole,584.0116878467526
2018,10210,ess_m,yellowfin sole,1731.8950847915376
2019,10210,ess_m,yellowfin sole,954.2876317349571
2021,10210,ess_m,yellowfin sole,777.5838792750839
2017,10261,ess_m,northern rock sole,1222.316610304129
2018,10261,ess_m,northern rock sole,971.3821624540083
2019,10261,ess_m,northern rock sole,1253.503965383481
2021,10261,ess_m,northern rock sole,1165.5867033572256
2017,10285,ess_m,Alaska plaice,1064.1389027253597
2018,10285,ess_m,Alaska plaice,1374.806648694772
2019,10285,ess_m,Alaska plaice,950.7696047097363
2021,10285,ess_m,Alaska plaice,927.2816048079975
