sim,year,species_code,ess,value,in_out
1,2008,10112,ess_f,279.4206670368201,in
1,2012,10112,ess_f,716.1283447566545,in
1,2016,10112,ess_f,473.7042176332986,in
1,2008,10115,ess_f,128.71460794625793,in
1,2012,10115,ess_f,493.26873677609717,in
1,2016,10115,ess_f,224.37760398145403,in
1,2008,30060,ess_f,142.20624939303738,in
1,2012,30060,ess_f,278.66922200910074,in
1,2016,30060,ess_f,182.39897024628394,in
1,2008,10112,ess_m,541.32215692305,in
1,2012,10112,ess_m,848.1887126484477,in
1,2016,10112,ess_m,395.13131119867364,in
1,2008,10115,ess_m,369.4223382841598,in
1,2012,10115,ess_m,379.55597868976093,in
1,2016,10115,ess_m,383.0262832808255,in
1,2008,30060,ess_m,305.5248283447713,in
1,2012,30060,ess_m,184.46038197693235,in
1,2016,30060,ess_m,274.6742847422625,in
1,2008,10112,ess_t,577.8777247738763,in
1,2012,10112,ess_t,1769.446177729116,in
1,2016,10112,ess_t,602.2862870646188,in
1,2008,10115,ess_t,435.5578313431604,in
1,2012,10115,ess_t,742.843655020504,in
1,2016,10115,ess_t,651.709102489819,in
1,2008,30060,ess_t,212.316009042051,in
1,2012,30060,ess_t,320.0900461887099,in
1,2016,30060,ess_t,373.404929895276,in
2,2008,10112,ess_f,483.1148212586851,in
2,2012,10112,ess_f,688.2486396260995,in
2,2016,10112,ess_f,361.4847315413538,in
2,2008,10115,ess_f,166.30700461281117,in
2,2012,10115,ess_f,219.0423537244705,in
2,2016,10115,ess_f,128.74957429120994,in
2,2008,30060,ess_f,215.43214769623822,in
2,2012,30060,ess_f,26.74643488909857,in
2,2016,30060,ess_f,487.84446271333553,in
2,2008,10112,ess_m,379.211341288021,in
2,2012,10112,ess_m,164.2546752834121,in
2,2016,10112,ess_m,356.8557621800457,in
2,2008,10115,ess_m,488.1407233360383,in
2,2012,10115,ess_m,378.7487163746095,in
2,2016,10115,ess_m,170.5445026363227,in
2,2008,30060,ess_m,187.00107592259272,in
2,2012,30060,ess_m,35.6367317626501,in
2,2016,30060,ess_m,161.79886505934945,in
2,2008,10112,ess_t,830.9755862191585,in
2,2012,10112,ess_t,537.0969595829637,in
2,2016,10112,ess_t,676.4193321109651,in
2,2008,10115,ess_t,630.6340467916218,in
2,2012,10115,ess_t,518.9195275070773,in
2,2016,10115,ess_t,330.74195818968735,in
2,2008,30060,ess_t,799.644167522544,in
2,2012,30060,ess_t,41.85925499501422,in
2,2016,30060,ess_t,486.04617505763974,in
3,2008,10112,ess_f,512.8295890287675,in
3,2012,10112,ess_f,329.6943500461348,in
3,2016,10112,ess_f,304.7311700788453,in
3,2008,10115,ess_f,184.70519897160736,in
3,2012,10115,ess_f,140.22094086727049,in
3,2016,10115,ess_f,196.65413835341218,in
3,2008,30060,ess_f,123.42933691744227,in
3,2012,30060,ess_f,61.040534058194034,in
