year,species_code,age,males,females,unsexed
2008,10115,6,39733.33333333333,24598.166666666664,0
2008,10115,7,208609.55555555556,133387.53333333333,0
2008,10115,8,276026.75,309258.8,0
2008,10115,9,314992.1912698413,330447.73333333334,0
2008,10115,10,451779.2134310134,185521.36666666667,0
2008,10115,11,357371.2396214896,132441.78333333333,0
2008,10115,12,357865.59004884004,157392.4,0
2008,10115,13,169920.96623931624,74365.27619047619,0
2008,10115,14,224860.36782661782,63973.34523809524,0
2008,10115,15,260029.77533577534,27409.333333333332,0
2008,10115,16,238611.58095238093,49228.541666666664,0
2008,10115,17,251084.41984126982,21680.85714285714,0
2008,10115,18,362878.1782051282,51865.51666666666,0
2008,10115,19,236017.5282051282,53210.19285714286,0
2008,10115,20,384836.9393162393,99777.49404761904,0
2008,10115,21,144479.63333333333,107326.80595238095,0
2008,10115,22,200714.03095238094,102631.1984126984,0
2008,10115,23,289164.50128205126,94514.44444444444,0
2008,10115,24,226817.31153846154,155607.56785714286,0
2008,10115,25,215632.90042735043,163937.54444444444,0
2008,10115,26,189576.9238095238,32281.642857142855,0
2008,10115,27,207842.85,62439.375,0
2008,10115,28,326872.9404761905,94787.00476190475,0
2008,10115,29,198663.62179487178,176816.82857142857,0
2008,10115,30,133621.45,159644.94682539682,0
2008,10115,31,221290.11153846153,29819.25,0
2008,10115,32,204436.96868131869,33644.357142857145,0
2008,10115,33,197231.16666666666,57697.31428571428,0
2008,10115,34,49276.47222222222,35959.194444444445,0
2008,10115,35,0,100252.37896825396,0
2008,10115,36,135563.88095238095,27321.555555555555,0
2008,10115,37,45561.35714285714,5121,0
2008,10115,38,0,19501.25,0
2008,10115,39,28621.5,0,0
2008,10115,40,34428.75,0,0
2008,30060,1,0,0,57678
2008,30060,3,4484,9516,15397.5
2008,30060,4,59436,9516,1960.5
2008,30060,5,231150.8333333333,46262.83333333333,0
2008,30060,6,1342386.6666666665,96888.5,0
2008,30060,7,872413.3333333333,443898.3717948718,0
2008,30060,8,2593737.302197802,1256245.8003663004,0
2008,30060,9,3171150.52014652,4518347.838461539,1164.0406403940885
2008,30060,10,3252598.6666666665,603470.8717948718,1533.7241379310344
2008,30060,11,4303248.123931624,3520075.2333333334,794.3571428571428
2008,30060,12,10141043.508241758,11713654.566300366,9569.008916256158
2008,30060,13,18437804.492979243,5535632.146153847,6919.345584415585
2008,30060,14,9624450.73856699,4397452.284615384,16973.94970181576
2008,30060,15,5095600.686813187,7258222.964102564,16776.527051539168
2008,30060,16,1868126.5,4720445.9780219775,5205.7733333333335
2008,30060,17,6987168.333333333,3331290.807692308,7695.143814997263
2008,30060,18,5122235.571428571,13286390.291208792,23307.102137632482
2008,30060,19,14774678.332112333,22488230.232600734,35770.363856167154
2008,30060,20,6272374.299572649,4160261.306318681,23692.111904761903
2008,30060,21,4395591,4405197.208791208,4023.076042692939
2008,30060,22,8687858.504273504,9209787.82051282,23721.68800803062
2008,30060,23,1508108.4,7242179.753205128,21316.17621522572
2008,30060,24,10127054.097707849,5461397.16529304,48293.853591191415
2008,30060,25,3941571.777777778,3939324.882051282,42685.864169646775
2008,30060,26,1486683.25,4323698.692307693,13633.485754092651
2008,30060,27,3512251.916239316,3523826.009615385,42421.963079066525
2008,30060,28,2162537.3162393165,4505230.873626374,22090.76767676768
2008,30060,29,2040391.3384615385,1087094.653846154,11944
2008,30060,30,1486683.25,4186926.256410256,14448.445770750988
2008,30060,31,3180304.1884615384,514755.80000000005,16713.617777777778
2008,30060,32,472590.50505050505,91850.5,7911.729249011858
2008,30060,33,0,909386.5,397.1785714285714
2008,30060,34,0,1450724.1666666665,3867.9565217391305
2008,30060,36,0,995244.1538461539,6177.944444444444
2008,30060,39,2420746.5,0,3113.6000000000004
2008,30060,40,234688,0,6178.11111111111
2008,30060,41,0,603131.3076923077,4942.388888888889
2008,30060,43,0,252826.5,5560.666666666666
2008,30060,46,47455.8,0,4942.388888888889
2008,30060,47,0,1285477.9230769232,4043.7727272727275
2008,30060,48,1915582.3,0,5832.068888888889
2008,30060,51,0,1229264.6428571427,823.6666666666666
2008,30060,52,0,387146.125,6178.11111111111
2008,30060,53,1486683.25,1509999.9538461538,18113.87111111111
2008,30060,54,302988.7272727273,0,3867.9565217391305
2008,30060,55,934063.25,603131.3076923077,5387.228888888889
2008,30060,56,0,387146.125,6178.11111111111
2008,30060,57,0,1509999.9538461538,15445.11111111111
2008,30060,58,1868126.5,0,889.6800000000001
2008,30060,59,169601.77777777778,2736202.08974359,11955.501976284586
2008,30060,60,0,995244.1538461539,6177.944444444444
2008,30060,61,302988.7272727273,0,3867.9565217391305
2008,30060,63,253305.40000000002,603131.3076923077,11120.333333333332
2008,30060,64,302988.7272727273,0,3867.9565217391305
2008,30060,65,1254803,1888609.230769231,9753.023685127133
2008,30060,66,1489274.25,0,11935.926666666666
2008,30060,67,302988.7272727273,995244.1538461539,10045.900966183575
2008,30060,69,0,1538304.4230769232,9604.439393939394
2008,30060,70,1237051.9772727273,387146.125,10490.907632850241
2008,30060,72,605977.4545454546,387146.125,13914.024154589371
2008,30060,75,0,995244.1538461539,6177.944444444444
2008,30060,76,253305.40000000002,603131.3076923077,11120.333333333332
2008,30060,77,0,603131.3076923077,4942.388888888889
2008,30060,79,0,1450724.1666666665,3867.9565217391305
2008,30060,82,0,1863855.153846154,2668.76
2008,30060,105,169601.77777777778,0,4043.7727272727275
2012,10112,3,53478,29991,0
2012,10112,4,1113917.842857143,430060.68333333335,0
2012,10112,5,594746.9047619047,316492.3738095238,0
2012,10112,6,1399964.1241508492,735027.2619047619,0
2012,10112,7,1881715.7676490177,1133128.9355742296,0
2012,10112,8,2606992.873859474,1611636.7876750699,0
2012,10112,9,2380028.225915751,2802618.795436508,0
2012,10112,10,3230857.8294871794,2735098.209010271,0
2012,10112,11,1966918.0557692307,1902927.5072128852,0
2012,10112,12,303104.7571428571,1683797.1025326797,0
2012,10112,13,824530.071978022,455734.0316059757,0
2012,10112,14,652338.0793650794,121578.02777777778,0
2012,10112,15,451991.48214285716,529482.7515873016,0
2012,10112,16,155639.85714285713,524929.9369047619,0
2012,10112,17,54179.22222222222,275299.6694444445,0
2012,10112,18,355610.0714285714,159153.76071428572,0
2012,10112,19,378340.97142857144,57695.291666666664,0
2012,10112,20,238392.32222222222,48758.566666666666,0
2012,10112,21,503785.15,157498.6,0
2012,10112,22,93913.025,167763.34285714285,0
2012,10112,23,297339.8416666667,126228.34166666667,0
2012,10112,24,289204.5722222222,92384.75,0
