year,species_code,length,males,females,unsexed
2008,10112,80,0,0,0
2012,10112,80,0,0,0
2016,10112,80,0,8568,0
2008,10112,90,0,0,0
2012,10112,90,0,0,0
2016,10112,90,0,0,0
2008,10112,100,0,0,0
2012,10112,100,0,0,0
2016,10112,100,0,0,0
2008,10112,110,0,0,0
2012,10112,110,0,0,0
2016,10112,110,0,0,0
2008,10112,120,0,0,0
2012,10112,120,0,0,0
2016,10112,120,0,0,0
2008,10112,130,0,0,0
2012,10112,130,0,0,0
2016,10112,130,0,0,0
2008,10112,140,0,0,0
2012,10112,140,0,0,0
2016,10112,140,0,0,0
2008,10112,150,0,0,0
2012,10112,150,0,0,0
2016,10112,150,0,0,0
2008,10112,160,0,0,0
2012,10112,160,0,0,0
2016,10112,160,0,0,0
2008,10112,170,0,0,0
2012,10112,170,0,0,0
2016,10112,170,0,0,0
2008,10112,180,0,0,0
2012,10112,180,0,0,0
2016,10112,180,0,0,0
2008,10112,190,0,0,0
2012,10112,190,0,15851,0
2016,10112,190,0,0,0
2008,10112,200,4484,0,0
2012,10112,200,3275,0,0
2016,10112,200,0,0,0
2008,10112,210,3744,0,0
2012,10112,210,3363,0,0
2016,10112,210,14753,0,0
2008,10112,220,0,13049,0
2012,10112,220,6667,4709,0
2016,10112,220,0,0,0
2008,10112,230,0,0,0
2012,10112,230,14888,12670,0
2016,10112,230,4478,0,0
2008,10112,240,0,0,0
2012,10112,240,103912,12612,0
2016,10112,240,14753,44254,0
2008,10112,250,0,0,0
2012,10112,250,82196,10030,0
2016,10112,250,0,47806,0
2008,10112,260,0,8433,0
2012,10112,260,74430,24537,0
2016,10112,260,59005,14753,0
2008,10112,270,2448,0,0
2012,10112,270,69629,36374,0
2016,10112,270,66591,36383,0
2008,10112,280,0,8433,0
2012,10112,280,270130,70853,0
2016,10112,280,74412,70207,0
2008,10112,290,17453,0,0
2012,10112,290,274856,56496,0
2016,10112,290,138340,4204,0
2008,10112,300,53981,3742,0
2012,10112,300,309080,114863,0
2016,10112,300,91855,29505,0
2008,10112,310,37373,0,0
2012,10112,310,247217,53633,0
2016,10112,310,87294,33824,0
2008,10112,320,84005,14413,0
2012,10112,320,293781,98158,0
2016,10112,320,358025,89977,0
2008,10112,330,169816,19407,0
2012,10112,330,171673,115715,0
2016,10112,330,164204,94758,0
2008,10112,340,388297,98337,0
2012,10112,340,161993,137797,0
2016,10112,340,200863,93986,0
2008,10112,350,430218,183886,0
2012,10112,350,188070,137436,0
2016,10112,350,278258,53873,0
2008,10112,360,568443,182835,0
2012,10112,360,322474,99780,0
2016,10112,360,323550,171657,0
2008,10112,370,1013837,323818,0
2012,10112,370,390036,220722,0
2016,10112,370,723853,157040,0
2008,10112,380,874516,345383,0
2012,10112,380,460019,91407,0
2016,10112,380,539917,161367,0
2008,10112,390,1041413,319803,0
2012,10112,390,452307,232504,0
2016,10112,390,982479,105545,0
2008,10112,400,1442947,573892,0
2012,10112,400,352360,198706,0
2016,10112,400,850517,218041,0
2008,10112,410,1385531,622393,0
2012,10112,410,356977,187795,0
2016,10112,410,574996,290412,0
2008,10112,420,1244756,737948,0
2012,10112,420,403247,224426,0
2016,10112,420,733306,240521,0
2008,10112,430,814948,675032,0
2012,10112,430,356255,190096,0
2016,10112,430,690748,129684,0
2008,10112,440,623705,457302,0
2012,10112,440,825439,201932,0
2016,10112,440,765702,294265,0
2008,10112,450,560415,335415,0
2012,10112,450,1124815,375059,0
2016,10112,450,674624,262654,0
2008,10112,460,624078,368215,0
2012,10112,460,1210006,231649,0
2016,10112,460,607260,356735,0
2008,10112,470,627021,437693,0
2012,10112,470,1712897,228759,0
2016,10112,470,485824,245353,0
2008,10112,480,510982,280741,0
2012,10112,480,1774118,619493,0
2016,10112,480,796145,333623,0
2008,10112,490,595358,261103,0
2012,10112,490,1504441,612988,0
2016,10112,490,896222,203995,0
2008,10112,500,678809,300118,0
2012,10112,500,1635849,731073,0
2016,10112,500,890117,157608,0
2008,10112,510,662838,176414,0
2012,10112,510,1176423,1150843,0
2016,10112,510,1060382,217721,0
2008,10112,520,631186,330660,0
2012,10112,520,686161,1205371,0
2016,10112,520,618337,218128,0
2008,10112,530,779186,324267,0
2012,10112,530,929490,1510141,0
2016,10112,530,765264,261807,0
2008,10112,540,487649,262866,0
2012,10112,540,435137,1426511,0
2016,10112,540,750582,349756,0
2008,10112,550,680119,317605,0
2012,10112,550,438836,1181760,0
2016,10112,550,483564,435839,0
2008,10112,560,398989,230588,0
2012,10112,560,423955,700713,0
2016,10112,560,529242,444466,0
2008,10112,570,494455,505235,0
2012,10112,570,395209,619379,0
2016,10112,570,535287,580474,0
2008,10112,580,542689,358279,0
2012,10112,580,462388,465910,0
2016,10112,580,511083,521956,0
2008,10112,590,346364,479386,0
2012,10112,590,487613,223021,0
2016,10112,590,420310,603428,0
2008,10112,600,247068,244423,0
2012,10112,600,153490,425693,0
2016,10112,600,413259,628370,0
2008,10112,610,147972,287523,0
2012,10112,610,212218,281498,0
2016,10112,610,223721,419232,0
2008,10112,620,225475,238782,0
2012,10112,620,309786,226289,0
2016,10112,620,287757,406331,0
2008,10112,630,103712,278819,0
2012,10112,630,90429,173115,0
2016,10112,630,113951,262423,0
2008,10112,640,24873,142913,0
2012,10112,640,179786,238608,0
2016,10112,640,104358,277870,0
2008,10112,650,39070,262198,0
2012,10112,650,61481,146725,0
2016,10112,650,13417,127881,0
2008,10112,660,13550,243605,0
2012,10112,660,0,240794,0
2016,10112,660,13417,270688,0
2008,10112,670,0,169346,0
2012,10112,670,23068,266837,0
2016,10112,670,16756,180263,0
2008,10112,680,0,320481,0
2012,10112,680,20433,76561,0
2016,10112,680,10868,167336,0
2008,10112,690,0,255282,0
2012,10112,690,0,108805,0
2016,10112,690,16756,154195,0
2008,10112,700,0,192829,0
2012,10112,700,0,171373,0
2016,10112,700,0,107798,0
2008,10112,710,0,243779,0
2012,10112,710,0,146044,0
2016,10112,710,0,121115,0
2008,10112,720,3996,214643,0
2012,10112,720,0,60412,0
2016,10112,720,8281,122201,0
2008,10112,730,2374,158958,0
2012,10112,730,0,161562,0
2016,10112,730,0,111934,0
2008,10112,740,2374,173036,0
2012,10112,740,0,166161,0
2016,10112,740,0,126678,0
2008,10112,750,0,120837,0
2012,10112,750,0,96416,0
2016,10112,750,0,105390,0
2008,10112,760,0,125381,0
2012,10112,760,0,182174,0
2016,10112,760,8281,88441,0
2008,10112,770,0,163116,0
2012,10112,770,0,81497,0
2016,10112,770,0,62490,0
2008,10112,780,2374,59196,0
2012,10112,780,0,51351,0
2016,10112,780,0,32790,0
2008,10112,790,0,105414,0
2012,10112,790,0,85467,0
2016,10112,790,0,67540,0
2008,10112,800,0,32615,0
2012,10112,800,0,85309,0
2016,10112,800,0,106220,0
2008,10112,810,9506,96018,0
2012,10112,810,0,91845,0
2016,10112,810,0,49683,0
2008,10112,820,0,28568,0
2012,10112,820,0,37177,0
2016,10112,820,0,78836,0
2008,10112,830,0,16041,0
2012,10112,830,0,36068,0
2016,10112,830,0,20167,0
2008,10112,840,0,23062,0
2012,10112,840,0,2781,0
2016,10112,840,0,17499,0
2008,10112,850,0,33677,0
2012,10112,850,0,58182,0
2016,10112,850,0,0,0
2008,10112,860,0,145209,0
2012,10112,860,0,68896,0
2016,10112,860,0,4351,0
2008,10112,870,0,76039,0
2012,10112,870,0,21511,0
2016,10112,870,0,27133,0
2008,10112,880,0,12892,0
2012,10112,880,0,0,0
2016,10112,880,0,17634,0
2008,10112,890,0,42602,0
2012,10112,890,0,0,0
2016,10112,890,0,13417,0
2008,10112,900,0,15127,0
2012,10112,900,0,14223,0
2016,10112,900,0,0,0
2008,10112,910,0,0,0
2012,10112,910,0,6540,0
2016,10112,910,0,0,0
2008,10112,930,0,2493,0
2012,10112,930,0,0,0
2016,10112,930,0,0,0
2008,10112,970,0,15127,0
2012,10112,970,0,0,0
2016,10112,970,0,0,0
2008,10112,980,0,0,0
2012,10112,980,0,0,0
2016,10112,980,0,13417,0
2008,10115,140,0,0,0
2012,10115,140,0,0,0
2016,10115,140,0,0,0
2008,10115,150,0,0,0
2012,10115,150,0,0,0
2016,10115,150,0,0,0
2008,10115,180,0,0,0
2012,10115,180,0,0,0
2016,10115,180,0,0,0
2008,10115,190,0,0,0
2012,10115,190,0,0,0
2016,10115,190,0,0,0
2008,10115,200,0,0,0
2012,10115,200,0,0,0
2016,10115,200,0,0,0
2008,10115,210,0,0,0
2012,10115,210,0,0,0
2016,10115,210,0,0,0
2008,10115,220,0,0,0
2012,10115,220,0,0,0
2016,10115,220,0,0,0
2008,10115,250,0,0,0
2012,10115,250,0,0,0
2016,10115,250,0,0,0
2008,10115,270,0,0,0
2012,10115,270,0,8579,0
2016,10115,270,0,0,0
2008,10115,280,0,0,0
2012,10115,280,42647,23980,0
2016,10115,280,0,0,0
2008,10115,290,0,0,0
2012,10115,290,98968,68858,0
2016,10115,290,0,0,0
2008,10115,300,0,0,0
2012,10115,300,178863,145881,0
2016,10115,300,0,0,0
2008,10115,310,0,0,0
2012,10115,310,237120,280156,0
2016,10115,310,0,0,0
2008,10115,320,0,0,0
2012,10115,320,297831,189507,0
2016,10115,320,0,0,0
2008,10115,330,0,0,0
2012,10115,330,302308,352819,0
2016,10115,330,0,0,0
2008,10115,340,0,0,0
2012,10115,340,453492,260274,0
2016,10115,340,0,0,0
2008,10115,350,0,0,0
2012,10115,350,409975,244541,0
2016,10115,350,0,0,0
2008,10115,360,0,0,0
2012,10115,360,369007,361141,0
2016,10115,360,0,0,0
2008,10115,370,0,0,0
2012,10115,370,391553,341279,0
2016,10115,370,0,0,0
2008,10115,380,0,0,0
2012,10115,380,394266,325765,0
2016,10115,380,0,0,0
2008,10115,390,0,0,0
2012,10115,390,292377,266744,0
2016,10115,390,0,0,0
2008,10115,400,0,0,0
2012,10115,400,259255,239200,0
2016,10115,400,8568,0,0
2008,10115,410,0,0,0
2012,10115,410,337353,177746,0
2016,10115,410,0,0,0
2008,10115,420,0,0,0
2012,10115,420,211251,153777,0
2016,10115,420,15622,0,0
2008,10115,430,0,0,0
2012,10115,430,178212,138151,0
2016,10115,430,8957,0,0
2008,10115,440,0,0,0
2012,10115,440,232366,89335,0
2016,10115,440,0,0,0
2008,10115,450,0,0,0
2012,10115,450,412497,147918,0
2016,10115,450,44245,0,0
2008,10115,460,7820,0,0
2012,10115,460,160214,117399,0
2016,10115,460,26015,8568,0
2008,10115,470,22567,0,0
2012,10115,470,187547,46223,0
2016,10115,470,40077,0,0
2008,10115,480,3673,27295,0
2012,10115,480,205906,108478,0
2016,10115,480,51295,5354,0
2008,10115,490,19459,3921,0
2012,10115,490,253324,75132,0
2016,10115,490,116933,8957,0
2008,10115,500,59712,3921,0
2012,10115,500,93569,166014,0
2016,10115,500,372165,121675,0
2008,10115,510,49804,14274,0
2012,10115,510,79038,30280,0
2016,10115,510,446438,119122,0
2008,10115,520,165854,66593,0
2012,10115,520,42297,23990,0
2016,10115,520,503142,69981,0
2008,10115,530,148723,39365,0
2012,10115,530,66499,62527,0
2016,10115,530,750896,156984,0
2008,10115,540,119482,54483,0
2012,10115,540,33763,18179,0
2016,10115,540,907367,34656,0
2008,10115,550,128070,81383,0
2012,10115,550,4423,23007,0
2016,10115,550,1054954,113992,0
2008,10115,560,65870,35667,0
2012,10115,560,53107,37168,0
2016,10115,560,993663,416488,0
2008,10115,570,100903,85704,0
2012,10115,570,20795,8074,0
2016,10115,570,853725,442625,0
2008,10115,580,75384,88812,0
2012,10115,580,31806,11762,0
2016,10115,580,700830,430253,0
2008,10115,590,137715,75077,0
2012,10115,590,37805,0,0
2016,10115,590,1036955,435724,0
2008,10115,600,76673,59778,0
2012,10115,600,141563,0,0
2016,10115,600,604161,280994,0
2008,10115,610,196729,58009,0
2012,10115,610,193140,0,0
2016,10115,610,485275,317345,0
2008,10115,620,114636,44906,0
2012,10115,620,270398,16991,0
2016,10115,620,453861,310005,0
2008,10115,630,179768,33679,0
2012,10115,630,341298,7524,0
2016,10115,630,625977,376224,0
2008,10115,640,349343,49217,0
2012,10115,640,628157,15598,0
2016,10115,640,428407,331585,0
2008,10115,650,290427,58626,0
2012,10115,650,535140,14826,0
2016,10115,650,541857,204409,0
2008,10115,660,515231,83381,0
2012,10115,660,596991,72253,0
2016,10115,660,732342,362326,0
2008,10115,670,495179,31610,0
2012,10115,670,625360,6137,0
2016,10115,670,1022920,196219,0
2008,10115,680,505037,56792,0
2012,10115,680,520852,46850,0
2016,10115,680,701143,178224,0
2008,10115,690,630051,41715,0
2012,10115,690,392985,58408,0
2016,10115,690,736363,219324,0
2008,10115,700,657636,62982,0
2012,10115,700,492023,65896,0
2016,10115,700,628858,173237,0
2008,10115,710,548455,28465,0
2012,10115,710,573764,40233,0
2016,10115,710,305451,131378,0
2008,10115,720,514218,80914,0
2012,10115,720,309638,97103,0
2016,10115,720,328041,161685,0
2008,10115,730,365301,7199,0
2012,10115,730,236894,165957,0
2016,10115,730,257301,201222,0
2008,10115,740,286215,12371,0
2012,10115,740,191672,106394,0
2016,10115,740,111683,153351,0
2008,10115,750,128817,6569,0
2012,10115,750,53415,217651,0
2016,10115,750,136619,50518,0
2008,10115,760,117209,8732,0
2012,10115,760,89129,78729,0
2016,10115,760,41275,114895,0
2008,10115,770,21011,32506,0
2012,10115,770,34044,138190,0
2016,10115,770,56189,291930,0
2008,10115,780,35326,39541,0
2012,10115,780,43428,88211,0
2016,10115,780,53628,164236,0
2008,10115,790,28472,50176,0
2012,10115,790,19902,78443,0
2016,10115,790,27911,189008,0
2008,10115,800,9118,17672,0
2012,10115,800,12109,70835,0
2016,10115,800,13924,231688,0
2008,10115,810,22346,38477,0
2012,10115,810,28881,43185,0
2016,10115,810,0,280787,0
2008,10115,820,0,73563,0
2012,10115,820,16772,86238,0
2016,10115,820,0,247560,0
2008,10115,830,0,69718,0
2012,10115,830,14908,97701,0
2016,10115,830,26024,267080,0
2008,10115,840,0,150402,0
2012,10115,840,0,26524,0
2016,10115,840,0,142804,0
2008,10115,850,0,95569,0
2012,10115,850,29890,60868,0
2016,10115,850,24576,187112,0
2008,10115,860,0,108303,0
2012,10115,860,8074,20795,0
2016,10115,860,0,68951,0
2008,10115,870,0,56197,0
2012,10115,870,0,88517,0
2016,10115,870,0,136735,0
2008,10115,880,0,85050,0
2012,10115,880,0,49023,0
2016,10115,880,9184,98439,0
2008,10115,890,0,156010,0
2012,10115,890,0,7532,0
2016,10115,890,0,14515,0
2008,10115,900,0,66894,0
2012,10115,900,0,50247,0
2016,10115,900,0,21304,0
2008,10115,910,0,149717,0
2012,10115,910,0,57519,0
2016,10115,910,0,47945,0
2008,10115,920,0,82763,0
2012,10115,920,0,40887,0
2016,10115,920,0,78196,0
2008,10115,930,0,108108,0
2012,10115,930,0,44228,0
2016,10115,930,0,37768,0
2008,10115,940,0,89500,0
2012,10115,940,0,32417,0
2016,10115,940,0,39302,0
2008,10115,950,0,128404,0
2012,10115,950,0,45379,0
2016,10115,950,0,66988,0
2008,10115,960,0,38018,0
2012,10115,960,0,52224,0
2016,10115,960,0,40500,0
2008,10115,970,0,50254,0
2012,10115,970,0,51718,0
2016,10115,970,0,38238,0
2008,10115,980,0,10242,0
2012,10115,980,0,16578,0
2016,10115,980,7786,61610,0
2008,10115,990,0,102092,0
2012,10115,990,0,82712,0
2016,10115,990,0,46640,0
2008,10115,1000,0,22566,0
2012,10115,1000,0,31307,0
2016,10115,1000,0,8568,0
2008,10115,1010,0,21522,0
2012,10115,1010,0,0,0
2016,10115,1010,0,0,0
2008,10115,1020,0,23127,0
2012,10115,1020,0,0,0
2016,10115,1020,0,0,0
2008,10115,1030,0,14763,0
2012,10115,1030,0,30221,0
2016,10115,1030,0,13389,0
2008,10115,1040,0,17316,0
2012,10115,1040,0,0,0
2016,10115,1040,0,0,0
2008,10115,1050,0,0,0
2012,10115,1050,0,14193,0
2016,10115,1050,0,12814,0
2008,10115,1070,0,13506,0
2012,10115,1070,0,0,0
2016,10115,1070,0,22183,0
2008,10115,1090,0,0,0
2012,10115,1090,0,0,0
2016,10115,1090,0,21712,0
2008,10115,1100,0,10082,0
2012,10115,1100,0,0,0
2016,10115,1100,0,0,0
2008,10115,1160,0,14455,0
2012,10115,1160,0,0,0
2016,10115,1160,0,0,0
2008,30060,80,0,0,22955
2012,30060,80,0,0,199268
2016,30060,80,0,0,0
2008,30060,90,0,0,13437
2012,30060,90,0,0,0
2016,30060,90,0,0,36383
2008,30060,100,0,0,17365
2012,30060,100,0,0,0
2016,30060,100,0,0,0
2008,30060,110,0,0,3921
2012,30060,110,0,0,22744
2016,30060,110,0,0,36383
2008,30060,120,0,0,0
2012,30060,120,0,0,23116
2016,30060,120,0,0,109152
2008,30060,130,0,0,0
2012,30060,130,0,0,398538
2016,30060,130,0,0,181919
2008,30060,140,4484,0,9516
2012,30060,140,22374,0,398538
2016,30060,140,0,0,193153
2008,30060,150,0,0,3921
2012,30060,150,0,47044,0
2016,30060,150,0,0,205730
2008,30060,160,0,9516,3921
2012,30060,160,16197,0,0
2016,30060,160,0,0,533182
2008,30060,170,19034,0,0
2012,30060,170,0,3220,0
2016,30060,170,0,0,1237040
2008,30060,180,39276,9516,0
2012,30060,180,57790,22744,0
2016,30060,180,0,0,884446
2008,30060,190,3996,3996,0
2012,30060,190,45490,80164,0
2016,30060,190,0,7054,496796
2008,30060,200,0,19034,0
2012,30060,200,69347,115212,0
2016,30060,200,0,0,460412
2008,30060,210,40320,34810,0
2012,30060,210,105203,268615,0
2016,30060,210,0,0,751486
2008,30060,220,41968,26883,0
2012,30060,220,157838,380705,0
2016,30060,220,0,0,909593
2008,30060,230,43272,19034,0
2012,30060,230,356792,322238,0
2016,30060,230,6080,0,884446
2008,30060,240,28691,20366,0
2012,30060,240,120234,271970,0
2016,30060,240,0,0,351265
2008,30060,250,7869,9516,0
2012,30060,250,70317,261505,0
2016,30060,250,13189,3987,460412
2008,30060,260,54461,37107,0
2012,30060,260,140934,313893,0
2016,30060,260,286993,0,351265
2008,30060,270,0,31251,0
2012,30060,270,703890,417180,0
2016,30060,270,263217,339364,72766
2008,30060,280,727504,26108,0
2012,30060,280,489511,524895,0
2016,30060,280,335788,72766,36383
2008,30060,290,406577,18862,0
2012,30060,290,2376834,293720,0
2016,30060,290,5652846,42637,0
2008,30060,300,727930,367460,0
2012,30060,300,1707913,975700,0
2016,30060,300,127400,95012,0
2008,30060,310,1099583,443581,0
2012,30060,310,4010850,2530299,0
2016,30060,310,33844,77513,0
2008,30060,320,2515654,1149120,0
2012,30060,320,13530704,3910276,0
2016,30060,320,2673836,5365187,0
2008,30060,330,3726651,1396629,0
2012,30060,330,18899879,7762041,0
2016,30060,330,8869512,292001,0
2008,30060,340,10907229,3967440,0
2012,30060,340,36963696,22136535,0
2016,30060,340,54029228,27711691,0
2008,30060,350,12516925,6970499,0
2012,30060,350,53377594,23023399,0
2016,30060,350,58234267,9557854,0
2008,30060,360,11762372,5174800,0
2012,30060,360,74211940,32401651,0
2016,30060,360,71087205,94559179,0
2008,30060,370,20076848,5762140,22239
2012,30060,370,43113104,54086817,0
2016,30060,370,112414672,41682195,0
2008,30060,380,26403790,12731411,11121
2012,30060,380,44286784,40652647,0
2016,30060,380,76892116,63175070,0
2008,30060,390,25908162,17209705,22239
2012,30060,390,41163558,44052994,0
2016,30060,390,56200262,67139298,0
2008,30060,400,17840199,24230117,66719
2012,30060,400,25318357,32438398,0
2016,30060,400,37283024,78108980,0
2008,30060,410,11208759,20131883,11121
2012,30060,410,21034657,31958675,0
2016,30060,410,9652148,53025000,0
2008,30060,420,3332876,17408690,88963
2012,30060,420,9115304,31233942,0
2016,30060,420,3542428,36950593,0
2008,30060,430,1526416,16711213,88963
2012,30060,430,2844233,20305384,0
2016,30060,430,1635374,25878639,0
2008,30060,440,1266527,12938174,111203
2012,30060,440,711975,17162136,0
2016,30060,440,731857,16749135,0
2008,30060,450,237279,7840707,88963
2012,30060,450,99685,9278641,0
2016,30060,450,452080,9657588,0
2008,30060,460,234688,3097169,55603
2012,30060,460,4415,7563452,0
2016,30060,460,36751,4778229,0
2008,30060,470,2591,2573779,55603
2012,30060,470,394853,3920650,0
2016,30060,470,12779,1014977,0
2008,30060,480,0,1516959,33364
2012,30060,480,18909,1782501,0
2016,30060,480,0,683551,0
2008,30060,490,173569,183701,0
2012,30060,490,0,809122,0
2016,30060,490,0,56846,0
2008,30060,500,0,173569,0
2012,30060,500,0,0,0
2016,30060,500,8987,34555,0
2008,30060,510,0,0,0
