year,species_code,ess,species_name,iss
2008,10115,ess_f,Greenland turbot,70.55558135535877
2008,30060,ess_f,Pacific ocean perch,50.74528830478366
2012,10112,ess_f,Kamchatka flounder,144.66766696237306
2012,10115,ess_f,Greenland turbot,45.50509375957772
2012,30060,ess_f,Pacific ocean perch,63.678404684643326
2016,10112,ess_f,Kamchatka flounder,136.40910588196516
2016,10115,ess_f,Greenland turbot,68.97753268008965
2016,30060,ess_f,Pacific ocean perch,37.376216618611465
2008,10115,ess_m,Greenland turbot,90.50562702198998
2008,30060,ess_m,Pacific ocean perch,50.43225609144016
2012,10112,ess_m,Kamchatka flounder,96.98266395542156
2012,10115,ess_m,Greenland turbot,70.07390979327302
2012,30060,ess_m,Pacific ocean perch,56.37943429524913
2016,10112,ess_m,Kamchatka flounder,130.28152190494035
2016,10115,ess_m,Greenland turbot,73.62532140505182
2016,30060,ess_m,Pacific ocean perch,51.76179197317901
2008,10115,ess_t,Greenland turbot,140.9396362170223
2008,30060,ess_t,Pacific ocean perch,88.71606935817252
2012,10112,ess_t,Kamchatka flounder,208.61402615010886
2012,10115,ess_t,Greenland turbot,87.34694627362897
2012,30060,ess_t,Pacific ocean perch,107.75309199308208
2016,10112,ess_t,Kamchatka flounder,237.9172921614381
2016,10115,ess_t,Greenland turbot,113.33822753683269
2016,30060,ess_t,Pacific ocean perch,82.19184653803353
