year,species_code,ess,species_name,iss
2008,10112,ess_f,Kamchatka flounder,364.5368286809913
2012,10112,ess_f,Kamchatka flounder,438.5655278016552
2016,10112,ess_f,Kamchatka flounder,343.6211701392942
2008,10115,ess_f,Greenland turbot,144.9522264305427
2012,10115,ess_f,Greenland turbot,196.239808724982
2016,10115,ess_f,Greenland turbot,175.6864219995482
2008,30060,ess_f,Pacific ocean perch,70.8213686355865
2012,30060,ess_f,Pacific ocean perch,102.62209863064301
2016,30060,ess_f,Pacific ocean perch,47.50633945590955
2008,10112,ess_m,Kamchatka flounder,439.4097136725613
2012,10112,ess_m,Kamchatka flounder,319.3720143389629
2016,10112,ess_m,Kamchatka flounder,451.432677796593
2008,10115,ess_m,Greenland turbot,223.3392028799242
2012,10115,ess_m,Greenland turbot,235.54851939517891
2016,10115,ess_m,Greenland turbot,238.59419831666494
2008,30060,ess_m,Pacific ocean perch,85.04373587089712
2012,30060,ess_m,Pacific ocean perch,98.84065424583386
2016,30060,ess_m,Pacific ocean perch,59.29553119048647
2008,10112,ess_t,Kamchatka flounder,702.9979111170319
2012,10112,ess_t,Kamchatka flounder,638.3405020983143
2016,10112,ess_t,Kamchatka flounder,753.4945435812655
2008,10115,ess_t,Greenland turbot,311.21301210463696
2012,10115,ess_t,Greenland turbot,323.0308838303975
2016,10115,ess_t,Greenland turbot,372.1822940584129
2008,30060,ess_t,Pacific ocean perch,130.22901243134467
2012,30060,ess_t,Pacific ocean perch,176.6280245368967
2016,30060,ess_t,Pacific ocean perch,103.03882293272488
