year,species_code,ess,species_name,iss
1982,10110,ess_f,arrowtooth flounder,52.22044106650439
1982,10115,ess_f,Greenland turbot,36.98560694839044
1982,10130,ess_f,flathead sole,7.667969267745132
1982,10210,ess_f,yellowfin sole,9.984399596562929
1982,10285,ess_f,Alaska plaice,142.15351761183697
1982,21740,ess_f,walleye pollock,3.245043844845373
1983,10210,ess_f,yellowfin sole,176.51263267821022
1983,21740,ess_f,walleye pollock,3.0883304868239794
1984,10210,ess_f,yellowfin sole,259.54876569560514
1984,21720,ess_f,Pacific cod,61.32453557374177
1984,21740,ess_f,walleye pollock,2.585037267418192
1985,10130,ess_f,flathead sole,8.779409207957707
1985,10210,ess_f,yellowfin sole,201.13355860345885
1985,21740,ess_f,walleye pollock,4.59898147647438
1986,10210,ess_f,yellowfin sole,294.61480476314216
1986,21740,ess_f,walleye pollock,5.587604199367335
1987,10210,ess_f,yellowfin sole,189.30364915031228
1987,21740,ess_f,walleye pollock,4.7452931145807105
1988,10210,ess_f,yellowfin sole,168.53054333755293
1988,10285,ess_f,Alaska plaice,50.14462097709998
1988,21720,ess_f,Pacific cod,183.0527893422951
1988,21740,ess_f,walleye pollock,5.3232889441863085
1989,10210,ess_f,yellowfin sole,263.37335518306446
1989,21720,ess_f,Pacific cod,7.0245191240282905
1989,21740,ess_f,walleye pollock,4.161564135860034
1990,10210,ess_f,yellowfin sole,233.78437144588165
1990,21720,ess_f,Pacific cod,133.75745929100037
1990,21740,ess_f,walleye pollock,3.561166425276325
1991,10210,ess_f,yellowfin sole,251.21324582829163
1991,21720,ess_f,Pacific cod,124.38181399212576
1991,21740,ess_f,walleye pollock,6.2466488137603315
1992,10130,ess_f,flathead sole,123.6357144718897
1992,10210,ess_f,yellowfin sole,208.71126321607147
1992,10285,ess_f,Alaska plaice,136.76376940441352
1992,21720,ess_f,Pacific cod,209.42926030799052
1992,21740,ess_f,walleye pollock,5.836793959967239
1993,10110,ess_f,arrowtooth flounder,57.92858644764175
1993,10130,ess_f,flathead sole,34.48398536235151
1993,10210,ess_f,yellowfin sole,150.14682054084363
1993,10285,ess_f,Alaska plaice,71.71565947097083
1993,21720,ess_f,Pacific cod,4.627344587448343
1993,21740,ess_f,walleye pollock,3.482498004116354
1994,10110,ess_f,arrowtooth flounder,47.89479197492767
1994,10130,ess_f,flathead sole,11.675347012108533
1994,10210,ess_f,yellowfin sole,158.68641381896248
1994,10285,ess_f,Alaska plaice,59.605494150732454
1994,21720,ess_f,Pacific cod,181.19415479839674
1994,21740,ess_f,walleye pollock,3.6733925936029945
1995,10130,ess_f,flathead sole,116.81549510663065
1995,10210,ess_f,yellowfin sole,256.09450171402034
1995,10285,ess_f,Alaska plaice,127.23459172325806
1995,21720,ess_f,Pacific cod,2.9735311461573115
1995,21740,ess_f,walleye pollock,4.246811082108021
1996,10110,ess_f,arrowtooth flounder,8.978765613852904
1996,10210,ess_f,yellowfin sole,266.24609082533794
1996,10261,ess_f,northern rock sole,224.0120736345361
1996,21720,ess_f,Pacific cod,144.86115771131776
1996,21740,ess_f,walleye pollock,5.675150589399339
1997,10210,ess_f,yellowfin sole,12.373734336888804
1997,10261,ess_f,northern rock sole,155.86456929664848
1997,21720,ess_f,Pacific cod,5.891774010569314
1997,21740,ess_f,walleye pollock,3.6145445416612616
1998,10110,ess_f,arrowtooth flounder,147.74437860114074
1998,10115,ess_f,Greenland turbot,6.0081784561431615
1998,10210,ess_f,yellowfin sole,245.42477171394344
1998,10261,ess_f,northern rock sole,8.484084615587166
1998,10285,ess_f,Alaska plaice,132.7486122641596
1998,21720,ess_f,Pacific cod,2.927888439356209
1998,21740,ess_f,walleye pollock,3.5378674549432465
1999,10130,ess_f,flathead sole,129.9717213333406
1999,10210,ess_f,yellowfin sole,327.1122896577659
1999,10261,ess_f,northern rock sole,7.337837567051042
1999,21720,ess_f,Pacific cod,4.119908173362636
1999,21740,ess_f,walleye pollock,5.025755001067845
2000,10130,ess_f,flathead sole,14.982632501056306
2000,10210,ess_f,yellowfin sole,189.11298398881735
2000,10261,ess_f,northern rock sole,115.54534935361528
2000,10285,ess_f,Alaska plaice,153.7886294421299
2000,21720,ess_f,Pacific cod,4.8456355401431095
2000,21740,ess_f,walleye pollock,5.719163114736534
2001,10130,ess_f,flathead sole,179.37575794260167
2001,10210,ess_f,yellowfin sole,201.25534921255982
2001,10261,ess_f,northern rock sole,173.60747240082955
2001,10285,ess_f,Alaska plaice,135.70086985997628
2001,21720,ess_f,Pacific cod,236.14456380483142
2001,21740,ess_f,walleye pollock,7.7476280966509234
2002,10130,ess_f,flathead sole,180.29976548564562
2002,10210,ess_f,yellowfin sole,323.46033072415594
2002,10261,ess_f,northern rock sole,11.624828655102652
2002,10285,ess_f,Alaska plaice,157.40138527328617
2002,21720,ess_f,Pacific cod,3.737595614486667
