year,species_code,ess,species_name,iss
1982,10110,ess_f,arrowtooth flounder,383.81348790239787
1983,10110,ess_f,arrowtooth flounder,730.258298864585
1984,10110,ess_f,arrowtooth flounder,716.5956560749969
1985,10110,ess_f,arrowtooth flounder,981.1953792083541
1986,10110,ess_f,arrowtooth flounder,713.1980393892278
1987,10110,ess_f,arrowtooth flounder,1136.6025646634685
1988,10110,ess_f,arrowtooth flounder,781.777658855461
1989,10110,ess_f,arrowtooth flounder,1068.6036498750711
1990,10110,ess_f,arrowtooth flounder,1115.8069319544693
1991,10110,ess_f,arrowtooth flounder,967.9672388063796
1992,10110,ess_f,arrowtooth flounder,717.4791352512266
1993,10110,ess_f,arrowtooth flounder,1284.4655517726596
1994,10110,ess_f,arrowtooth flounder,1064.5065035074322
1995,10110,ess_f,arrowtooth flounder,736.201076015574
1996,10110,ess_f,arrowtooth flounder,1569.3176175961673
1997,10110,ess_f,arrowtooth flounder,1209.005054471791
1998,10110,ess_f,arrowtooth flounder,1162.154869799794
1999,10110,ess_f,arrowtooth flounder,780.3398035084838
2000,10110,ess_f,arrowtooth flounder,953.6704713780616
2001,10110,ess_f,arrowtooth flounder,1190.5764838810774
2002,10110,ess_f,arrowtooth flounder,1189.8894529284728
2003,10110,ess_f,arrowtooth flounder,1495.901941361022
2004,10110,ess_f,arrowtooth flounder,2200.7521729562677
2005,10110,ess_f,arrowtooth flounder,2420.1472069433858
2006,10110,ess_f,arrowtooth flounder,2414.8075592784076
2007,10110,ess_f,arrowtooth flounder,1841.1162827424116
2008,10110,ess_f,arrowtooth flounder,2163.565480442132
2009,10110,ess_f,arrowtooth flounder,1497.4608264989513
2010,10110,ess_f,arrowtooth flounder,1959.0149972334202
2011,10110,ess_f,arrowtooth flounder,1683.303372057667
2012,10110,ess_f,arrowtooth flounder,1339.2762848033374
2013,10110,ess_f,arrowtooth flounder,1530.497681360634
2014,10110,ess_f,arrowtooth flounder,1511.6745864313793
2015,10110,ess_f,arrowtooth flounder,2114.7314500491943
2016,10110,ess_f,arrowtooth flounder,2846.2220282179806
2017,10110,ess_f,arrowtooth flounder,2140.2714179948575
2018,10110,ess_f,arrowtooth flounder,1524.6700259711065
2019,10110,ess_f,arrowtooth flounder,2318.2843282283643
2021,10110,ess_f,arrowtooth flounder,1970.680873349119
1983,10112,ess_f,Kamchatka flounder,127.36315480565821
1984,10112,ess_f,Kamchatka flounder,116.88028454669839
1987,10112,ess_f,Kamchatka flounder,0
1988,10112,ess_f,Kamchatka flounder,26.749927634573336
1989,10112,ess_f,Kamchatka flounder,46.39657107639645
1990,10112,ess_f,Kamchatka flounder,88.9203205202156
1991,10112,ess_f,Kamchatka flounder,154.23849282408753
1992,10112,ess_f,Kamchatka flounder,149.92654851771917
1993,10112,ess_f,Kamchatka flounder,187.14482475844122
1994,10112,ess_f,Kamchatka flounder,208.35095408554088
1995,10112,ess_f,Kamchatka flounder,140.61273107701507
1996,10112,ess_f,Kamchatka flounder,183.40417532626844
1997,10112,ess_f,Kamchatka flounder,116.35050148784548
1998,10112,ess_f,Kamchatka flounder,212.87304955161105
1999,10112,ess_f,Kamchatka flounder,114.15122435642064
2000,10112,ess_f,Kamchatka flounder,154.57030836200053
2001,10112,ess_f,Kamchatka flounder,198.0838553986562
2002,10112,ess_f,Kamchatka flounder,174.10346714168043
2003,10112,ess_f,Kamchatka flounder,247.45542947293967
2004,10112,ess_f,Kamchatka flounder,347.4589595449426
2005,10112,ess_f,Kamchatka flounder,475.5719006711504
2006,10112,ess_f,Kamchatka flounder,377.38275190042293
2007,10112,ess_f,Kamchatka flounder,397.7354887350743
2008,10112,ess_f,Kamchatka flounder,406.86697496388086
2009,10112,ess_f,Kamchatka flounder,300.1442901272266
2010,10112,ess_f,Kamchatka flounder,449.3520044396618
2011,10112,ess_f,Kamchatka flounder,367.7331599111637
2012,10112,ess_f,Kamchatka flounder,428.85285046689177
2013,10112,ess_f,Kamchatka flounder,340.7201429479984
2014,10112,ess_f,Kamchatka flounder,342.25355732453903
2015,10112,ess_f,Kamchatka flounder,463.74100465187445
2016,10112,ess_f,Kamchatka flounder,501.0354116705
2017,10112,ess_f,Kamchatka flounder,442.60409461910143
