species_code,ess,species_name,avg_iss
10180,ess_f,Dover sole,85.21224646702491
20510,ess_f,sablefish,68.75264972438862
21740,ess_f,walleye pollock,109.6719046349053
30060,ess_f,Pacific ocean perch,131.59787480607517
30420,ess_f,northern rockfish,66.6431932532245
10110,ess_f,arrowtooth flounder,229.84960454212643
10130,ess_f,flathead sole,110.54942623244752
21720,ess_f,Pacific cod,84.0675759302862
10180,ess_m,Dover sole,71.28196523841909
20510,ess_m,sablefish,73.27338704613253
21740,ess_m,walleye pollock,88.15652457192465
30060,ess_m,Pacific ocean perch,132.70283664955215
30420,ess_m,northern rockfish,59.97971524615615
10110,ess_m,arrowtooth flounder,150.5480538885771
10130,ess_m,flathead sole,86.11667110641442
21720,ess_m,Pacific cod,75.19604580819546
10180,ess_t,Dover sole,144.99705998876743
20510,ess_t,sablefish,102.99854200971194
21740,ess_t,walleye pollock,99.43376455855878
30060,ess_t,Pacific ocean perch,204.73012939260218
30420,ess_t,northern rockfish,115.65869198799233
10110,ess_t,arrowtooth flounder,337.34689599389304
10130,ess_t,flathead sole,180.17074867515723
21720,ess_t,Pacific cod,103.32451425661696
30050,ess_f,REBS rockfish complex,86.2238273072282
30050,ess_m,REBS rockfish complex,84.5215460845376
30050,ess_t,REBS rockfish complex,152.06208756481044
30150,ess_f,Dusky rockfish,65.73328857348602
30150,ess_m,Dusky rockfish,51.170344024305244
30150,ess_t,Dusky rockfish,96.0822203527986
