sim,year,species_code,ess,value
1,1984,DR,ess_f,81.66324495884355
1,1987,DR,ess_f,19.77153004038966
1,1990,DR,ess_f,18.92860547262905
1,1993,DR,ess_f,196.94379589964544
1,1996,DR,ess_f,80.8706864565564
1,1999,DR,ess_f,17.44039694784262
1,2001,DR,ess_f,419.1246028285779
1,2003,DR,ess_f,25.643666944979415
1,2005,DR,ess_f,39.894665919469105
1,2007,DR,ess_f,167.9622063278579
1,2009,DR,ess_f,103.52297698213991
1,2011,DR,ess_f,108.94208339558209
1,2013,DR,ess_f,223.84493930463066
1,2015,DR,ess_f,128.73954007641785
1,2017,DR,ess_f,267.4596319570047
1,2019,DR,ess_f,79.35063534882727
1,1984,DR,ess_m,70.59201824894802
1,1987,DR,ess_m,8.420082065919406
1,1990,DR,ess_m,17.540648683121354
1,1993,DR,ess_m,109.90058316482765
1,1996,DR,ess_m,84.51052152266213
1,1999,DR,ess_m,11.100412705430124
1,2001,DR,ess_m,234.59231386528586
1,2003,DR,ess_m,19.612652201213614
1,2005,DR,ess_m,119.73544136308986
1,2007,DR,ess_m,77.84884174493601
1,2009,DR,ess_m,113.60169252159187
1,2011,DR,ess_m,197.3356942318341
1,2013,DR,ess_m,259.36013721341817
1,2015,DR,ess_m,139.88758184296856
1,2017,DR,ess_m,115.01038021096016
1,2019,DR,ess_m,125.76099501865956
1,1984,DR,ess_t,94.86758182849853
1,1987,DR,ess_t,14.04475111936918
1,1990,DR,ess_t,39.06411820448333
1,1993,DR,ess_t,272.28298527857095
1,1996,DR,ess_t,268.68220177111596
1,1999,DR,ess_t,44.11816528002253
1,2001,DR,ess_t,424.0946629022661
1,2003,DR,ess_t,24.084214431259714
1,2005,DR,ess_t,74.74959010348431
1,2007,DR,ess_t,166.14313944950993
1,2009,DR,ess_t,183.5437663053858
1,2011,DR,ess_t,193.49127019932948
1,2013,DR,ess_t,594.3274792958217
1,2015,DR,ess_t,293.1124752875293
1,2017,DR,ess_t,325.88147336116054
1,2019,DR,ess_t,133.32031066290085
2,1984,DR,ess_f,1438.186195668173
2,1987,DR,ess_f,63.95037196777224
2,1990,DR,ess_f,26.075428538334894
2,1993,DR,ess_f,16.686073501438223
2,1996,DR,ess_f,89.65782792518145
2,1999,DR,ess_f,72.61048491998208
2,2001,DR,ess_f,327.019806891874
2,2003,DR,ess_f,34.96101574893594
2,2005,DR,ess_f,55.1498053662951
2,2007,DR,ess_f,158.17522802858375
2,2009,DR,ess_f,55.605795730948095
