sim,year,species_code,ess,value,in_out
1,1984,REBS,ess_f,1960.33203732262,in
1,1987,REBS,ess_f,95.0881370937924,in
1,1990,REBS,ess_f,328.6901956554715,in
1,1993,REBS,ess_f,449.7795965241293,in
1,1996,REBS,ess_f,757.6720478628976,in
1,1999,REBS,ess_f,440.99391507683345,in
1,2001,REBS,ess_f,405.2961031324435,in
1,2003,REBS,ess_f,339.3348092727505,in
1,2005,REBS,ess_f,631.1477940467914,in
1,2007,REBS,ess_f,568.0524987909868,in
1,2009,REBS,ess_f,507.1603095209718,in
1,2011,REBS,ess_f,475.33500191622215,in
1,2013,REBS,ess_f,462.80109926300713,in
1,2015,REBS,ess_f,435.0906125981761,in
1,2017,REBS,ess_f,344.17681553490365,in
1,2019,REBS,ess_f,535.9522205452092,in
1,2021,REBS,ess_f,562.4239022837316,in
1,1984,REBS,ess_m,897.3643988458671,in
1,1987,REBS,ess_m,72.8455951898468,in
1,1990,REBS,ess_m,598.1316210778773,in
1,1993,REBS,ess_m,348.2840707105834,in
1,1996,REBS,ess_m,628.5920330545648,in
1,1999,REBS,ess_m,370.41581253259596,in
1,2001,REBS,ess_m,302.9148357928334,in
1,2003,REBS,ess_m,578.3045960717012,in
1,2005,REBS,ess_m,522.9605964415414,in
1,2007,REBS,ess_m,581.9085727777706,in
1,2009,REBS,ess_m,532.5008632109075,in
1,2011,REBS,ess_m,773.7469401806973,in
1,2013,REBS,ess_m,308.915380899797,in
1,2015,REBS,ess_m,302.8118756172241,in
1,2017,REBS,ess_m,495.5634948009525,in
1,2019,REBS,ess_m,186.05718781144455,in
1,2021,REBS,ess_m,348.7768411793703,in
1,1984,REBS,ess_t,2090.275451671639,in
1,1987,REBS,ess_t,103.86311127942922,in
1,1990,REBS,ess_t,774.3276936182289,in
1,1993,REBS,ess_t,506.08501934453614,in
1,1996,REBS,ess_t,1232.003628501878,in
1,1999,REBS,ess_t,564.6013184461818,in
1,2001,REBS,ess_t,567.5837201833756,in
1,2003,REBS,ess_t,744.4400236696745,in
1,2005,REBS,ess_t,969.9648194478573,in
1,2007,REBS,ess_t,880.2307855349359,in
1,2009,REBS,ess_t,688.2588424728008,in
1,2011,REBS,ess_t,929.6729171133223,in
1,2013,REBS,ess_t,696.9034179429987,in
1,2015,REBS,ess_t,632.3516095555112,in
1,2017,REBS,ess_t,684.0084032145655,in
1,2019,REBS,ess_t,509.382015701002,in
1,2021,REBS,ess_t,772.1921174495046,in
2,1984,REBS,ess_f,112.48563346978233,in
2,1987,REBS,ess_f,389.611993411582,in
2,1990,REBS,ess_f,345.17172538439735,in
2,1993,REBS,ess_f,249.01068565632573,in
2,1996,REBS,ess_f,442.54745485974723,in
2,1999,REBS,ess_f,693.4223822793392,in
2,2001,REBS,ess_f,768.821377528412,in
2,2003,REBS,ess_f,602.4754948877155,in
2,2005,REBS,ess_f,482.3613071442217,in
2,2007,REBS,ess_f,501.2547000101896,in
2,2009,REBS,ess_f,628.7328875131362,in
2,2011,REBS,ess_f,336.0441757660179,in
2,2013,REBS,ess_f,331.0041281048278,in
2,2015,REBS,ess_f,343.8373389281286,in
2,2017,REBS,ess_f,499.79144942781176,in
2,2019,REBS,ess_f,193.87552498426092,in
2,2021,REBS,ess_f,307.13953103104376,in
2,1984,REBS,ess_m,169.26588849027172,in
2,1987,REBS,ess_m,662.8686211705501,in
2,1990,REBS,ess_m,272.16806398962797,in
2,1993,REBS,ess_m,279.584739396606,in
2,1996,REBS,ess_m,397.9563674227132,in
2,1999,REBS,ess_m,322.6714572551568,in
2,2001,REBS,ess_m,373.15365864294415,in
2,2003,REBS,ess_m,831.5455965166643,in
2,2005,REBS,ess_m,686.266676672907,in
2,2007,REBS,ess_m,377.67293675071636,in
2,2009,REBS,ess_m,693.608670801584,in
2,2011,REBS,ess_m,344.8645908258643,in
2,2013,REBS,ess_m,211.16894242176903,in
2,2015,REBS,ess_m,535.4865024906679,in
2,2017,REBS,ess_m,480.16670732691387,in
2,2019,REBS,ess_m,319.00623089165356,in
2,2021,REBS,ess_m,220.95863612243133,in
2,1984,REBS,ess_t,241.24395337191973,in
2,1987,REBS,ess_t,547.1952851668013,in
2,1990,REBS,ess_t,658.8297746883845,in
2,1993,REBS,ess_t,328.03206009655304,in
2,1996,REBS,ess_t,886.1751290089816,in
2,1999,REBS,ess_t,731.1854243093755,in
2,2001,REBS,ess_t,1104.448664096779,in
2,2003,REBS,ess_t,1372.3203052720592,in
2,2005,REBS,ess_t,761.8149141152167,in
2,2007,REBS,ess_t,596.2050208275315,in
2,2009,REBS,ess_t,1186.244825650084,in
2,2011,REBS,ess_t,512.3621989406967,in
2,2013,REBS,ess_t,355.76475729675474,in
2,2015,REBS,ess_t,805.602123278059,in
2,2017,REBS,ess_t,990.183836620011,in
2,2019,REBS,ess_t,380.6730608824181,in
2,2021,REBS,ess_t,473.80768047559366,in
3,1984,REBS,ess_f,254.47226324847716,in
3,1987,REBS,ess_f,145.8270804581096,in
3,1990,REBS,ess_f,531.9279315652926,in
3,1993,REBS,ess_f,277.13171272683036,in
3,1996,REBS,ess_f,528.265031952018,in
3,1999,REBS,ess_f,387.8892542709651,in
3,2001,REBS,ess_f,526.2647886274709,in
3,2003,REBS,ess_f,409.2134750087071,in
3,2005,REBS,ess_f,241.8606986780871,in
3,2007,REBS,ess_f,503.1063306359662,in
3,2009,REBS,ess_f,327.81293714528374,in
3,2011,REBS,ess_f,415.1360712887309,in
3,2013,REBS,ess_f,385.4997885228473,in
3,2015,REBS,ess_f,315.7845268322217,in
3,2017,REBS,ess_f,290.9296149339262,in
3,2019,REBS,ess_f,46.17408018381925,in
3,2021,REBS,ess_f,540.6514044726523,in
3,1984,REBS,ess_m,376.900224380565,in
3,1987,REBS,ess_m,252.8593320747214,in
3,1990,REBS,ess_m,505.25201604527854,in
3,1993,REBS,ess_m,241.31521066688308,in
3,1996,REBS,ess_m,358.9701569064152,in
3,1999,REBS,ess_m,465.45594927379915,in
3,2001,REBS,ess_m,279.6506843480359,in
3,2003,REBS,ess_m,411.37430429253175,in
3,2005,REBS,ess_m,270.983835158693,in
3,2007,REBS,ess_m,802.2010898518788,in
3,2009,REBS,ess_m,402.23779295620756,in
3,2011,REBS,ess_m,544.9006338448542,in
3,2013,REBS,ess_m,331.38289728413895,in
3,2015,REBS,ess_m,574.4333395373486,in
3,2017,REBS,ess_m,273.57858769504395,in
3,2019,REBS,ess_m,80.95974684519229,in
3,2021,REBS,ess_m,284.110883832486,in
3,1984,REBS,ess_t,687.281957866938,in
3,1987,REBS,ess_t,288.2752431658985,in
3,1990,REBS,ess_t,1018.4920544347141,in
3,1993,REBS,ess_t,358.1643872785977,in
3,1996,REBS,ess_t,667.9617581520761,in
3,1999,REBS,ess_t,625.7405443702088,in
3,2001,REBS,ess_t,503.10942461512514,in
3,2003,REBS,ess_t,529.0433484097916,in
3,2005,REBS,ess_t,379.41815994149215,in
3,2007,REBS,ess_t,1107.4790035543008,in
3,2009,REBS,ess_t,461.40314657249013,in
3,2011,REBS,ess_t,719.8334757313243,in
3,2013,REBS,ess_t,608.8523576373435,in
3,2015,REBS,ess_t,1098.919912542152,in
3,2017,REBS,ess_t,521.4122111487021,in
3,2019,REBS,ess_t,72.56849388030085,in
3,2021,REBS,ess_t,531.6907307592983,in
4,1984,REBS,ess_f,190.66597624408547,in
4,1987,REBS,ess_f,615.581318603242,in
4,1990,REBS,ess_f,195.64821080935369,in
4,1993,REBS,ess_f,280.41075950911596,in
4,1996,REBS,ess_f,684.9433690638634,in
4,1999,REBS,ess_f,199.88215534819054,in
4,2001,REBS,ess_f,176.70573926340415,in
4,2003,REBS,ess_f,575.9624141150575,in
4,2005,REBS,ess_f,372.9131065214047,in
4,2007,REBS,ess_f,686.7476211665822,in
4,2009,REBS,ess_f,430.6721991715447,in
4,2011,REBS,ess_f,525.4748576262476,in
4,2013,REBS,ess_f,270.3002348268516,in
4,2015,REBS,ess_f,223.52832076079412,in
4,2017,REBS,ess_f,427.0508141688573,in
4,2019,REBS,ess_f,56.71598751178037,in
4,2021,REBS,ess_f,326.57165125854743,in
4,1984,REBS,ess_m,370.2508057065808,in
4,1987,REBS,ess_m,452.1379878657508,in
4,1990,REBS,ess_m,537.2938739170144,in
4,1993,REBS,ess_m,352.6532473960404,in
4,1996,REBS,ess_m,489.8991905391259,in
4,1999,REBS,ess_m,159.54879352830034,in
4,2001,REBS,ess_m,247.4578022065063,in
4,2003,REBS,ess_m,309.889183651203,in
4,2005,REBS,ess_m,329.9984053803082,in
4,2007,REBS,ess_m,483.0109511592251,in
4,2009,REBS,ess_m,413.37044306039314,in
4,2011,REBS,ess_m,432.36722920919925,in
4,2013,REBS,ess_m,204.0398467094839,in
4,2015,REBS,ess_m,11.952558713496906,in
4,2017,REBS,ess_m,200.6949921709081,in
4,2019,REBS,ess_m,88.71497255790254,in
4,2021,REBS,ess_m,315.31978482155483,in
4,1984,REBS,ess_t,421.32437562539934,in
4,1987,REBS,ess_t,762.1614140758774,in
4,1990,REBS,ess_t,373.6071130793707,in
4,1993,REBS,ess_t,477.1720713467609,in
4,1996,REBS,ess_t,947.3202965187086,in
