year,species_code,age,males,females,unsexed
1984,10180,3,322426.5,0,0
1984,10180,4,272906.25,0,0
1984,10180,5,2688239.132051282,2624666.2463980466,0
1984,10180,6,7798659.432670203,5246273.688034188,0
1984,10180,7,4633586.155128205,1981901.5816239316,0
1984,10180,8,2424090.6487179487,1091505.334920635,0
1984,10180,9,728658.9057471264,287563.2307692308,0
1984,10180,10,714168.7717948718,829700.5071428571,0
1984,10180,11,856981.2057471265,297993.6153846154,0
1984,10180,12,971973.7666666667,185924.9230769231,0
1984,10180,13,489217.23333333334,1058892.8444444444,0
1984,10180,14,744207.422230643,918097.7997557997,0
1984,10180,15,2097849.5019704434,1792737.8506105007,0
1984,10180,16,2173848.7927434635,532291.6743589743,0
1984,10180,17,2068583.416622458,1217034.2915750917,0
1984,10180,18,1960298.2649741063,998070.0476190477,0
1984,10180,19,1682890.2467727675,734602.2527472527,0
1984,10180,20,1746810.372413793,2258761.8788766786,0
1984,10180,21,2290219.6344322343,1033937.2606837607,0
1984,10180,22,1734094.2320070735,1556421.023076923,0
1984,10180,23,2979090.7100290516,2265967.7152625155,0
1984,10180,24,1516977.671567513,1192230.4516483517,0
1984,10180,25,3305793.902519894,2315340.8881562883,0
1984,10180,26,2061899.3063660478,1237659.7674603174,0
1984,10180,27,1462784.7999115826,408225.9,0
1984,10180,28,824377.5781609195,615131.580952381,0
1984,10180,29,410328.5384615385,1215271.1153846155,0
1984,10180,30,730956.6538461539,247381.5,0
1984,10180,31,625214.0549450549,631208.6886446886,0
1984,10180,32,788275.5575091576,452546.1153846154,0
1984,10180,33,829240.0384615385,210272.16666666666,0
1984,10180,34,224077.23076923078,140410.4,0
1984,10180,35,141838.7857142857,0,0
1984,10180,36,0,687867.021978022,0
1984,10180,37,0,185924.9230769231,0
1984,10180,42,346238,0,0
1984,10180,43,141838.7857142857,0,0
1984,10180,44,228219.5,0,0
1984,10180,45,0,138707.7142857143,0
1984,20510,2,2373665.1497381562,1262528.8818789055,0
1984,20510,3,38029509.65000776,30468342.643468786,0
1984,20510,4,17473193.104002707,15525435.26429257,0
1984,20510,5,9915335.018696452,11620361.08641473,0
1984,20510,6,6501525.467130989,5638755.686614529,0
1984,20510,7,11513786.0783449,7999183.700425718,0
1984,20510,8,974605.4638278388,1592727.1333333333,0
1984,20510,9,1454549.5213675213,284798.5,0
1984,20510,10,773876.6152597403,735081.7666666667,0
1984,20510,11,143723.07692307694,474163.85833333334,0
1984,20510,12,192111.14285714284,192290.25,0
1984,20510,13,153143,1448227.6904761905,0
1984,20510,14,312939.5054945055,270363.7380952381,0
1984,20510,15,415604.77777777775,249806.80000000002,0
1984,20510,16,169216.42857142855,0,0
