year,species_code,age,males,females,unsexed
1984,30050,4,15859,0,0
1984,30050,7,0,113742,0
1984,30050,8,1681859.1,1210378.3333333333,0
1984,30050,9,853877.8857142858,241184,0
1984,30050,10,432621.5714285714,264840.5,0
1984,30050,11,56988.75,186340.66666666666,0
1984,30050,12,352373,473174.0833333333,0
1984,30050,13,0,324750.6666666667,0
1984,30050,14,662598.1557017544,341287.5452380952,0
1984,30050,15,1720508.3883940622,699098.6476190476,0
1984,30050,16,1273644.6356468094,1765726.3825396826,0
1984,30050,17,564918.5271303258,732900.4976190476,0
1984,30050,18,467101.67493252363,439847.4428571428,0
1984,30050,19,252339.03571428568,135692.47857142857,0
1984,30050,20,117462.25,0,0
1984,30050,21,119247.41666666666,186809.5,0
1984,30050,22,119247.41666666666,149875.80000000002,0
1984,30050,23,231939.07236842107,132864.25,0
1984,30050,24,248541.44166666665,270610.35,0
1984,30050,25,880441.8640350878,0,0
1984,30050,26,532398.8685897436,306358.5,0
1984,30050,27,587037.0557017544,718440.6349206349,0
1984,30050,28,983006.4451754385,512980.22142857144,0
1984,30050,29,527136.9358974359,668764.8071428571,0
1984,30050,30,901174.1332658569,849256.8563492063,0
1984,30050,31,844829.0921052631,1219525.3063492063,0
1984,30050,32,303562.3364035088,652059.6277777778,0
1984,30050,33,403682.85,238340.75555555554,0
1984,30050,34,227991,188195.32142857142,0
1984,30050,35,344066.51923076925,61085.200000000004,0
1984,30050,36,0,301539.5833333334,0
1984,30050,37,77029.93333333333,141174.82857142857,0
1984,30050,38,125864.25,149875.80000000002,0
1984,30050,39,176473.14423076925,101715.20000000001,0
1984,30050,40,405653.9916666667,283929.7634920635,0
1984,30050,41,289768.9916666667,188612.7,0
1984,30050,42,77029.93333333333,61085.200000000004,0
1984,30050,45,18857.666666666664,0,0
1984,30050,46,0,33647.5,0
1984,30050,48,130311.5,0,0
1984,30050,49,36848.416666666664,61085.200000000004,0
1984,30050,50,100850.5,0,0
1984,30050,51,17990.75,238503.5777777778,0
