year,age,species_code,males,females,unsexed,region
1984,4,10200,4546745.666666666,1151286,0,E
1984,5,10200,3726616.333333333,1580144,0,E
1984,6,10200,1983079.6666666665,0,0,E
1984,7,10200,0,1243757.5,0,E
1984,8,10200,945911.6666666666,438209,0,E
1984,9,10200,945911.6666666666,1243757.5,0,E
1984,10,10200,0,2142540,0,E
1984,11,10200,0,1695806.5,0,E
1984,12,10200,0,652750.6666666666,0,E
1984,13,10200,0,652750.6666666666,0,E
1984,14,10200,0,933836,0,E
1984,15,10200,0,1323151.5,0,E
1984,16,10200,0,1325629,0,E
1984,17,10200,0,1039461.6666666666,0,E
1987,3,10200,1427691,0,0,E
1987,4,10200,3561593,0,0,E
1987,5,10200,4419644.333333333,0,0,E
1987,6,10200,1323211.85,3754499,0,E
1987,7,10200,6914651.633333333,304117.60000000003,0,E
1987,8,10200,2265140.1833333336,6624916.7,0,E
1987,9,10200,1244749,2228936,0,E
1987,10,10200,0,608235.2000000001,0,E
1987,11,10200,0,3790053.5,0,E
1987,12,10200,0,146216.3333333333,0,E
1987,13,10200,0,146216.3333333333,0,E
1987,17,10200,0,146216.3333333333,0,E
1987,24,10200,0,0,0,E
1990,6,10200,0,15581,0,E
1990,7,10200,0,99418.66666666667,0,E
1990,8,10200,0,70084.66666666667,0,E
1990,9,10200,0,9985.666666666666,0,E
1993,2,10200,0,13635,0,E
1996,1,10200,0,32586,0,E
1996,2,10200,889811,229048,0,E
1996,3,10200,847403,1267201,0,E
1996,4,10200,3951883,1374492.5,0,E
1996,5,10200,8768025,5637187.5,0,E
1996,6,10200,10860287,2291297,0,E
1996,7,10200,4768498,4672623,0,E
1996,8,10200,5450885,2675021,0,E
1996,9,10200,0,5233750,0,E
1996,10,10200,10372679.5,4266346.5,0,E
1996,11,10200,3545964.5,2785649,0,E
1996,12,10200,5367339,365031,0,E
1996,13,10200,1001674,1706440.5,0,E
1996,14,10200,0,191041,0,E
1996,15,10200,0,74640,0,E
1996,16,10200,0,9541,0,E
1996,17,10200,0,410041,0,E
1996,27,10200,0,9188,0,E
1999,2,10200,4446838,116520,0,E
1999,3,10200,2155706.5,4531745.5,0,E
1999,4,10200,11931912.333333332,3028638.833333333,0,E
1999,5,10200,8797511.166666666,12538493.5,0,E
1999,6,10200,7375614.166666666,625578.6666666666,0,E
1999,7,10200,7178245.333333333,3270014.333333333,0,E
1999,8,10200,0,3716411,0,E
1999,9,10200,2659938,8581800.5,0,E
1999,10,10200,3416116.1666666665,607432,0,E
1999,11,10200,0,625578.6666666666,0,E
1999,12,10200,2762636.333333333,1279875,0,E
1999,13,10200,723572,0,0,E
1999,14,10200,2371782,0,0,E
1999,17,10200,512156,0,0,E
2003,1,10200,564203,507160,136933,E
2003,2,10200,1122986,1111838.75,48128.05,E
2003,3,10200,8257147.833333333,5117791.616666666,194362.575,E
2003,4,10200,9362077.466666667,4196268.583333333,62051.75,E
2003,5,10200,3925452.5,11916187.8,21938.5,E
2003,6,10200,12459710.6,13286696.966666667,6766.125,E
2003,7,10200,12391119.5,9208956.466666667,0,E
2003,8,10200,9947424.6,2604342.75,0,E
2003,9,10200,7612444.5,4907954.333333333,0,E
2003,10,10200,1805780,1818013,0,E
2003,11,10200,5010936.25,2497902.25,0,E
2003,12,10200,2111958.25,4445961.05,0,E
2003,13,10200,4492461.25,2200180.8333333335,0,E
2003,14,10200,4427501.75,53618.666666666664,0,E
2003,15,10200,1466158,1357479.5833333333,0,E
2003,16,10200,948679.25,2801954.1333333333,0,E
2003,17,10200,2212060.25,1330360.9666666668,0,E
2003,18,10200,727852.5,1170318,0,E
2003,20,10200,293403.8333333333,457636.5,0,E
2003,21,10200,55452.33333333333,658382.75,0,E
2003,22,10200,55452.33333333333,1627060.5,0,E
2003,23,10200,0,53618.666666666664,0,E
2003,24,10200,0,89071.5,0,E
2003,33,10200,0,254688.3333333333,0,E
2005,2,10200,814380,389406.6666666666,0,E
2005,3,10200,3988923.2,2519401,0,E
2005,4,10200,2208918.05,2189023.8333333335,0,E
2005,5,10200,17195013.25,7968280.75,0,E
2005,6,10200,8627778.25,6370798.9,0,E
2005,7,10200,9181805.25,5188650.6,0,E
2005,8,10200,4375765.25,9013562.2,0,E
2005,9,10200,4752159,7057922.1,0,E
2005,10,10200,4221126.25,2829824.1,0,E
2005,11,10200,2701850.25,966249.5,0,E
2005,12,10200,2870543,390110,0,E
2005,13,10200,3334657.5,3602712.75,0,E
2005,14,10200,3434108.75,2308799.6,0,E
2005,15,10200,584049,1887606.75,0,E
2005,16,10200,3859173.25,494389.75,0,E
2005,17,10200,247235.5,864995.5,0,E
2005,18,10200,99073.25,94620.75,0,E
2005,19,10200,0,315106,0,E
2005,20,10200,1028750.25,0,0,E
2005,21,10200,1844551.25,32741,0,E
2005,22,10200,0,101254,0,E
2005,23,10200,0,0,0,E
2005,25,10200,0,101254,0,E
2005,26,10200,672074,295489.25,0,E
2005,27,10200,481222,0,0,E
2005,28,10200,33251,0,0,E
2005,31,10200,31926.5,0,0,E
2007,3,10200,207896,1688550.5,0,E
2007,4,10200,2125292,3135791,0,E
2007,5,10200,1038592.25,6810272.5,0,E
2007,6,10200,250890,670165.25,0,E
2007,7,10200,3355456.5,3091339.35,0,E
2007,8,10200,9191520.8,3636475.5,0,E
2007,9,10200,7154134.683333334,4336474.35,0,E
2007,10,10200,3080769.5,1763061.5,0,E
2007,11,10200,3296255.6,753052.25,0,E
2007,12,10200,0,1024890.3,0,E
2007,13,10200,491966.25,0,0,E
2007,14,10200,491966.25,0,0,E
2007,15,10200,2710402.25,497883.5,0,E
2007,16,10200,250890,0,0,E
2007,17,10200,878160,412684,0,E
2007,18,10200,878160,412684,0,E
2007,20,10200,491966.25,0,0,E
2007,21,10200,2214656,0,0,E
2007,22,10200,2415695.3333333335,412684,0,E
2007,23,10200,462916.3333333333,0,0,E
2009,2,10200,697918.6666666666,1395027.5,0,E
2009,3,10200,2733622.5,1582638.1666666665,0,E
2009,4,10200,3674471.6666666665,3733199.3333333335,0,E
2009,5,10200,4832795.5,2756029.283333333,0,E
2009,6,10200,10443830.833333334,7769988.1,0,E
2009,7,10200,3526249.8333333335,6193539.583333333,0,E
2009,8,10200,6859231,4018087.75,0,E
2009,9,10200,3549128,3607142,0,E
