year,species_code,length,males,females,unsexed
1984,10110,40,0,0,0
1987,10110,40,0,0,0
1990,10110,40,0,0,0
1993,10110,40,0,0,0
1996,10110,40,0,0,0
1999,10110,40,0,17000,0
2001,10110,40,0,49341,0
2003,10110,40,11474,0,0
2005,10110,40,0,0,0
2007,10110,40,31679,11186,0
2009,10110,40,34131,0,0
2011,10110,40,0,26334,0
2013,10110,40,49876,104295,0
2015,10110,40,0,0,0
2017,10110,40,0,0,0
2019,10110,40,0,0,0
2021,10110,40,0,0,0
1984,10110,50,0,0,0
1987,10110,50,0,0,0
1990,10110,50,0,0,0
1993,10110,50,0,0,0
1996,10110,50,0,33872,0
1999,10110,50,68792,19688,0
2001,10110,50,0,15308,0
2003,10110,50,0,62935,0
2005,10110,50,0,0,0
2007,10110,50,0,70463,0
2009,10110,50,0,13141,0
2011,10110,50,0,325063,0
2013,10110,50,0,20440,0
2015,10110,50,0,0,0
2017,10110,50,0,0,0
2019,10110,50,0,0,0
2021,10110,50,0,0,0
1984,10110,60,0,0,0
1987,10110,60,0,0,0
1990,10110,60,0,0,0
1993,10110,60,0,0,0
1996,10110,60,0,0,14059
1999,10110,60,0,0,0
2001,10110,60,0,0,0
2003,10110,60,0,38295,0
2005,10110,60,0,67007,0
2007,10110,60,0,20687,0
2009,10110,60,0,0,0
2011,10110,60,0,29967,0
2013,10110,60,0,0,0
2015,10110,60,0,234139,0
2017,10110,60,0,0,0
2019,10110,60,0,0,0
2021,10110,60,0,0,0
1984,10110,70,0,0,0
1987,10110,70,0,0,0
1990,10110,70,0,0,0
1993,10110,70,0,0,0
1996,10110,70,0,16662,7315
1999,10110,70,17640,0,0
2001,10110,70,0,0,0
2003,10110,70,0,0,0
2005,10110,70,0,0,0
2007,10110,70,0,92349,0
2009,10110,70,0,0,0
2011,10110,70,0,0,0
2013,10110,70,0,14284,0
2015,10110,70,11547,0,0
2017,10110,70,0,0,0
2019,10110,70,0,0,0
2021,10110,70,0,0,0
1984,10110,80,0,0,0
1987,10110,80,0,0,0
1990,10110,80,0,0,0
1993,10110,80,0,48696,0
1996,10110,80,30827,10201,0
1999,10110,80,125112,0,0
2001,10110,80,96547,0,0
2003,10110,80,0,0,0
2005,10110,80,17312,17312,80676
2007,10110,80,0,38642,0
2009,10110,80,27701,0,398207
2011,10110,80,0,0,37441
2013,10110,80,0,35244,0
2015,10110,80,8658,30300,0
2017,10110,80,130739,122323,0
2019,10110,80,31545,0,0
2021,10110,80,0,0,0
1984,10110,90,0,9149,0
1987,10110,90,0,0,0
1990,10110,90,0,0,48758
1993,10110,90,0,0,11550
1996,10110,90,0,13608,16864
1999,10110,90,69949,102164,108989
2001,10110,90,34959,63379,0
2003,10110,90,0,0,36128
2005,10110,90,58723,36304,180677
2007,10110,90,48056,292105,24474
2009,10110,90,69384,44942,260676
2011,10110,90,21309,38174,74882
2013,10110,90,26015,50314,0
2015,10110,90,0,0,13989
2017,10110,90,0,11381,15444
2019,10110,90,0,0,33391
2021,10110,90,0,0,0
1984,10110,100,112203,6142,0
1987,10110,100,0,0,0
1990,10110,100,10185,19180,48758
1993,10110,100,0,0,0
1996,10110,100,23018,23010,23010
1999,10110,100,295963,139858,260528
2001,10110,100,0,17782,0
2003,10110,100,90166,0,195841
2005,10110,100,228600,262568,290299
2007,10110,100,114469,30314,42579
2009,10110,100,185405,140525,870571
2011,10110,100,106399,15718,0
2013,10110,100,91810,64657,285743
2015,10110,100,26437,0,0
2017,10110,100,17321,25723,50812
2019,10110,100,58562,0,16696
2021,10110,100,0,0,0
1984,10110,110,96319,0,0
1987,10110,110,0,0,0
1990,10110,110,213072,52532,0
