year,species_code,length,males,females,unsexed
1984,30150,160,0,0,0
1987,30150,160,0,0,0
1990,30150,160,0,0,0
1993,30150,160,0,0,8509
1984,30150,170,0,0,0
1987,30150,170,31350,0,0
1990,30150,170,0,0,0
1993,30150,170,0,0,0
1984,30150,180,0,0,0
1987,30150,180,0,0,0
1990,30150,180,0,0,0
1993,30150,180,0,14164,0
1984,30150,190,0,0,0
1987,30150,190,17343,0,0
1990,30150,190,0,0,0
1993,30150,190,62035,25691,0
1984,30150,200,0,0,0
1987,30150,200,91007,0,0
1990,30150,200,0,0,0
1993,30150,200,62035,7583,0
1984,30150,210,0,0,0
1987,30150,210,31350,0,0
1990,30150,210,0,0,0
1993,30150,210,74900,0,0
1984,30150,220,0,0,0
1987,30150,220,31350,62700,0
1990,30150,220,64744,64744,0
1993,30150,220,25691,62035,0
1984,30150,230,0,0,0
1987,30150,230,62700,0,0
1990,30150,230,32371,32371,0
1993,30150,230,186106,62035,0
1984,30150,240,0,0,0
1987,30150,240,0,0,0
1990,30150,240,32371,0,0
1993,30150,240,253558,124071,0
1984,30150,250,0,0,0
1987,30150,250,31350,0,0
1990,30150,250,32371,64744,0
1993,30150,250,22134,80251,0
1984,30150,260,0,0,0
1987,30150,260,119315,0,0
1990,30150,260,0,0,0
1993,30150,260,407869,430704,0
1984,30150,270,0,0,0
1987,30150,270,0,0,0
1990,30150,270,64744,39259,0
1993,30150,270,682389,340287,0
1984,30150,280,35362,3176,0
1987,30150,280,0,0,0
1990,30150,280,32371,64744,0
1993,30150,280,887289,411554,0
1984,30150,290,10110,3387,0
1987,30150,290,17343,0,0
1990,30150,290,64744,40516,0
1993,30150,290,781093,381013,0
1984,30150,300,57565,25973,0
1987,30150,300,31350,80043,0
1990,30150,300,0,0,0
1993,30150,300,654620,1021682,0
1984,30150,310,129380,47659,0
1987,30150,310,31350,61065,0
1990,30150,310,8145,8145,0
1993,30150,310,1038165,1147178,0
1984,30150,320,191623,103776,0
1987,30150,320,239254,103410,0
1990,30150,320,78518,32371,0
1993,30150,320,1363412,1484447,0
1984,30150,330,72271,216298,0
1987,30150,330,22897,116102,0
1990,30150,330,5272,6521,0
1993,30150,330,1465095,956862,0
1984,30150,340,412063,314493,0
1987,30150,340,542343,867589,0
1990,30150,340,7980,33986,0
1993,30150,340,1332501,942411,0
1984,30150,350,373330,578470,21237
1987,30150,350,1893166,1236721,0
1990,30150,350,11281,0,0
1993,30150,350,1200826,1446849,0
1984,30150,360,482987,747034,0
1987,30150,360,2824125,2077586,0
1990,30150,360,23362,8145,0
1993,30150,360,1545338,1453735,0
1984,30150,370,503421,763074,63353
1987,30150,370,4374393,3110237,0
1990,30150,370,10321,51281,0
1993,30150,370,1058062,1086812,0
1984,30150,380,877831,856203,90675
1987,30150,380,2644515,4084980,0
1990,30150,380,36382,53915,0
1993,30150,380,1450960,1323631,0
1984,30150,390,1322054,1053595,280282
1987,30150,390,3393166,3010531,0
1990,30150,390,270788,38021,0
1993,30150,390,1370375,1532612,0
1984,30150,400,1040706,1187951,588729
1987,30150,400,4871387,3943210,0
1990,30150,400,145008,124395,0
1993,30150,400,1365965,1548254,0
1984,30150,410,1046931,1053148,609225
1987,30150,410,6201291,5247932,0
1990,30150,410,793074,445911,0
1993,30150,410,1104944,861941,0
1984,30150,420,652367,865023,600802
1987,30150,420,4513656,5198165,0
1990,30150,420,1048004,951363,0
1993,30150,420,1348898,1115862,0
1984,30150,430,358715,518193,366243
1987,30150,430,3913370,5141752,0
1990,30150,430,930535,918925,0
1993,30150,430,1914120,1524500,0
1984,30150,440,156078,296079,292441
1987,30150,440,1633493,3363178,0
1990,30150,440,844653,1587387,24837
1993,30150,440,1822540,1736677,0
1984,30150,450,86987,166862,189460
1987,30150,450,770572,1517094,0
1990,30150,450,687119,2124814,0
1993,30150,450,2037316,2030524,0
1984,30150,460,33818,97337,124130
1987,30150,460,390414,1142620,0
1990,30150,460,662233,1762621,0
1993,30150,460,1074139,2566945,0
1984,30150,470,25013,45094,66766
1987,30150,470,282981,485641,0
1990,30150,470,117308,980905,0
1993,30150,470,626444,1396110,0
1984,30150,480,0,53905,29481
1987,30150,480,146785,392624,0
1990,30150,480,111925,249802,0
