year,species_code,length,males,females,unsexed
1984,30050,80,0,0,0
1987,30050,80,0,0,0
1990,30050,80,0,0,0
1993,30050,80,0,0,0
1996,30050,80,0,0,0
1999,30050,80,0,20782,0
2001,30050,80,0,0,0
2003,30050,80,0,0,0
2005,30050,80,0,26646,0
2013,30050,80,0,0,25998
2017,30050,80,0,0,0
2019,30050,80,0,0,0
1984,30050,90,0,0,0
1987,30050,90,0,0,0
1990,30050,90,0,0,0
1993,30050,90,5691,0,0
1996,30050,90,0,0,0
1999,30050,90,0,0,18181
2001,30050,90,0,0,0
2003,30050,90,0,0,67151
2005,30050,90,0,0,44649
2013,30050,90,0,0,0
2017,30050,90,0,0,0
2019,30050,90,0,0,0
1984,30050,100,0,0,0
1987,30050,100,0,0,0
1990,30050,100,0,0,0
1993,30050,100,7173,0,3433
1996,30050,100,0,0,0
1999,30050,100,0,0,0
2001,30050,100,0,23285,0
2003,30050,100,36619,0,100182
2005,30050,100,0,0,20392
2013,30050,100,0,0,25998
2017,30050,100,0,0,0
2019,30050,100,0,0,0
1984,30050,110,4140,6729,0
1987,30050,110,0,0,0
1990,30050,110,0,0,0
1993,30050,110,27116,0,106339
1996,30050,110,14126,0,0
1999,30050,110,38491,35445,35034
2001,30050,110,0,0,0
2003,30050,110,145451,166797,440517
2005,30050,110,68449,35054,51218
2013,30050,110,0,0,0
2017,30050,110,0,0,0
2019,30050,110,0,0,0
1984,30050,120,15859,0,0
1987,30050,120,2011,7728,0
1990,30050,120,14751,0,0
1993,30050,120,82886,30066,35736
1996,30050,120,9729,35905,12404
1999,30050,120,63378,20216,53447
2001,30050,120,66065,202808,0
2003,30050,120,59587,109464,311995
2005,30050,120,193131,151696,0
2013,30050,120,0,0,0
2017,30050,120,0,0,0
2019,30050,120,0,0,0
1984,30050,130,7975,12396,3412
1987,30050,130,0,0,0
1990,30050,130,0,0,3879
1993,30050,130,120479,127642,179649
1996,30050,130,110852,10372,0
1999,30050,130,91701,56065,55549
2001,30050,130,279473,103455,0
2003,30050,130,208933,29148,260654
2005,30050,130,311175,177198,25770
2013,30050,130,0,0,0
2017,30050,130,0,0,0
2019,30050,130,0,0,0
1984,30050,140,15859,0,0
1987,30050,140,19508,0,54402
1990,30050,140,9405,37259,0
1993,30050,140,275147,100434,255866
1996,30050,140,95984,46859,0
1999,30050,140,72973,240585,36533
2001,30050,140,327823,247308,13683
2003,30050,140,190056,92682,73597
2005,30050,140,521251,454991,54410
2013,30050,140,0,0,0
2017,30050,140,0,0,0
2019,30050,140,0,0,0
1984,30050,150,6952,47269,0
1987,30050,150,98600,0,0
1990,30050,150,24515,62146,0
1993,30050,150,297573,91260,153444
1996,30050,150,25151,46223,0
1999,30050,150,262776,180373,18803
2001,30050,150,222194,282837,0
2003,30050,150,240190,81101,23204
2005,30050,150,396627,319391,0
2013,30050,150,0,0,0
2017,30050,150,0,0,0
2019,30050,150,0,0,0
1984,30050,160,23213,7051,9714
1987,30050,160,17425,36528,0
1990,30050,160,0,24203,0
1993,30050,160,256266,95304,263887
1996,30050,160,193792,104986,5184
1999,30050,160,268638,178949,0
2001,30050,160,220070,217732,39981
2003,30050,160,204068,318635,0
2005,30050,160,456547,606673,0
2013,30050,160,0,0,0
2017,30050,160,0,0,0
2019,30050,160,16241,0,0
1984,30050,170,14054,36406,13543
1987,30050,170,25053,63793,133061
1990,30050,170,11176,8775,0
1993,30050,170,172801,68379,203990
1996,30050,170,198119,97810,0
1999,30050,170,360302,399068,18803
2001,30050,170,253413,185043,0
2003,30050,170,294574,141840,0
2005,30050,170,769066,602507,0
2013,30050,170,25998,0,0
2017,30050,170,0,0,0
2019,30050,170,0,0,0
1984,30050,180,52192,38740,10184
1987,30050,180,119678,35023,133061
1990,30050,180,43630,99788,12888
1993,30050,180,223886,112510,151636
1996,30050,180,314068,135200,5184
1999,30050,180,452349,439270,19016
2001,30050,180,107015,84927,0
2003,30050,180,554473,259694,0
2005,30050,180,851738,827506,0
2013,30050,180,0,0,0
2017,30050,180,9446,0,0
2019,30050,180,18082,0,0
1984,30050,190,120803,14102,3412
1987,30050,190,143398,123672,133061
1990,30050,190,119242,136913,0
1993,30050,190,225849,131631,53637
1996,30050,190,426417,144973,0
1999,30050,190,667178,578560,0
2001,30050,190,245530,196982,0
2003,30050,190,420132,199682,0
2005,30050,190,1049997,835637,0
2013,30050,190,0,25998,0
2017,30050,190,0,0,0
2019,30050,190,36164,18082,0
1984,30050,200,67846,57366,13681
1987,30050,200,88337,96869,0
1990,30050,200,104512,122386,0
1993,30050,200,262817,123682,24628
1996,30050,200,347701,649661,0
1999,30050,200,782173,883880,0
2001,30050,200,175104,120224,0
2003,30050,200,564836,521975,0
2005,30050,200,548363,685864,0
2013,30050,200,0,0,0
2017,30050,200,0,0,0
2019,30050,200,18082,36164,0
1984,30050,210,12164,56010,25638
1987,30050,210,199152,89113,0
1990,30050,210,156097,175370,0
1993,30050,210,272860,224530,0
1996,30050,210,396303,354122,0
1999,30050,210,981581,899314,0
2001,30050,210,143006,297049,12614
2003,30050,210,816942,755057,0
2005,30050,210,613034,607188,10035
2013,30050,210,0,0,0
2017,30050,210,0,9446,0
2019,30050,210,0,0,0
1984,30050,220,73458,76440,27526
1987,30050,220,265485,246703,0
1990,30050,220,175138,157936,0
1993,30050,220,310576,122693,11517
1996,30050,220,613958,570425,0
1999,30050,220,860013,743577,20202
2001,30050,220,278154,378539,0
2003,30050,220,644245,636816,0
2005,30050,220,675786,586971,0
2013,30050,220,0,0,0
2017,30050,220,0,0,0
2019,30050,220,18082,0,0
1984,30050,230,192669,142303,44012
1987,30050,230,287707,284986,0
1990,30050,230,192715,197396,0
1993,30050,230,281526,287580,0
1996,30050,230,462323,694690,0
1999,30050,230,662144,665846,0
2001,30050,230,211223,337369,0
2003,30050,230,696750,579199,0
2005,30050,230,804949,609046,0
2013,30050,230,0,0,0
2017,30050,230,0,0,0
2019,30050,230,0,0,0
1984,30050,240,200633,155719,22352
1987,30050,240,173284,184818,133061
1990,30050,240,161072,321214,0
1993,30050,240,309124,201201,23900
1996,30050,240,633841,753534,0
1999,30050,240,568914,644352,0
2001,30050,240,363532,388802,0
2003,30050,240,761520,282345,0
2005,30050,240,755720,626121,0
2013,30050,240,0,0,0
2017,30050,240,0,37782,0
2019,30050,240,0,0,0
1984,30050,250,376236,113742,19363
1987,30050,250,255334,291524,0
1990,30050,250,253496,284162,0
1993,30050,250,379800,432342,11517
1996,30050,250,543063,553866,0
1999,30050,250,590706,562732,0
2001,30050,250,279135,378937,0
2003,30050,250,427391,456931,0
2005,30050,250,781781,642172,0
2013,30050,250,0,0,0
2017,30050,250,9446,9446,0
2019,30050,250,52405,36164,0
1984,30050,260,184865,291810,0
1987,30050,260,215853,227429,0
1990,30050,260,284125,212189,0
1993,30050,260,434880,423575,0
1996,30050,260,520884,716697,0
