year,species_code,ess,region,species_name,iss
2005,10262,ess_f,E,southern rock sole,0
2009,10262,ess_f,E,southern rock sole,0
2013,10262,ess_f,E,southern rock sole,12.173293609984654
2015,10262,ess_f,E,southern rock sole,0
2017,10262,ess_f,E,southern rock sole,13.112793513489205
2019,10262,ess_f,E,southern rock sole,0
2005,10262,ess_m,E,southern rock sole,0
2009,10262,ess_m,E,southern rock sole,23.140406002284465
2013,10262,ess_m,E,southern rock sole,0
2015,10262,ess_m,E,southern rock sole,0
2017,10262,ess_m,E,southern rock sole,0
2019,10262,ess_m,E,southern rock sole,0
2005,10262,ess_t,E,southern rock sole,0
2009,10262,ess_t,E,southern rock sole,0
2013,10262,ess_t,E,southern rock sole,18.297930434663268
2015,10262,ess_t,E,southern rock sole,0
2017,10262,ess_t,E,southern rock sole,17.023017445384113
2019,10262,ess_t,E,southern rock sole,13.971825715400758
2011,10261,ess_f,E,northern rock sole,0
2011,10261,ess_m,E,northern rock sole,18.680795484691387
2011,10261,ess_t,E,northern rock sole,0
1996,10261,ess_f,W,northern rock sole,0
1996,10262,ess_f,W,southern rock sole,15.434267904114185
1999,10261,ess_f,W,northern rock sole,27.703182171959636
1999,10262,ess_f,W,southern rock sole,36.442447441347355
2001,10261,ess_f,W,northern rock sole,51.124193251644066
2001,10262,ess_f,W,southern rock sole,41.4136910022217
2003,10261,ess_f,W,northern rock sole,40.674185445584264
2003,10262,ess_f,W,southern rock sole,55.98532801933827
2005,10261,ess_f,W,northern rock sole,33.74634308376159
2005,10262,ess_f,W,southern rock sole,0
2007,10261,ess_f,W,northern rock sole,32.992567738991106
2007,10262,ess_f,W,southern rock sole,41.831406662206966
2009,10261,ess_f,W,northern rock sole,37.49706253775752
2009,10262,ess_f,W,southern rock sole,0
2011,10261,ess_f,W,northern rock sole,0
2011,10262,ess_f,W,southern rock sole,26.041944352329423
2013,10261,ess_f,W,northern rock sole,24.15081243463011
2013,10262,ess_f,W,southern rock sole,12.173293609984654
2015,10261,ess_f,W,northern rock sole,35.21608492418681
2015,10262,ess_f,W,southern rock sole,0
2017,10261,ess_f,W,northern rock sole,39.94294525860677
2017,10262,ess_f,W,southern rock sole,13.112793513489205
2019,10262,ess_f,W,southern rock sole,0
1996,10261,ess_m,W,northern rock sole,0
1996,10262,ess_m,W,southern rock sole,6.331605999570667
1999,10261,ess_m,W,northern rock sole,18.95940601152415
1999,10262,ess_m,W,southern rock sole,14.677417177713037
2001,10261,ess_m,W,northern rock sole,39.24344001242613
2001,10262,ess_m,W,southern rock sole,26.15540858071298
2003,10261,ess_m,W,northern rock sole,23.845449753208307
2003,10262,ess_m,W,southern rock sole,35.44632638706516
2005,10261,ess_m,W,northern rock sole,19.519481896521494
2005,10262,ess_m,W,southern rock sole,0
2007,10261,ess_m,W,northern rock sole,18.134984979682333
2007,10262,ess_m,W,southern rock sole,27.31923612030673
2009,10261,ess_m,W,northern rock sole,28.663742844719753
2009,10262,ess_m,W,southern rock sole,23.140406002284465
2011,10261,ess_m,W,northern rock sole,18.680795484691387
2011,10262,ess_m,W,southern rock sole,14.764832859183876
2013,10261,ess_m,W,northern rock sole,17.094834084835604
2013,10262,ess_m,W,southern rock sole,0
2015,10261,ess_m,W,northern rock sole,25.27507063846296
2015,10262,ess_m,W,southern rock sole,0
2017,10261,ess_m,W,northern rock sole,19.825617658721416
2017,10262,ess_m,W,southern rock sole,0
2019,10262,ess_m,W,southern rock sole,0
1996,10261,ess_t,W,northern rock sole,0
1996,10262,ess_t,W,southern rock sole,23.04469463170726
1999,10261,ess_t,W,northern rock sole,40.614753333554006
1999,10262,ess_t,W,southern rock sole,53.74600424234074
2001,10261,ess_t,W,northern rock sole,79.45239353771397
2001,10262,ess_t,W,southern rock sole,65.84248951746319
2003,10261,ess_t,W,northern rock sole,55.72703363321064
2003,10262,ess_t,W,southern rock sole,80.3270545558164
2005,10261,ess_t,W,northern rock sole,49.02886935454177
2005,10262,ess_t,W,southern rock sole,0
2007,10261,ess_t,W,northern rock sole,44.62757357201613
2007,10262,ess_t,W,southern rock sole,63.63285588080398
2009,10261,ess_t,W,northern rock sole,51.04969754942718
2009,10262,ess_t,W,southern rock sole,0
2011,10261,ess_t,W,northern rock sole,0
2011,10262,ess_t,W,southern rock sole,36.938746520901724
