year,species_code,comp_type,iss,nss,hls
1990,10110,female,2797.1350733385525,37574,490
1993,10110,female,5712.009738153341,46558,629
1996,10110,female,5028.83747746766,38306,730
1999,10110,female,5242.4581241193855,36828,668
2001,10110,female,2858.2681429823065,24383,422
2003,10110,female,2281.5962682546583,49979,722
2005,10110,female,5370.247795228,45362,753
2007,10110,female,4653.003282870607,42763,704
2009,10110,female,2736.1357745127716,42695,748
2011,10110,female,2965.991163408726,31708,611
2013,10110,female,1918.6314166218597,19735,486
2015,10110,female,3480.618726208774,36822,673
2017,10110,female,2799.3085744404966,22427,491
2019,10110,female,4329.014895970791,24692,494
2021,10110,female,3387.5013176859807,23556,490
1990,21720,female,473.8402343452474,5772,275
1993,21720,female,650.878334724371,8570,435
1996,21720,female,381.40349672357996,6094,473
1999,21720,female,1087.543454868737,3882,376
2001,21720,female,551.7798517112218,3144,251
2003,21720,female,1043.8083693811375,4510,425
2005,21720,female,395.08824621140445,3492,420
2007,21720,female,320.1179166893968,4514,418
2009,21720,female,493.55337090506873,8636,512
2011,21720,female,496.19965085316096,5823,427
2013,21720,female,398.6557091373319,4863,350
2015,21720,female,1165.9570277960595,5536,463
2017,21720,female,445.0683790055958,1366,236
2019,21720,female,243.04589927360365,1869,280
2021,21720,female,720.9954880245457,2064,296
1990,21740,female,552.4658794983868,20053,302
1993,21740,female,671.1475708839693,18848,430
1996,21740,female,346.72334002118515,19555,576
1999,21740,female,529.5721393488446,11314,496
2001,21740,female,82.33726777682469,10281,258
2003,21740,female,876.1612306286672,12706,433
2005,21740,female,879.2539482980292,10782,427
2007,21740,female,357.7848372650143,11527,463
2009,21740,female,443.64925539018316,14697,498
2011,21740,female,443.1063312846221,13832,442
2013,21740,female,171.16998646001593,16680,398
2015,21740,female,451.3036138879811,15296,530
2017,21740,female,73.5119111065796,6304,338
2019,21740,female,434.8678753863927,8726,387
2021,21740,female,417.4747263496472,12251,381
1990,30060,female,136.20405708757838,5718,149
1993,30060,female,235.68331691514996,7976,208
1996,30060,female,218.74247671287102,10141,274
1999,30060,female,137.96269733495762,5506,249
2001,30060,female,66.44469972978297,4053,159
2003,30060,female,373.56611635546903,8203,265
2005,30060,female,494.7299946806951,11795,331
2007,30060,female,420.1697185126192,10139,282
2009,30060,female,490.91388958093233,10904,331
2011,30060,female,281.04843216382363,8674,272
2013,30060,female,409.41634124740983,8469,214
2015,30060,female,491.90453061226765,11735,297
2017,30060,female,281.1893421026881,9746,255
2019,30060,female,658.9053704743577,12681,286
2021,30060,female,273.95868046773114,10546,258
1990,30420,female,65.47496770120546,1334,46
1993,30420,female,92.84774168775071,2132,91
1996,30420,female,70.6111517422776,2183,105
1999,30420,female,74.98855045202097,1435,82
2001,30420,female,85.18689974136184,1887,80
2003,30420,female,147.21726299844508,1554,95
2005,30420,female,11.16708933842573,2452,122
2007,30420,female,221.88393488455088,2518,109
2009,30420,female,159.67884864873346,1262,98
2011,30420,female,147.79583692526785,1284,80
2013,30420,female,82.16344779389765,1788,71
2015,30420,female,169.24990308692716,1345,70
2017,30420,female,92.95001887485698,1410,81
2019,30420,female,119.89724374314191,1386,68
2021,30420,female,152.69318224999762,884,60
1990,10130,female,1118.3065543388084,12939,285
1993,10130,female,1143.3113520087502,13509,361
1996,10130,female,1753.3345595167607,11086,388
1999,10130,female,1526.7128674059923,7941,346
2001,10130,female,1270.8705994050356,5962,227
2003,10130,female,2327.4006979082524,13279,407
2005,10130,female,2388.0834420067886,12501,381
2007,10130,female,2061.526459917803,13563,385
2009,10130,female,1006.8059438203551,10304,433
2011,10130,female,879.3557975578697,9290,354
2013,10130,female,1557.552785618038,8072,281
2015,10130,female,2135.6588416787904,11125,387
2017,10130,female,1253.7075632973535,7805,292
2019,10130,female,953.7856372953366,6567,307
2021,10130,female,1285.9524146242372,7234,300
1990,20510,female,206.53053474261927,2079,145
1993,20510,female,221.39190205201464,2873,236
1996,20510,female,367.421027922691,1912,300
1999,20510,female,608.3790980862076,2223,329
2001,20510,female,252.3724156637592,1681,159
2003,20510,female,505.37758173322015,2509,291
2005,20510,female,517.7107140565728,2361,306
2007,20510,female,624.4112701984726,2019,264
2009,20510,female,301.7231197244215,1852,259
2011,20510,female,350.5666798677696,976,186
2013,20510,female,199.8533191329213,537,110
2015,20510,female,327.28295763246257,1722,240
2017,20510,female,187.80180223617154,2124,260
2019,20510,female,1159.412855938363,4354,300
2021,20510,female,971.3743686990783,4302,290
1990,10180,female,583.1436197721354,4034,194
1993,10180,female,1129.3629247439742,4866,306
1996,10180,female,1023.2930679903615,3239,373
1999,10180,female,978.0796405954428,2573,319
2001,10180,female,363.8531380217963,965,161
2003,10180,female,437.3190500663898,2893,326
2005,10180,female,906.0553640601925,2981,378
2007,10180,female,659.3754768333179,2450,373
2009,10180,female,850.2338096052611,2633,360
2011,10180,female,681.0398846778008,1988,268
2013,10180,female,403.593114074615,1470,197
2015,10180,female,453.14507685195684,1749,297
2017,10180,female,382.57646998143235,1277,197
2019,10180,female,421.4464802380905,1344,226
2021,10180,female,474.15341014261105,1509,230
1990,10110,male,1696.6712619510033,16829,485
1993,10110,male,2393.9097181625734,19311,609
1996,10110,male,2131.0974017431254,17822,690
1999,10110,male,2775.5349353889474,16653,641
2001,10110,male,1348.3227100548886,10357,394
2003,10110,male,1119.1448172636096,22878,696
2005,10110,male,2382.1279580018,19647,717
2007,10110,male,2039.8769207525982,19891,663
2009,10110,male,1486.9806635590508,19959,691
2011,10110,male,1679.0197284035223,15626,561
2013,10110,male,1162.711189113965,10870,425
2015,10110,male,1504.84425519955,20605,633
2017,10110,male,1479.4550958135992,12740,450
2019,10110,male,2620.606504504529,13923,479
2021,10110,male,1956.3415856695597,12863,453
1990,21720,male,422.9487699500217,5535,274
1993,21720,male,610.3385623241419,8414,433
1996,21720,male,189.25441706867474,5888,462
1999,21720,male,998.5674766077188,3928,356
2001,21720,male,519.815912218798,3227,246
2003,21720,male,1167.2360044360446,4527,430
2005,21720,male,435.15904126142357,3330,402
2007,21720,male,356.8963863235646,4521,414
2009,21720,male,471.10751470214575,8572,502
2011,21720,male,579.0013662824572,6030,412
2013,21720,male,337.01576118975237,5199,335
2015,21720,male,1209.7984058144405,5504,450
2017,21720,male,378.08852250014286,1231,217
2019,21720,male,263.71310703978696,1853,257
2021,21720,male,642.0414273553163,1935,272
1990,21740,male,376.7569074449456,15014,302
1993,21740,male,497.2649628302743,14675,427
1996,21740,male,259.1188639859143,17698,572
1999,21740,male,231.98164911132812,10808,466
2001,21740,male,86.50776218484428,9135,232
2003,21740,male,758.7325796564244,10561,435
2005,21740,male,723.8419464104194,9041,407
2007,21740,male,336.19979910531,9916,458
2009,21740,male,337.7692441889768,13084,467
2011,21740,male,352.04895926518753,11852,435
2013,21740,male,157.15237875484604,14941,388
2015,21740,male,376.39898734437463,12258,517
