year,species_code,ess,region,species_name,iss
1996,10262,ess_f,E,southern rock sole,46.27652896462036
1999,10262,ess_f,E,southern rock sole,98.87204949463064
2003,10262,ess_f,E,southern rock sole,96.6098712757249
2005,10262,ess_f,E,southern rock sole,99.25299193705244
2007,10262,ess_f,E,southern rock sole,96.87008878916359
2009,10262,ess_f,E,southern rock sole,47.54420465706982
2011,10262,ess_f,E,southern rock sole,56.88301321650544
2013,10262,ess_f,E,southern rock sole,45.176251814085454
2015,10262,ess_f,E,southern rock sole,52.91615694442888
2017,10262,ess_f,E,southern rock sole,44.56660074514548
2019,10262,ess_f,E,southern rock sole,43.49301014349191
2021,10262,ess_f,E,southern rock sole,55.57316739585757
1996,10262,ess_m,E,southern rock sole,17.961663702477775
1999,10262,ess_m,E,southern rock sole,35.762362202597224
2003,10262,ess_m,E,southern rock sole,39.369220140771866
2005,10262,ess_m,E,southern rock sole,43.11668363176711
2007,10262,ess_m,E,southern rock sole,37.92330832011503
2009,10262,ess_m,E,southern rock sole,23.80504613441855
2011,10262,ess_m,E,southern rock sole,19.36761858593653
2013,10262,ess_m,E,southern rock sole,0
2015,10262,ess_m,E,southern rock sole,24.48835955027641
2017,10262,ess_m,E,southern rock sole,25.77587457117666
2019,10262,ess_m,E,southern rock sole,20.81273943022313
2021,10262,ess_m,E,southern rock sole,19.59472661461098
1996,10262,ess_t,E,southern rock sole,67.32138317394627
1999,10262,ess_t,E,southern rock sole,126.24926450299148
2003,10262,ess_t,E,southern rock sole,132.30704648945493
2005,10262,ess_t,E,southern rock sole,127.99956471624841
2007,10262,ess_t,E,southern rock sole,119.65231317377402
2009,10262,ess_t,E,southern rock sole,64.4845345207988
2011,10262,ess_t,E,southern rock sole,75.25739279468068
2013,10262,ess_t,E,southern rock sole,74.88293866176522
2015,10262,ess_t,E,southern rock sole,74.72689769700355
2017,10262,ess_t,E,southern rock sole,67.38974196767897
2019,10262,ess_t,E,southern rock sole,62.913391487654025
2021,10262,ess_t,E,southern rock sole,74.99407310644767
1996,10261,ess_f,W,northern rock sole,181.89893045450202
1999,10261,ess_f,W,northern rock sole,134.84792245568798
