year,species_code,age,males,females,unsexed
1984,30150,7,438679.40909090906,794376.5714285714,0
1984,30150,8,1818706.0207792209,2841468.4785714285,0
1984,30150,9,728383.4086580087,1167975.937878788,0
1984,30150,10,1466850.120995671,866713.6295454545,0
1984,30150,11,1458754.4333333333,916203.9916666667,0
1984,30150,12,873133.0833333334,1116030.606818182,0
1984,30150,13,416916.2380952381,435261.6818181818,0
1984,30150,14,78039,108127.875,0
1984,30150,15,235659.2857142857,425958.5,0
1984,30150,16,0,95740.72727272728,0
1984,30150,20,25013,0,0
1984,30150,28,0,12510,0
1984,30150,32,0,17968.333333333332,0
1984,30150,35,0,17968.333333333332,0
1984,30150,38,12510,0,0
1984,30150,41,0,45094,0
1984,30150,43,0,17968.333333333332,0
1987,30150,4,0,0,0
1987,30150,5,0,0,0
1987,30150,7,7363185.9,7313487.995604396,0
1987,30150,8,112841.40000000001,140490.94594594595,0
1987,30150,9,2548418.3264705883,1074363.0259459459,0
1987,30150,10,6867131.071980453,5032141.088838069,0
1987,30150,11,7634421.491865335,8645229.923952084,0
1987,30150,12,3521098.734225916,4788888.173818434,0
1987,30150,13,1200509.3281683833,3175249.9306953107,0
1987,30150,14,741673.2498432602,1861783.678082698,0
1987,30150,15,1652439.985977714,1673250.403003003,0
1987,30150,16,787325.6528437079,316081.7,0
1987,30150,17,874133.2680250783,1208892.5234920634,0
1987,30150,18,247785.19310344825,656074,0
1987,30150,19,697866.988961039,716552.1918918919,0
1987,30150,20,409228.3382352941,331846.44444444444,0
1987,30150,21,368958.88823529414,677349.28,0
1987,30150,22,0,120113.5,0
1987,30150,24,0,334849.98,0
1987,30150,25,0,159460.07142857142,0
1987,30150,26,0,115201.27142857143,0
1987,30150,27,225682.80000000002,49078,0
1987,30150,28,70745.25,0,0
1987,30150,29,112841.40000000001,151709.4,0
1987,30150,30,242131.93896103898,0,0
1987,30150,31,1893166,0,0
1987,30150,33,0,19673.285714285714,0
1987,30150,34,0,120113.5,0
1987,30150,38,0,75854.7,0
1987,30150,41,0,75854.7,0
1987,30150,43,134943.79310344826,0,0
1987,30150,49,0,19673.285714285714,0
1990,30150,3,0,0,0
1990,30150,4,64743,48557.5,0
1990,30150,5,32372,48557.5,0
1990,30150,6,0,39259,0
1990,30150,7,15353.5,0,0
1990,30150,8,11859.833333333332,5430,0
1990,30150,9,7787.333333333333,92746,0
1990,30150,10,451593.6976190476,1289168.7344877345,0
1990,30150,11,594893.1333333333,1436082.4233766233,0
1990,30150,12,662423.8976190476,632232.1492063493,0
1990,30150,13,458726.7642857143,1253688.3939393938,0
1990,30150,14,514681.68095238094,2073295.4535353535,0
1990,30150,15,943814.7833333333,1154536.3202020202,0
