year,length,species_code,males,females,unsexed,region
1984,60,10200,0,0,0,E
1984,70,10200,0,0,5630,E
1984,80,10200,0,0,14825,E
1984,90,10200,0,0,0,E
1984,100,10200,0,0,11621,E
1984,110,10200,0,0,0,E
1984,120,10200,0,0,0,E
1984,130,10200,6810,0,0,E
1984,140,10200,0,0,0,E
1984,150,10200,0,0,11621,E
1984,160,10200,6725,0,0,E
1984,170,10200,0,0,0,E
1984,180,10200,13906,0,6815,E
1984,190,10200,69992,0,4961,E
1984,200,10200,100456,0,10228,E
1984,210,10200,73011,40845,1386,E
1984,220,10200,70135,18871,21990,E
1984,230,10200,253307,98292,69205,E
1984,240,10200,198545,70475,166765,E
1984,250,10200,715032,462182,160785,E
1984,260,10200,1180070,689104,427469,E
1984,270,10200,2334562,913730,686423,E
1984,280,10200,1711121,859011,1030402,E
1984,290,10200,1810301,1543310,1470784,E
1984,300,10200,2074336,1580144,1741675,E
1984,310,10200,1665886,1597513,1544107,E
1984,320,10200,2837735,2487515,1859389,E
1984,330,10200,1911261,1769885,1790647,E
1984,340,10200,1075930,1566216,1581435,E
1984,350,10200,923792,2515195,1407994,E
1984,360,10200,555831,1958252,1073389,E
1984,370,10200,212676,2191045,649494,E
1984,380,10200,143727,933836,406203,E
1984,390,10200,107843,449211,205314,E
1984,400,10200,3807,322815,49940,E
1984,410,10200,0,310879,30011,E
1984,420,10200,0,386711,17637,E
1984,430,10200,0,0,5668,E
1984,440,10200,0,0,5668,E
1984,450,10200,0,0,1372,E
1984,460,10200,6768,24542,1381,E
1984,470,10200,0,0,0,E
1984,480,10200,0,0,0,E
1984,490,10200,0,0,0,E
1984,500,10200,13535,0,0,E
1984,510,10200,6768,0,0,E
1984,520,10200,0,0,0,E
1984,530,10200,13535,0,0,E
1984,540,10200,6768,0,0,E
1984,550,10200,13535,0,0,E
1987,60,10200,0,0,0,E
1987,70,10200,0,0,0,E
1987,80,10200,0,0,0,E
1987,90,10200,0,0,0,E
1987,100,10200,0,0,0,E
1987,110,10200,0,0,0,E
1987,120,10200,0,0,0,E
1987,130,10200,0,0,0,E
1987,140,10200,0,0,0,E
1987,150,10200,0,0,0,E
1987,160,10200,50975,0,0,E
1987,170,10200,50975,0,0,E
1987,180,10200,0,0,0,E
1987,190,10200,482342,19040,0,E
