year,age,species_code,males,females,unsexed,region
2005,3,10262,0,405245,0,E
2005,4,10262,1286710,1198361,0,E
2005,5,10262,2015521,371384,0,E
2005,6,10262,1018585,2890901.6666666665,0,E
2005,7,10262,183474,2583013,0,E
2005,8,10262,0,1101203.3333333333,0,E
2005,10,10262,0,509360,0,E
2005,11,10262,0,513547,0,E
2005,12,10262,340459,442849,0,E
2005,13,10262,0,442849,0,E
2005,14,10262,0,615366,0,E
2005,15,10262,0,0,0,E
2005,19,10262,0,34984,0,E
2009,7,10262,278353,0,0,E
2009,11,10262,0,175251,0,E
2009,14,10262,0,253006,0,E
2011,3,10261,0,79820,0,E
2011,6,10261,0,119730,0,E
2013,3,10262,320046,209638.66666666666,0,E
2013,4,10262,1563996,837808.3333333333,0,E
2013,5,10262,1634630,1837660.5,0,E
2013,6,10262,268686,363165.5,0,E
2013,7,10262,799583.5,107542.5,0,E
2013,8,10262,375676.5,412171.1666666666,0,E
2013,9,10262,0,617381,0,E
2013,10,10262,0,453959.3333333333,0,E
2013,11,10262,55557,0,0,E
2013,12,10262,0,161944,0,E
2013,13,10262,0,172228,0,E
2013,14,10262,159826,235986,0,E
2015,2,10262,175953,48963,0,E
2015,3,10262,0,484469,0,E
2015,5,10262,0,411022,0,E
2015,6,10262,0,623879,0,E
2015,7,10262,167406,560388,0,E
2015,8,10262,0,237733,0,E
2015,9,10262,0,1179022,0,E
2015,13,10262,0,195134,0,E
2015,18,10262,0,210230,0,E
2015,21,10262,0,180327,0,E
2017,3,10262,845681.6666666666,0,0,E
2017,4,10262,2249734.083333333,2589784.6666666665,0,E
2017,5,10262,816364.1666666666,2564228.1666666665,0,E
2017,6,10262,1268587.3333333333,1724645,0,E
2017,7,10262,1208329.6666666665,2189225.783333333,0,E
2017,8,10262,780485.0833333333,3430642.933333333,0,E
2017,9,10262,1370209.0833333333,581694.75,0,E
2017,10,10262,473675.5,307426.6666666667,0,E
2017,11,10262,277875.75,297520.85,0,E
2017,12,10262,70509.66666666666,354618.6666666667,0,E
2017,13,10262,0,518262,0,E
2017,14,10262,0,298751.25,0,E
2017,15,10262,0,131495.6,0,E
2017,16,10262,0,130249,0,E
2017,18,10262,0,134965,0,E
2017,19,10262,0,56684,0,E
2017,20,10262,0,404084,0,E
2017,21,10262,0,48295.666666666664,0,E
2017,22,10262,0,163094,0,E
2019,2,10262,39967,0,0,E
2019,3,10262,317107,0,0,E
2019,4,10262,378461,0,0,E
2019,5,10262,408799.75,90754.5,0,E
2019,6,10262,0,1533069.3333333333,0,E
2019,7,10262,489956.75,90754.5,0,E
2019,8,10262,127075.75,794028,0,E
2019,10,10262,127075.75,303917.6666666666,0,E
2019,11,10262,0,662920,0,E
2019,13,10262,12824,133540,0,E
1996,3,10261,5268390.166666666,833005.5,0,W
1996,3,10262,0,71210,0,W
1996,4,10261,11187802.5,4104547.5,0,W
1996,4,10262,488541,421073.6666666666,0,W
1996,5,10261,31117736.666666668,16964976.166666668,0,W
1996,5,10262,2024401,1327306.3333333333,0,W
