year,length,species_code,males,females,unsexed,region
1996,100,10262,36493,0,0,E
1996,130,10262,0,0,0,E
1996,140,10262,0,0,0,E
1996,150,10262,0,0,0,E
1996,160,10262,0,16897,0,E
1996,170,10262,0,0,0,E
1996,180,10262,16897,70001,0,E
1996,190,10262,142045,172031,0,E
1996,200,10262,119523,117800,0,E
1996,210,10262,41846,49194,0,E
1996,220,10262,84293,153030,0,E
1996,230,10262,64880,299891,0,E
1996,240,10262,217944,139500,0,E
1996,250,10262,8338,207108,0,E
1996,260,10262,200140,179379,0,E
1996,270,10262,99164,278886,0,E
1996,280,10262,129735,241815,0,E
1996,290,10262,75977,324130,0,E
1996,300,10262,101548,189523,0,E
1996,310,10262,26226,356129,0,E
1996,320,10262,7523,444583,0,E
1996,330,10262,115009,394798,0,E
1996,340,10262,33574,289718,0,E
1996,350,10262,22576,244847,0,E
1996,360,10262,21578,292876,0,E
1996,370,10262,29833,254259,0,E
1996,380,10262,18323,121079,0,E
1996,390,10262,29833,346952,0,E
1996,400,10262,0,210453,0,E
1996,410,10262,0,248789,0,E
1996,420,10262,0,104941,0,E
1996,430,10262,0,201880,0,E
1996,440,10262,0,128922,0,E
1996,450,10262,0,29833,0,E
1996,460,10262,0,7115,0,E
1996,470,10262,0,7115,0,E
1996,480,10262,0,7115,0,E
1996,490,10262,0,8222,0,E
1996,500,10262,0,0,0,E
1996,510,10262,0,7115,0,E
1996,520,10262,0,0,0,E
1996,530,10262,0,0,0,E
1996,540,10262,0,0,0,E
1996,550,10262,0,0,0,E
1996,570,10262,0,0,0,E
1999,100,10262,0,0,0,E
1999,130,10262,0,0,0,E
1999,140,10262,17640,0,0,E
1999,150,10262,18703,0,0,E
1999,160,10262,84458,0,0,E
1999,170,10262,20289,18703,0,E
1999,180,10262,17640,106901,0,E
1999,190,10262,71622,52323,0,E
1999,200,10262,47777,53924,0,E
1999,210,10262,110715,19546,0,E
1999,220,10261,0,0,0,E
1999,220,10262,138349,97209,0,E
1999,230,10261,0,0,0,E
1999,230,10262,256020,73676,0,E
1999,240,10261,0,0,0,E
1999,240,10262,258189,224811,0,E
1999,250,10262,138335,102468,17516,E
1999,260,10261,0,0,0,E
1999,260,10262,97351,169629,0,E
1999,270,10262,210942,198057,0,E
1999,280,10262,176101,216449,0,E
1999,290,10261,0,0,0,E
1999,290,10262,142586,240683,0,E
