year,species_code,species_name,surv,type,iss
1984,10180,Dover sole,GOA,female,57.01508884383223
1984,20510,sablefish,GOA,female,74.86520065015208
1984,21740,walleye pollock,GOA,female,318.7518831079062
1984,30050,REBS rockfish complex,GOA,female,51.60743571116334
1984,30060,Pacific ocean perch,GOA,female,89.2790682591153
1984,30150,Dusky rockfish,GOA,female,25.852028709910662
1984,30420,northern rockfish,GOA,female,44.3699471841509
1987,10110,arrowtooth flounder,GOA,female,304.18999141094184
1987,10130,flathead sole,GOA,female,170.07090851988488
1987,10180,Dover sole,GOA,female,69.1162750519328
1987,21740,walleye pollock,GOA,female,68.63681328880119
1987,30050,REBS rockfish complex,GOA,female,47.06209438388781
1987,30060,Pacific ocean perch,GOA,female,132.7524965715558
1987,30150,Dusky rockfish,GOA,female,NA
1987,30420,northern rockfish,GOA,female,75.64110953530884
1990,10110,arrowtooth flounder,GOA,female,89.51076891259333
1990,10130,flathead sole,GOA,female,34.30456968971314
1990,10180,Dover sole,GOA,female,43.43092546896313
1990,21720,Pacific cod,GOA,female,73.452246017066
1990,21740,walleye pollock,GOA,female,97.4395077153767
1990,30050,REBS rockfish complex,GOA,female,38.137159878023674
1990,30060,Pacific ocean perch,GOA,female,105.09574143758853
1990,30420,northern rockfish,GOA,female,39.34844395198764
1993,10110,arrowtooth flounder,GOA,female,241.89460176601236
1993,10130,flathead sole,GOA,female,61.84476978515532
1993,10180,Dover sole,GOA,female,51.445959833271004
1993,21720,Pacific cod,GOA,female,118.25386894748017
1993,21740,walleye pollock,GOA,female,168.58201607102365
1993,30050,REBS rockfish complex,GOA,female,104.13304831724874
1993,30060,Pacific ocean perch,GOA,female,140.16614361222767
1993,30150,Dusky rockfish,GOA,female,39.9814565062701
1993,30420,northern rockfish,GOA,female,21.76154975153462
1996,10110,arrowtooth flounder,GOA,female,188.8580769049071
1996,10130,flathead sole,GOA,female,100.27247216051366
1996,10180,Dover sole,GOA,female,86.62222190901538
1996,20510,sablefish,GOA,female,69.1015945809316
1996,21720,Pacific cod,GOA,female,56.378595382912245
1996,21740,walleye pollock,GOA,female,86.73530752789743
1996,30050,REBS rockfish complex,GOA,female,113.2448106112458
1996,30060,Pacific ocean perch,GOA,female,69.42497550470597
1996,30150,Dusky rockfish,GOA,female,63.94880485898713
1996,30420,northern rockfish,GOA,female,58.60936497860638
1999,10110,arrowtooth flounder,GOA,female,248.88284620491083
1999,10130,flathead sole,GOA,female,113.6250344580775
1999,10180,Dover sole,GOA,female,73.09482608158305
1999,20510,sablefish,GOA,female,62.29115394208219
1999,21720,Pacific cod,GOA,female,133.37938046428346
1999,21740,walleye pollock,GOA,female,111.22864319640418
1999,30050,REBS rockfish complex,GOA,female,107.95275930425068
1999,30060,Pacific ocean perch,GOA,female,71.24572224695655
1999,30150,Dusky rockfish,GOA,female,29.498149836445336
1999,30420,northern rockfish,GOA,female,30.93967669704467
2001,10110,arrowtooth flounder,GOA,female,372.9776238590569
2001,10130,flathead sole,GOA,female,152.95320956269805
2001,10180,Dover sole,GOA,female,119.39778433740963
2001,21720,Pacific cod,GOA,female,104.78371854807142
2001,21740,walleye pollock,GOA,female,37.59489735804384
2001,30150,Dusky rockfish,GOA,female,85.59534513296859
2001,30420,northern rockfish,GOA,female,54.9096513063571
2003,10110,arrowtooth flounder,GOA,female,203.82481840942478
2003,10130,flathead sole,GOA,female,97.3369170189478
2003,10180,Dover sole,GOA,female,113.16828253070125
2003,21720,Pacific cod,GOA,female,136.09045102884164
2003,21740,walleye pollock,GOA,female,159.9560826827475
2003,30050,REBS rockfish complex,GOA,female,90.30063600748444
2003,30060,Pacific ocean perch,GOA,female,161.43364453776599
2003,30150,Dusky rockfish,GOA,female,7.8744822406262545
2003,30420,northern rockfish,GOA,female,13.701181930077421
2005,10110,arrowtooth flounder,GOA,female,184.4402134665539
2005,10130,flathead sole,GOA,female,101.54098695732417
2005,10180,Dover sole,GOA,female,122.33506638931313
2005,21720,Pacific cod,GOA,female,60.436682514810684
2005,21740,walleye pollock,GOA,female,184.949515713287
2005,30050,REBS rockfish complex,GOA,female,89.38700328713023
2005,30060,Pacific ocean perch,GOA,female,167.5266043015046
2005,30150,Dusky rockfish,GOA,female,59.996329172878205
2005,30420,northern rockfish,GOA,female,40.50245036636015
2007,10110,arrowtooth flounder,GOA,female,183.5970899900741
2007,10130,flathead sole,GOA,female,162.5852578893449
2007,10180,Dover sole,GOA,female,85.27235528768287
2007,21720,Pacific cod,GOA,female,33.29943036930779
2007,21740,walleye pollock,GOA,female,80.7354816198925
2007,30050,REBS rockfish complex,GOA,female,87.77183681309155
2007,30060,Pacific ocean perch,GOA,female,186.28059239990384
2007,30150,Dusky rockfish,GOA,female,71.45120778301666
2007,30420,northern rockfish,GOA,female,118.34907939393287
2009,10110,arrowtooth flounder,GOA,female,194.54331100555734
2009,10130,flathead sole,GOA,female,142.77133669203005
2009,10180,Dover sole,GOA,female,120.33782500591856
2009,21720,Pacific cod,GOA,female,78.69984541333709
2009,21740,walleye pollock,GOA,female,102.77424966052136
2009,30050,REBS rockfish complex,GOA,female,149.75120323284952
2009,30060,Pacific ocean perch,GOA,female,58.486064754251025
2009,30150,Dusky rockfish,GOA,female,79.12784186961802
2009,30420,northern rockfish,GOA,female,118.0520291351319
2011,10110,arrowtooth flounder,GOA,female,187.80612806805834
2011,10130,flathead sole,GOA,female,122.30617759703543
2011,10180,Dover sole,GOA,female,104.06566480548808
2011,21720,Pacific cod,GOA,female,92.71694598364603
2011,21740,walleye pollock,GOA,female,111.99905960974515
2011,30050,REBS rockfish complex,GOA,female,66.31247737578906
2011,30060,Pacific ocean perch,GOA,female,110.59155221401357
2011,30150,Dusky rockfish,GOA,female,83.0338512429651
2011,30420,northern rockfish,GOA,female,76.95276655526133
2013,10110,arrowtooth flounder,GOA,female,176.9769649810894
2013,10130,flathead sole,GOA,female,111.44927592487048
2013,10180,Dover sole,GOA,female,82.41075348399934
2013,21720,Pacific cod,GOA,female,73.76036516554646
2013,21740,walleye pollock,GOA,female,65.73207766820269
2013,30050,REBS rockfish complex,GOA,female,151.00386384768188
2013,30060,Pacific ocean perch,GOA,female,159.6359179135087
2013,30150,Dusky rockfish,GOA,female,75.50680692157778
2013,30420,northern rockfish,GOA,female,93.29271871415378
2015,10110,arrowtooth flounder,GOA,female,152.9033714340711
2015,10130,flathead sole,GOA,female,185.1445372433958
2015,10180,Dover sole,GOA,female,99.17882515882701
2015,21720,Pacific cod,GOA,female,105.42032141151721
2015,21740,walleye pollock,GOA,female,97.63008944286159
2015,30050,REBS rockfish complex,GOA,female,83.64333506529617
2015,30060,Pacific ocean perch,GOA,female,133.22515635504118
2015,30150,Dusky rockfish,GOA,female,114.66753148530785
