year,species_code,species_name,surv,type,iss
1984,10110,arrowtooth flounder,GOA,female,2482.9899991485713
1984,10130,flathead sole,GOA,female,1287.4621165124677
1984,10180,Dover sole,GOA,female,385.94041716527016
1984,20510,sablefish,GOA,female,509.80980129626016
1984,21720,Pacific cod,GOA,female,401.0497993985684
1984,21740,walleye pollock,GOA,female,880.9553594496113
1984,30050,REBS rockfish complex,GOA,female,234.5020090397699
1984,30060,Pacific ocean perch,GOA,female,180.666453954427
1984,30150,Dusky rockfish,GOA,female,151.0565133706584
1984,30420,northern rockfish,GOA,female,127.86874201913724
1987,10110,arrowtooth flounder,GOA,female,4000.4073640236925
1987,10130,flathead sole,GOA,female,1046.452423600635
1987,10180,Dover sole,GOA,female,371.61766203601127
1987,20510,sablefish,GOA,female,659.8438559659952
1987,21720,Pacific cod,GOA,female,589.6976812570964
1987,21740,walleye pollock,GOA,female,329.83208615027496
1987,30050,REBS rockfish complex,GOA,female,208.43455246042612
1987,30060,Pacific ocean perch,GOA,female,223.71585913424192
1987,30150,Dusky rockfish,GOA,female,75.03645660326877
1987,30420,northern rockfish,GOA,female,302.1699444905583
1990,10110,arrowtooth flounder,GOA,female,2694.2527516930227
1990,10130,flathead sole,GOA,female,1175.4891338404034
1990,10180,Dover sole,GOA,female,467.70188318646666
1990,20510,sablefish,GOA,female,175.44977343988185
1990,21720,Pacific cod,GOA,female,428.90179844519764
1990,21740,walleye pollock,GOA,female,657.4801925652893
1990,30050,REBS rockfish complex,GOA,female,339.4486228622994
1990,30060,Pacific ocean perch,GOA,female,135.56393520863028
1990,30150,Dusky rockfish,GOA,female,67.90785738315444
1990,30420,northern rockfish,GOA,female,63.46129497802153
1993,10110,arrowtooth flounder,GOA,female,5581.86180909341
1993,10130,flathead sole,GOA,female,1089.9101019183338
1993,10180,Dover sole,GOA,female,1056.2032302431874
1993,20510,sablefish,GOA,female,230.8624083761084
1993,21720,Pacific cod,GOA,female,655.7823780130244
1993,21740,walleye pollock,GOA,female,629.8378305072061
1993,30050,REBS rockfish complex,GOA,female,406.54348686221965
1993,30060,Pacific ocean perch,GOA,female,213.22731825372418
1993,30150,Dusky rockfish,GOA,female,81.60428640207289
1993,30420,northern rockfish,GOA,female,96.09617995637723
1996,10110,arrowtooth flounder,GOA,female,5261.798395029967
1996,10130,flathead sole,GOA,female,1753.7989892089931
1996,10180,Dover sole,GOA,female,1024.3354570564547
1996,20510,sablefish,GOA,female,362.0775159418806
1996,21720,Pacific cod,GOA,female,374.81303551188284
1996,21740,walleye pollock,GOA,female,364.12204332564824
1996,30050,REBS rockfish complex,GOA,female,449.4803630548689
1996,30060,Pacific ocean perch,GOA,female,205.14009647545873
1996,30150,Dusky rockfish,GOA,female,84.85686390387943
1996,30420,northern rockfish,GOA,female,52.75603521077328
1999,10110,arrowtooth flounder,GOA,female,5382.704414217699
1999,10130,flathead sole,GOA,female,1498.7589616190426
1999,10180,Dover sole,GOA,female,969.1301612756376
1999,20510,sablefish,GOA,female,605.1836917274179
1999,21720,Pacific cod,GOA,female,1075.871002201614
1999,21740,walleye pollock,GOA,female,512.9613578120099
1999,30050,REBS rockfish complex,GOA,female,468.06490823718696
1999,30060,Pacific ocean perch,GOA,female,137.2815492439986
1999,30150,Dusky rockfish,GOA,female,175.55248624878365
1999,30420,northern rockfish,GOA,female,78.09286104175592
2001,10110,arrowtooth flounder,GOA,female,2971.1563991888506
2001,10130,flathead sole,GOA,female,1289.8527326400085
2001,10180,Dover sole,GOA,female,360.46600012487545
2001,20510,sablefish,GOA,female,259.1682013851419
2001,21720,Pacific cod,GOA,female,551.5808566063668
2001,21740,walleye pollock,GOA,female,89.54019003029313
2001,30050,REBS rockfish complex,GOA,female,277.2960226641521
2001,30060,Pacific ocean perch,GOA,female,63.66949714715656
2001,30150,Dusky rockfish,GOA,female,139.9634009697588
2001,30420,northern rockfish,GOA,female,84.90410100131994
2003,10110,arrowtooth flounder,GOA,female,2215.4894610297824
2003,10130,flathead sole,GOA,female,2423.196921532909
2003,10180,Dover sole,GOA,female,403.97930905704106
2003,20510,sablefish,GOA,female,512.5891417093004
2003,21720,Pacific cod,GOA,female,1049.2412069340794
