,,,EBS_shelf,EBS_shelf,EBS_shelf,EBS_slope,EBS_slope,EBS_slope
Stock,Scientific name,Type,Female,Male,Total,Female,Male,Total
Alaska plaice,,nominal,246,161,407,--,--,--
,,iss, 117 , 61 , 152 ,--,--,--
arrowtooth flounder,,nominal,326,141,467,391,148,539
,,iss, 248 , 87 , 294 , HMMM , HMMM , HMMM 
flathead sole,,nominal,305,247,558,--,--,--
,,iss, 180 , 177 , 319 ,--,--,--
Greenland turbot,,nominal,147,134,293,239,254,493
,,iss, 35 , 19 , 55 , 62 , 78 , 114 
Kamchatka flounder,,nominal,259,218,477,365,296,661
,,iss, 113 , 87 , 183 , 141 , 114 , 223 
northern rock sole,,nominal,255,194,456,--,--,--
,,iss, 122 , 104 , 213 ,--,--,--
Pacific cod,,nominal,535,515,"1,062",--,--,--
,,iss, 265 , 272 , 349 ,--,--,--
Pacific ocean perch,,nominal,--,--,--,207,192,404
,,iss,--,--,--, 51 , 53 , 93 
walleye pollock,,nominal,736,682,"1,534",--,--,--
,,iss, 269 , 296 , 422 ,--,--,--
yellowfin sole,,nominal,425,321,747,--,--,--
,,iss, 178 , 139 , 290 ,--,--,--
