Stock,Type,Female,Male,Total
Alaska plaice,nominal,246,161,407
,iss,117,61,152
arrowtooth flounder,nominal,326,141,467
,iss,248,87,294
flathead sole,nominal,305,247,558
,iss,180,177,319
Greenland turbot,nominal,147,134,293
,iss,35,19,55
Kamchatka flounder,nominal,259,218,477
,iss,113,87,183
northern rock sole,nominal,255,194,456
,iss,122,104,213
Pacific cod,nominal,535,515,"1,062"
,iss,265,272,349
walleye pollock,nominal,736,682,"1,534"
,iss,269,296,422
yellowfin sole,nominal,425,321,747
,iss,178,139,290
