Stock,Type,Female,Male,Total
arrowtooth flounder,nominal,560,359,920
,iss,230,151,337
Dover sole,nominal,207,187,394
,iss,85,71,145
Dusky rockfish,nominal,228,199,428
,iss,58,48,90
flathead sole,nominal,293,244,542
,iss,111,86,180
northern rockfish,nominal,237,208,445
,iss,67,60,116
Pacific cod,nominal,324,295,619
,iss,78,70,96
Pacific ocean perch,nominal,547,550,"1,103"
,iss,132,133,205
REBS rockfish complex,nominal,276,283,561
,iss,86,85,152
sablefish,nominal,274,270,544
,iss,52,55,77
walleye pollock,nominal,710,604,"1,327"
,iss,110,88,99
