Region,AI,AI,AI,EBS,EBS,EBS,GOA,GOA,GOA
Species,Female,Male,Total,Female,Male,Total,Female,Male,Total
Alaska plaice,--,--,--,141,82,192,--,--,--
arrowtooth flounder,161,79,179,124,58,160,216,133,291
Atka mackerel,62,57,80,--,--,--,--,--,--
Dover sole,--,--,--,--,--,--,133,113,219
Dusky rockfish,--,--,--,--,--,--,91,72,130
flathead sole,--,--,--,43,35,63,73,55,108
Greenland turbot,--,--,--,14,10,21,--,--,--
Kamchatka flounder,68,51,79,140,108,220,--,--,--
northern rock sole,--,--,--,89,65,127,--,--,--
northern rockfish,76,59,108,--,--,--,101,95,169
Pacific cod,110,108,145,48,59,71,99,89,122
Pacific ocean perch,62,57,85,--,--,--,58,58,80
REBS rockfish complex,98,97,180,--,--,--,91,71,129
sablefish,--,--,--,--,--,--,72,78,103
walleye pollock,56,48,64,5,5,6,12,12,15
yellowfin sole,--,--,--,212,168,311,--,--,--
