Region,EBS_shelf,EBS_shelf,EBS_shelf,EBS_slope,EBS_slope,EBS_slope
Species,Female,Male,Total,Female,Male,Total
Alaska plaice,141,82,192,--,--,--
arrowtooth flounder,124,58,160,216,133,291
Atka mackerel,--,--,--,--,--,--
Dover sole,--,--,--,133,113,219
Dusky rockfish,--,--,--,91,72,130
flathead sole,43,35,63,73,55,108
Greenland turbot,14,10,21,--,--,--
Kamchatka flounder,140,108,220,--,--,--
northern rock sole,89,65,127,--,--,--
northern rockfish,--,--,--,101,95,169
Pacific cod,48,59,71,99,89,122
Pacific ocean perch,--,--,--,58,58,80
REBS rockfish complex,--,--,--,91,71,129
sablefish,--,--,--,72,78,103
walleye pollock,5,5,6,12,12,15
yellowfin sole,212,168,311,--,--,--
