Region,AI,AI,AI,GOA,GOA,GOA
Species,Female,Male,Total,Female,Male,Total
Alaska plaice,--,--,--,--,--,--
arrowtooth flounder,161,79,179,216,133,291
Atka mackerel,62,57,80,--,--,--
Dover sole,--,--,--,133,113,219
Dusky rockfish,--,--,--,91,72,130
flathead sole,--,--,--,73,55,108
Greenland turbot,--,--,--,--,--,--
Kamchatka flounder,68,51,79,--,--,--
northern rock sole,--,--,--,--,--,--
northern rockfish,76,59,108,101,95,169
Pacific cod,110,108,145,99,89,122
Pacific ocean perch,62,57,85,58,58,80
REBS rockfish complex,98,97,180,91,71,129
sablefish,--,--,--,72,78,103
walleye pollock,56,48,64,12,12,15
yellowfin sole,--,--,--,--,--,--
