Region,AI,AI,AI,EBS,EBS,EBS,GOA,GOA,GOA
Stock,Female,Male,Total,Female,Male,Total,Female,Male,Total
Alaska plaice, -- , -- , -- ," 1,040 ", 980 ," 1,617 ", -- , -- , -- 
arrowtooth flounder, 670 , 350 , 787 ," 1,421 ", 657 ," 1,797 "," 3,643 "," 1,861 "," 4,577 "
Atka mackerel, 164 , 147 , 192 , -- , -- , -- , -- , -- , -- 
Dover sole, -- , -- , -- , -- , -- , -- , 607 , 631 ," 1,105 "
Dusky rockfish, -- , -- , -- , -- , -- , -- , 145 , 117 , 193 
flathead sole, -- , -- , -- ," 1,224 "," 1,062 "," 1,760 "," 1,481 "," 1,155 "," 2,231 "
Greenland turbot, -- , -- , -- , 116 , 113 , 240 , -- , -- , -- 
Kamchatka flounder, 205 , 188 , 295 , 260 , 252 , 458 , -- , -- , -- 
northern rock sole, -- , -- , -- ," 1,386 "," 1,345 "," 1,975 ", -- , -- , -- 
northern rockfish, 180 , 156 , 217 , -- , -- , -- , 127 , 145 , 216 
Pacific cod, 442 , 455 , 697 ," 1,110 "," 1,130 "," 1,653 ", 582 , 560 , 780 
Pacific ocean perch, 384 , 466 , 614 , -- , -- , -- , 320 , 322 , 416 
REBS rockfish complex, 144 , 148 , 247 , -- , -- , -- , 145 , 118 , 194 
sablefish, -- , -- , -- , -- , -- , -- , 469 , 618 , 858 
walleye pollock, 298 , 221 , 287 ," 1,369 "," 1,296 "," 1,590 ", 468 , 363 , 431 
yellowfin sole, -- , -- , -- ," 1,848 "," 1,233 "," 2,137 ", -- , -- , -- 
