Region,AI,AI,AI,GOA,GOA,GOA
Stock,Female,Male,Total,Female,Male,Total
Alaska plaice, -- , -- , -- , -- , -- , -- 
arrowtooth flounder,670,350,787,"3,643","1,861","4,577"
Atka mackerel,164,147,192, -- , -- , -- 
Dover sole, -- , -- , -- ,607,631,"1,105"
Dusky rockfish, -- , -- , -- ,145,117,193
flathead sole, -- , -- , -- ,"1,481","1,155","2,231"
Greenland turbot, -- , -- , -- , -- , -- , -- 
Kamchatka flounder,205,188,295, -- , -- , -- 
northern rock sole, -- , -- , -- , -- , -- , -- 
northern rockfish,180,156,217,127,145,216
Pacific cod,442,455,697,582,560,780
Pacific ocean perch,384,466,614,320,322,416
REBS rockfish complex,144,148,247,145,118,194
sablefish, -- , -- , -- ,469,618,858
walleye pollock,298,221,287,468,363,431
yellowfin sole, -- , -- , -- , -- , -- , -- 
