Region,EBS_shelf,EBS_shelf,EBS_shelf,EBS_slope,EBS_slope,EBS_slope
Stock,Female,Male,Total,Female,Male,Total
Alaska plaice,246,161,407,--,--,--
arrowtooth flounder,326,141,467,391,148,539
Atka mackerel,--,--,--,--,--,--
Dover sole,--,--,--,--,--,--
Dusky rockfish,--,--,--,--,--,--
flathead sole,305,247,558,--,--,--
Greenland turbot,147,134,293,239,254,493
Kamchatka flounder,259,218,477,365,296,661
northern rock sole,255,194,456,--,--,--
northern rockfish,--,--,--,--,--,--
Pacific cod,535,515,"1,062",--,--,--
Pacific ocean perch,--,--,--,207,192,404
REBS rockfish complex,--,--,--,--,--,--
rex sole,--,--,--,--,--,--
sablefish,--,--,--,--,--,--
southern rock sole,--,--,--,--,--,--
walleye pollock,736,682,"1,534",--,--,--
yellowfin sole,425,321,747,--,--,--
