Region,AI,AI,AI,GOA,GOA,GOA
Stock,Female,Male,Total,Female,Male,Total
Alaska plaice, -- , -- , -- , -- , -- , -- 
arrowtooth flounder,285,239,524,560,359,920
Atka mackerel,322,288,609, -- , -- , -- 
Dover sole, -- , -- , -- ,207,187,394
Dusky rockfish, -- , -- , -- ,228,199,428
flathead sole, -- , -- , -- ,293,244,542
Greenland turbot, -- , -- , -- , -- , -- , -- 
Kamchatka flounder,257,250,509, -- , -- , -- 
northern rock sole, -- , -- , -- ,260,189,449
northern rockfish,295,239,536,237,208,445
Pacific cod,394,394,788,324,295,619
Pacific ocean perch,548,545,"1,103",547,550,"1,103"
REBS rockfish complex,226,229,456,276,283,561
rex sole, -- , -- , -- ,245,194,441
sablefish, -- , -- , -- ,274,270,544
southern rock sole, -- , -- , -- ,306,184,490
walleye pollock,848,698,"1,549",710,604,"1,327"
yellowfin sole, -- , -- , -- , -- , -- , -- 
