Region,EBS_shelf,EBS_shelf,EBS_shelf,EBS_slope,EBS_slope,EBS_slope
Stock,Female,Male,Total,Female,Male,Total
Alaska plaice," 5,209 "," 5,135 "," 10,800 ", -- , -- , -- 
arrowtooth flounder," 6,715 "," 2,806 "," 9,779 "," 4,623 "," 1,138 "," 5,761 "
Atka mackerel, -- , -- , -- , -- , -- , -- 
Dover sole, -- , -- , -- , -- , -- , -- 
Dusky rockfish, -- , -- , -- , -- , -- , -- 
flathead sole," 8,145 "," 7,994 "," 17,193 ", -- , -- , -- 
Greenland turbot, 301 , 316 , 720 , 578 ," 1,017 "," 1,595 "
Kamchatka flounder, 875 , 882 ," 1,776 "," 1,345 "," 1,915 "," 3,260 "
northern rock sole," 14,060 "," 14,285 "," 29,137 ", -- , -- , -- 
northern rockfish, -- , -- , -- , -- , -- , -- 
Pacific cod," 6,032 "," 6,210 "," 13,320 ", -- , -- , -- 
Pacific ocean perch, -- , -- , -- ," 1,378 "," 1,759 "," 3,191 "
REBS rockfish complex, -- , -- , -- , -- , -- , -- 
rex sole, -- , -- , -- , -- , -- , -- 
sablefish, -- , -- , -- , -- , -- , -- 
southern rock sole, -- , -- , -- , -- , -- , -- 
walleye pollock," 28,713 "," 29,373 "," 82,451 ", -- , -- , -- 
yellowfin sole," 17,326 "," 10,952 "," 29,803 ", -- , -- , -- 
