,,,AI,AI,AI,GOA,GOA,GOA
Stock,Scientific name,Type,Female,Male,Total,Female,Male,Total
arrowtooth flounder,Atheresthes stomias,nominal,"6,306","3,921","10,607","35,553","17,117","54,108"
,,iss,676,353,793,"3,637","1,860","4,581"
Atka mackerel,Pleurogrammus monopterygius,nominal,"4,561","4,292","9,110", -- , -- , -- 
,,iss,166,148,194, -- , -- , -- 
Dover sole,Microstomus pacificus,nominal, -- , -- , -- ,"2,523","3,209","6,084"
,,iss, -- , -- , -- ,601,623,"1,089"
Dusky rockfish,Sebastes ciliatus,nominal, -- , -- , -- ,"1,039",923,"1,997"
,,iss, -- , -- , -- ,146,118,194
flathead sole,Hippoglossoides elassodon,nominal, -- , -- , -- ,"10,753","9,799","21,318"
,,iss, -- , -- , -- ,"1,469","1,139","2,214"
Kamchatka flounder,Atheresthes evermanni,nominal,"1,119","1,597","2,718", -- , -- , -- 
,,iss,203,188,292, -- , -- , -- 
northern rockfish,Sebastes polyspinis,nominal,"5,607","3,553","9,290","1,971","1,827","3,913"
,,iss,183,161,224,125,144,212
Pacific cod,Gadus macrocephalus,nominal,"3,269","3,516","7,080","5,314","5,208","10,918"
,,iss,442,456,699,576,555,767
Pacific ocean perch,Sebastes alutus,nominal,"9,841","13,175","23,538","9,003","10,181","20,456"
,,iss,383,472,620,322,326,420
REBS rockfish complex,Sebastes aleutianus,nominal,890,939,"2,061","1,630","1,656","3,378"
,Sebastes melanostictus,iss,141,147,242,341,338,520
sablefish,Anoplopoma fimbria,nominal, -- , -- , -- ,"2,829","3,735","6,908"
,,iss, -- , -- , -- ,468,620,854
walleye pollock,Gadus chalcogrammus,nominal,"7,778","6,257","14,529","13,701","11,402","28,242"
,,iss,296,220,288,467,365,434
