species,region,female,male,total
flatfish,ai,0.4373679157248605,0.5883703557882012,0.44981038655404343
flatfish,goa,0.5162500969021376,0.4153096499031512,0.5215583703203338
gadid,ai,0.3597673710914,0.20147855573384546,0.24644242437043498
gadid,goa,0.007916447445493344,0.02323219003880715,0.023257044976149575
other,ai,0.5027631901566683,0.46458659474524155,0.34914504061767593
rockfish,ai,0.6032588150895558,0.7650015385692148,0.7562297802942504
rockfish,goa,0.4852256334588435,0.47005312896273765,0.42098188658011537
Atka mackerel,ai,0.5027631901566683,0.46458659474524155,0.34914504061767593
Dover sole,goa,0.6273950001018169,0.6069595019461144,0.638513452224235
Kamchatka flounder,ai,0.8497287012166261,0.8502878181887364,0.9237569021597349
Pacific cod,ai,0.4707857455801985,0.3506254808370056,0.42643812029359535
Pacific cod,goa,0.039144215487142524,0.06625222679575024,0.008919174805100948
Pacific ocean perch,ai,0.4254979664245645,0.7798811830553797,0.6952803461072319
Pacific ocean perch,goa,0.3925330786357751,0.3245852970699207,0.27785607685884783
arrowtooth flounder,ai,0.9029169565113516,0.6539007735664382,0.7065996917684433
arrowtooth flounder,goa,0.5013485746341376,0.2899535431852965,0.4944455108117783
flathead sole,goa,0.22464321017547134,0.34712587097751546,0.30810634836248824
northern rockfish,ai,0.753349812278554,0.3511821547163264,0.7038268449351629
northern rockfish,goa,0.410019064052776,0.37087795044504746,0.3933427368379984
walleye pollock,ai,0.23598426537080933,0.018820434896903635,0.06831942269992972
walleye pollock,goa,0.01012109811534301,0.008903702021731236,0.04887828355673755
