species,region,female,male,total
flatfish,ai,0.6667415026963932,0.5181199171143677,0.27218295680868826
flatfish,goa,0.844004943829161,0.7256673578700602,0.7628450900781399
gadid,ai,0.06970970619143411,0.054851455040070864,0.01874361444143281
gadid,goa,0.27848222145800744,0.1322226163590559,0.025397276085891284
other,ai,0.3321385401525718,0.1516322043629161,0.11430777317811325
rockfish,ai,0.4598898009053783,0.5128850782617477,0.3560485918001702
rockfish,goa,0.4794349464591052,0.7100495765944876,0.4215633712607623
Atka mackerel,ai,0.3321385401525718,0.1516322043629161,0.11430777317811325
Dover sole,goa,0.9205552768933012,0.7489187165032902,0.8158155579287433
Kamchatka flounder,ai,0.8310295077799597,0.8100457713407067,0.915504830531893
Pacific cod,ai,0.10894409487127268,0.05782265089737236,0.20692216086218596
Pacific cod,goa,0.35503593623282154,0.16036865235685838,0.150742520620112
Pacific ocean perch,ai,0.28895467567281563,0.2969356019752368,0.16230740492796308
Pacific ocean perch,goa,0.11932206504624272,0.4426685655315815,0.0983933479225404
arrowtooth flounder,ai,0.7743768144386071,0.7285996865550182,0.4940583346974172
arrowtooth flounder,goa,0.6443993737884848,0.7771099650797987,0.6014449846468639
flathead sole,goa,0.6951255562232422,0.4437033966656416,0.4982285419745041
northern rockfish,ai,0.48510094160253153,0.2506597093797752,0.20673516882809223
northern rockfish,goa,0.7071331505103886,0.6058344025497998,0.6325032856224706
walleye pollock,ai,0.6190404982337243,0.343821935495091,0.4661054597194385
walleye pollock,goa,0.3612417744157977,0.27507867217723087,0.2448335911580997
